datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-8-16,0.111725,0.280031,0.103962,0.224399,5232600.0,67034800.0
2017-8-17,0.223022,0.238935,0.206735,0.206735,2752410.0,133813000.0
2017-8-18,0.205558,0.35026,0.205558,0.293387,12793800.0,123335000.0
2017-8-19,0.294578,0.543728,0.284357,0.478768,52677500.0,176747000.0
2017-8-20,0.471296,0.475262,0.403409,0.424265,16016500.0,282777000.0
2017-8-21,0.422273,0.44368,0.327742,0.351503,15013800.0,253364000.0
2017-8-22,0.351547,0.375577,0.315831,0.364505,8045240.0,175773000.0
2017-8-23,0.36401,0.410874,0.36401,0.386673,8663860.0,182005000.0
2017-8-24,0.382705,0.392537,0.372134,0.38531,6227850.0,191353000.0
2017-8-25,0.387431,0.394479,0.345851,0.361609,6146620.0,193716000.0
2017-8-26,0.362022,0.377722,0.324328,0.355843,10377400.0,181011000.0
