datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,9.8e-07,1e-06,9.6e-07,1e-06,857.0,15488.0
2017-1-02,1e-06,2e-06,1e-06,2e-06,59.0,18527.0
2017-1-03,2e-06,2e-06,1e-06,2e-06,17.0,34534.0
2017-1-04,2e-06,2e-06,8.3e-07,1e-06,159.0,27346.0
2017-1-05,1e-06,1e-06,9e-07,1e-06,24.0,15974.0
2017-1-06,1e-06,3e-06,1e-06,3e-06,17.0,19916.0
2017-1-07,3e-06,3e-06,9.5e-07,9.6e-07,32.0,52155.0
2017-1-08,9.699999999999998e-07,1e-06,8.199999999999999e-07,8.599999999999999e-07,7.0,15529.0
2017-1-09,8.599999999999999e-07,1e-06,7.5e-07,7.699999999999999e-07,11.0,13903.0
2017-1-10,7.699999999999999e-07,4e-06,7.5e-07,4e-06,3.0,12412.0
2017-1-11,4e-06,5e-06,1e-06,2e-06,3.0,62129.0
2017-1-12,2e-06,2e-06,9.6e-07,1e-06,11.0,25044.0
2017-1-13,1e-06,1e-06,8.599999999999999e-07,9.199999999999999e-07,6.0,17770.0
2017-1-14,9.199999999999999e-07,1e-06,8.4e-07,9.699999999999998e-07,7.0,14994.0
2017-1-15,9.6e-07,2e-06,9.6e-07,1e-06,58.0,15731.0
2017-1-16,1e-06,1e-06,8.3e-07,1e-06,22.0,18419.0
2017-1-17,1e-06,3e-06,1e-06,3e-06,2.0,22944.0
2017-1-18,3e-06,4e-06,1e-06,3e-06,8.0,44040.0
2017-1-19,3e-06,3e-06,6.9e-07,6.9e-07,29.0,47313.0
2017-1-20,6.9e-07,1e-06,6.499999999999999e-07,6.499999999999999e-07,16.0,11476.0
2017-1-21,6.499999999999999e-07,3e-06,6.2e-07,3e-06,32.0,10886.0
2017-1-22,3e-06,4e-06,2e-06,4e-06,16.0,47287.0
2017-1-23,4e-06,6e-06,7.599999999999999e-07,8.499999999999999e-07,39.0,64996.0
2017-1-24,8.4e-07,2e-06,8.1e-07,2e-06,5.0,14236.0
2017-1-25,2e-06,3e-06,7.699999999999999e-07,3e-06,19.0,38480.0
2017-1-26,3e-06,3e-06,9.1e-07,1e-06,42.0,46051.0
2017-1-27,1e-06,2e-06,1e-06,2e-06,18.0,17881.0
2017-1-28,2e-06,4e-06,1e-06,2e-06,19.0,33674.0
2017-1-29,2e-06,2e-06,9.699999999999998e-07,9.699999999999998e-07,71.0,28890.0
2017-1-30,9.699999999999998e-07,7e-06,7.4e-07,4e-06,22.0,16731.0
2017-1-31,4e-06,4e-06,1e-06,1e-06,9.0,71774.0
2017-2-01,1e-06,2e-06,1e-06,1e-06,23.0,23181.0
2017-2-02,1e-06,9e-06,9.3e-07,9e-06,13.0,23773.0
2017-2-03,9e-06,1e-05,7e-06,8e-06,27.0,154982.0
2017-2-04,8e-06,8e-06,1e-06,1e-06,15.0,139723.0
2017-2-05,1e-06,2e-06,8.599999999999999e-07,1e-06,23.0,18770.0
2017-2-06,1e-06,6e-06,8.8e-07,6e-06,68.0,18137.0
2017-2-07,6e-06,7e-06,2e-06,2e-06,30.0,106533.0
2017-2-08,2e-06,4e-06,1e-06,2e-06,4.0,32893.0
2017-2-09,1e-06,3e-06,1e-06,3e-06,6.0,26486.0
2017-2-10,3e-06,3e-06,1e-06,2e-06,12.0,46175.0
2017-2-11,2e-06,2e-06,1e-06,2e-06,15.0,34368.0
2017-2-12,2e-06,3e-06,1e-06,2e-06,22.0,29641.0
2017-2-13,2e-06,3e-06,1e-06,3e-06,94.0,31161.0
2017-2-14,3e-06,7e-06,1e-06,1e-06,16.0,58566.0
2017-2-15,1e-06,2e-06,1e-06,2e-06,9.0,24847.0
2017-2-16,2e-06,2e-06,1e-06,2e-06,21.0,30465.0
2017-2-17,2e-06,2e-06,1e-06,1e-06,7.0,30118.0
2017-2-18,1e-06,1e-06,1e-06,1e-06,21.0,21174.0
2017-2-19,1e-06,2e-06,1e-06,1e-06,35.0,22637.0
2017-2-20,1e-06,2e-06,1e-06,2e-06,11.0,23481.0
2017-2-21,2e-06,2e-06,1e-06,1e-06,18.0,45904.0
2017-2-22,1e-06,4e-06,1e-06,3e-06,13.0,24247.0
2017-2-23,3e-06,5e-06,1e-06,2e-06,26.0,59478.0
2017-2-24,2e-06,2e-06,1e-06,1e-06,4.0,32096.0
2017-2-25,1e-06,3e-06,1e-06,1e-06,101.0,22534.0
2017-2-26,1e-06,3e-06,1e-06,2e-06,47.0,23380.0
2017-2-27,2e-06,2e-06,1e-06,1e-06,54.0,30003.0
2017-2-28,1e-06,2e-06,1e-06,1e-06,5.0,25416.0
2017-3-01,1e-06,2e-06,1e-06,2e-06,10.0,26565.0
2017-3-02,2e-06,2e-06,1e-06,2e-06,91.0,29627.0
2017-3-03,2e-06,2e-06,1e-06,2e-06,60.0,30808.0
2017-3-04,2e-06,4e-06,2e-06,3e-06,72.0,30897.0
2017-3-05,3e-06,3e-06,2e-06,2e-06,62.0,55651.0
2017-3-06,2e-06,1.2e-05,2e-06,1.2e-05,142.0,36908.0
2017-3-07,1.2e-05,1.2e-05,2e-06,2e-06,75.0,233968.0
2017-3-08,2e-06,4e-06,2e-06,3e-06,36.0,35615.0
2017-3-09,3e-06,3e-06,2e-06,2e-06,94.0,50086.0
2017-3-10,2e-06,3e-06,2e-06,3e-06,163.0,38788.0
2017-3-11,3e-06,5e-06,3e-06,3e-06,151.0,52818.0
2017-3-12,3e-06,4e-06,2e-06,3e-06,42.0,55018.0
2017-3-13,3e-06,4e-06,2e-06,2e-06,96.0,62957.0
2017-3-14,2e-06,3e-06,2e-06,2e-06,6.0,43623.0
2017-3-15,2e-06,3e-06,2e-06,2e-06,83.0,38780.0
2017-3-16,2e-06,3e-06,2e-06,2e-06,58.0,43853.0
2017-3-17,2e-06,3e-06,2e-06,3e-06,88.0,44901.0
