datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.000183,0.000191,0.000135,0.00019,2.0,3154.0
2017-1-02,0.00019,0.000192,0.000122,0.000163,25.0,3281.0
2017-1-03,0.000163,0.000167,0.000112,0.000167,6.0,2837.0
2017-1-04,0.000167,0.000186,0.000106,0.000185,26.0,2925.0
2017-1-05,0.000185,0.000186,3.6e-05,0.000101,25.0,3236.0
2017-1-06,0.000101,0.000105,5.4e-05,9e-05,1.0,1775.0
2017-1-07,9e-05,9.1e-05,8.2e-05,9.1e-05,0.0,1582.0
2017-1-08,9.1e-05,9.4e-05,7.3e-05,9.1e-05,1.0,1591.0
2017-1-09,9.1e-05,9.1e-05,6.2e-05,6.3e-05,0.0,1596.0
2017-1-10,6.3e-05,9.1e-05,2.7e-05,9.1e-05,14.0,1107.0
2017-1-11,9.1e-05,9.2e-05,6.9e-05,7e-05,2.0,1590.0
2017-1-12,7e-05,7e-05,4.8e-05,4.8e-05,8.0,1226.0
2017-1-13,4.8e-05,6.6e-05,4e-05,6.6e-05,2.0,845.0
2017-1-14,6.6e-05,8.3e-05,5.7e-05,7.4e-05,8.0,1154.0
2017-1-15,7.4e-05,7.4e-05,7.3e-05,7.4e-05,3.0,1290.0
2017-1-16,7.4e-05,7.5e-05,6.6e-05,7.5e-05,0.0,1295.0
2017-1-17,7.5e-05,8.1e-05,5.4e-05,7.3e-05,19.0,1311.0
2017-1-18,7.3e-05,7.3e-05,5.1e-05,5.3e-05,7.0,1272.0
2017-1-19,5.3e-05,7.2e-05,5.3e-05,7.2e-05,3.0,932.0
2017-1-20,7.2e-05,7.2e-05,6.3e-05,7.2e-05,3.0,1260.0
2017-1-21,7.2e-05,9.3e-05,7.2e-05,9.2e-05,23.0,1254.0
2017-1-22,9.2e-05,0.000103,9e-05,0.000102,9.0,1614.0
2017-1-23,0.000102,0.000111,8.3e-05,0.000101,8.0,1781.0
2017-1-24,0.0001,0.000102,8.9e-05,8.9e-05,2.0,1754.0
2017-1-25,8.9e-05,9.9e-05,8.9e-05,9e-05,28.0,1563.0
2017-1-26,9e-05,0.000101,9e-05,0.000101,88.0,1580.0
2017-1-27,0.000101,0.000166,9.2e-05,0.000147,432.0,1768.0
2017-1-28,0.000147,0.000148,0.000101,0.000138,0.0,2577.0
2017-1-29,0.000138,0.000148,0.000138,0.000147,3.0,2421.0
2017-1-30,0.000147,0.000166,9.2e-05,0.000129,166.0,2577.0
2017-1-31,0.00012,0.000182,9.3e-05,0.000175,269.0,2095.0
2017-2-01,0.000155,0.000185,0.000108,0.000109,97.0,2719.0
2017-2-02,0.000109,0.000148,9.9e-05,0.000132,113.0,1905.0
2017-2-03,0.000131,0.000205,0.000123,0.000175,143.0,2303.0
2017-2-04,0.000175,0.000176,0.000115,0.000125,31.0,3071.0
2017-2-05,0.000115,0.000164,0.000104,0.000144,135.0,2010.0
2017-2-06,0.000144,0.000166,0.000103,0.000156,111.0,2521.0
2017-2-07,0.000156,0.000232,0.000116,0.000138,124.0,2732.0
2017-2-08,0.000138,0.000202,0.000115,0.000159,109.0,4228.0
2017-2-09,0.00016,0.000184,9.6e-05,0.000109,236.0,4908.0
2017-2-10,0.00011,0.000126,9.6e-05,9.9e-05,142.0,3418.0
2017-2-11,9.9e-05,0.000101,9e-05,0.0001,9.0,3211.0
2017-2-12,0.0001,0.00012,8e-05,8e-05,36.0,3276.0
2017-2-13,8e-05,9.9e-05,7.9e-05,7.9e-05,16.0,2722.0
2017-2-14,7.9e-05,0.000101,7.9e-05,8e-05,14.0,2771.0
2017-2-15,8e-05,0.000111,8e-05,0.000111,57.0,2812.0
2017-2-16,0.000111,0.000112,8.2e-05,9.2e-05,26.0,3871.0
2017-2-17,9.2e-05,0.000116,8.4e-05,9.4e-05,85.0,3288.0
2017-2-18,9.4e-05,0.000116,8.5e-05,9.5e-05,128.0,3377.0
2017-2-19,9.5e-05,0.000106,8.4e-05,9.4e-05,28.0,3509.0
2017-2-20,9.4e-05,9.7e-05,8.5e-05,9.7e-05,20.0,3507.0
2017-2-21,9.7e-05,0.000121,8.6e-05,0.000112,55.0,3692.0
2017-2-22,0.000111,0.000124,0.0001,0.000123,100.0,4436.0
2017-2-23,0.000123,0.000129,9.1e-05,0.000128,300.0,4912.0
2017-2-24,0.000129,0.000156,0.000103,0.000117,144.0,5195.0
