datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.084653,0.087463,0.059695,0.060185,1083.0,1987000.0
"Jul 25, 2017",0.080061,0.08119,0.057757,0.06864,3759.0,1879200.0
"Jul 26, 2017",0.048616,0.070803,0.046402,0.070484,393.0,1141130.0
"Jul 27, 2017",0.08759,0.103805,0.050862,0.053015,6415.0,2055930.0
"Jul 28, 2017",0.051396,0.072588,0.046538,0.070981,3218.0,1206370.0
"Jul 29, 2017",0.118703,0.119028,0.050349,0.053165,1263.0,2786210.0
"Jul 30, 2017",0.115197,0.115423,0.048316,0.050139,993.0,2703940.0
"Jul 31, 2017",0.116163,0.116266,0.042114,0.044745,815.0,2726600.0
"Aug 01, 2017",0.044774,0.063435,0.044225,0.062792,1702.0,1050930.0
"Aug 02, 2017",0.059725,0.117617,0.058775,0.068217,1173.0,1401880.0
"Aug 03, 2017",0.061037,0.064876,0.051899,0.053409,987.0,1432670.0
"Aug 04, 2017",0.094083,0.099145,0.037189,0.0422,2239.0,2208340.0
"Aug 05, 2017",0.050342,0.070329,0.04692,0.055993,443.0,1181640.0
"Aug 06, 2017",0.055273,0.055707,0.043547,0.046687,532.0,1297380.0
"Aug 07, 2017",0.086533,0.087296,0.042126,0.048893,947.0,2031110.0
"Aug 08, 2017",0.092248,0.098771,0.046733,0.047122,1058.0,2165260.0
"Aug 09, 2017",0.042363,0.080863,0.041487,0.073385,669.0,994366.0
"Aug 10, 2017",0.067266,0.067509,0.052494,0.052608,749.0,1578870.0
"Aug 11, 2017",0.057872,0.07452,0.049186,0.063575,1643.0,1358380.0
"Aug 12, 2017",0.055066,0.076311,0.052587,0.075615,1059.0,1292510.0
"Aug 13, 2017",0.086898,0.143774,0.050529,0.058956,2317.0,2039680.0
"Aug 14, 2017",0.162901,0.164413,0.071912,0.073064,1661.0,3823650.0
"Aug 15, 2017",0.063342,0.073224,0.046274,0.072387,3002.0,1486770.0
"Aug 16, 2017",0.057413,0.07508,0.043568,0.075038,1563.0,1347620.0
"Aug 17, 2017",0.0543,0.061214,0.03814,0.050644,653.0,1274540.0
"Aug 18, 2017",0.060907,0.060907,0.040287,0.040685,311.0,1429620.0
"Aug 19, 2017",0.042617,0.06882,0.038949,0.050143,1016.0,1000330.0
"Aug 20, 2017",0.055437,0.056041,0.041399,0.052534,8542.0,1301220.0
"Aug 21, 2017",0.06224,0.063475,0.040626,0.054666,3862.0,1460920.0
"Aug 22, 2017",0.0616,0.071,0.057862,0.070954,3274.0,1445890.0
