datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Aug 12, 2017",0.134669,0.383644,0.134669,0.383473,7590.0,0.0
"Aug 13, 2017",0.353342,0.393562,0.125563,0.125563,13708.0,0.0
"Aug 14, 2017",0.130341,0.142247,0.11607,0.126559,6170.0,0.0
"Aug 15, 2017",0.126898,0.129705,0.102718,0.119728,526.0,0.0
"Aug 16, 2017",0.119859,0.139133,0.104955,0.132147,1120.0,0.0
"Aug 17, 2017",0.132027,0.218656,0.129618,0.137272,34297.0,0.0
"Aug 18, 2017",0.136944,0.169206,0.126883,0.127822,8799.0,0.0
"Aug 19, 2017",0.127728,0.183407,0.126623,0.150969,7629.0,0.0
"Aug 20, 2017",0.150269,0.150269,0.125953,0.127247,3204.0,0.0
"Aug 21, 2017",0.126486,0.159459,0.12567,0.144498,5016.0,0.0
"Aug 22, 2017",0.144833,0.159915,0.134294,0.148423,5271.0,0.0
