datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.029621,0.031133,0.026798,0.029552,50426.0,17772800.0
2017-7-29,0.029656,0.029656,0.026068,0.028535,27873.0,17793800.0
2017-7-30,0.028525,0.028744,0.026169,0.027555,25972.0,17115100.0
2017-7-31,0.027591,0.028416,0.026426,0.027835,7480.0,16554800.0
2017-8-01,0.027851,0.03045,0.025533,0.028282,64631.0,16710700.0
2017-8-02,0.027719,0.028658,0.025669,0.026745,52579.0,16631200.0
2017-8-03,0.026856,0.028869,0.026661,0.028611,33447.0,16113700.0
2017-8-04,0.02861,0.028847,0.026683,0.028399,35017.0,17165800.0
2017-8-05,0.028417,0.03692,0.027478,0.032933,110270.0,17050200.0
2017-8-06,0.032618,0.036365,0.031408,0.035608,76886.0,19570500.0
2017-8-07,0.035531,0.039385,0.034029,0.037463,135518.0,21318400.0
2017-8-08,0.037496,0.040645,0.036725,0.039494,64172.0,22497800.0
2017-8-09,0.039379,0.045433,0.03844,0.044092,85892.0,23627400.0
2017-8-10,0.044088,0.044934,0.040852,0.041987,69826.0,26452700.0
2017-8-11,0.043687,0.082718,0.041204,0.064791,1737850.0,26212400.0
2017-8-12,0.066715,0.085703,0.051475,0.060207,1541310.0,40029300.0
2017-8-13,0.059554,0.062725,0.048933,0.053674,355140.0,35732200.0
2017-8-14,0.053717,0.059474,0.043273,0.045432,296236.0,32230200.0
2017-8-15,0.04466,0.060511,0.043854,0.058134,266556.0,26796300.0
2017-8-16,0.058551,0.078482,0.055836,0.078482,825304.0,35130700.0
2017-8-17,0.078423,0.081104,0.063582,0.06906,814684.0,47053700.0
2017-8-18,0.069385,0.070363,0.052923,0.055235,487838.0,41631100.0
2017-8-19,0.055028,0.061558,0.049214,0.055099,181950.0,33017000.0
2017-8-20,0.054909,0.055811,0.049429,0.053456,128450.0,32945300.0
2017-8-21,0.053111,0.061112,0.051126,0.058378,217663.0,31866600.0
2017-8-22,0.05848,0.060983,0.047492,0.054223,171759.0,35087900.0
2017-8-23,0.054019,0.060242,0.047743,0.050838,216914.0,32411600.0
2017-8-24,0.050856,0.050953,0.045717,0.049936,219474.0,30513500.0
2017-8-25,0.049876,0.051228,0.044674,0.046142,283822.0,29925800.0
2017-8-26,0.047129,0.054189,0.045686,0.050669,329751.0,28277400.0
