datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.106012,0.12031,0.071155,0.118546,273.0,0.0
2017-1-02,0.118611,0.121302,0.071492,0.09706,96.0,0.0
2017-1-03,0.097056,0.097788,0.074725,0.093946,39.0,0.0
2017-1-04,0.093925,0.096527,0.076837,0.084474,114.0,0.0
2017-1-05,0.084561,0.141842,0.067371,0.122629,174.0,0.0
2017-1-06,0.122964,0.12702,0.065518,0.09022,58.0,0.0
2017-1-07,0.090349,0.108892,0.06651,0.108892,176.0,0.0
2017-1-08,0.108894,0.111901,0.072142,0.074068,69.0,0.0
2017-1-09,0.074172,0.099814,0.072128,0.074739,34.0,0.0
2017-1-10,0.0747,0.123945,0.074626,0.12179,346.0,0.0
2017-1-11,0.121801,0.16019,0.089488,0.135892,373.0,0.0
2017-1-12,0.135695,0.150286,0.091178,0.146482,617.0,0.0
2017-1-13,0.146391,0.146391,0.097476,0.111906,182.0,0.0
2017-1-14,0.112062,0.155313,0.107349,0.143276,497.0,0.0
2017-1-15,0.143222,0.15302,0.114157,0.115171,67.0,0.0
2017-1-16,0.115167,0.155147,0.114953,0.154552,98.0,0.0
2017-1-17,0.15459,0.170093,0.153697,0.169493,817.0,0.0
2017-1-18,0.169603,0.219824,0.129646,0.219824,3910.0,0.0
2017-1-19,0.220732,0.223142,0.125974,0.169923,77.0,0.0
2017-1-20,0.169853,0.169853,0.121152,0.12118,193.0,0.0
2017-1-21,0.121178,0.163541,0.121178,0.124555,72.0,0.0
2017-1-22,0.124552,0.14981,0.100581,0.103546,221.0,0.0
2017-1-23,0.103665,0.155874,0.102785,0.103432,65.0,0.0
2017-1-24,0.102205,0.138326,0.079969,0.080368,228.0,0.0
2017-1-25,0.080404,0.081564,0.080314,0.081459,67.0,0.0
2017-1-26,0.081481,0.105498,0.081481,0.105464,122.0,0.0
2017-1-27,0.105467,0.162663,0.083598,0.085648,143.0,0.0
2017-1-28,0.085647,0.110855,0.085647,0.092195,16.0,0.0
2017-1-29,0.092196,0.138383,0.092196,0.121376,187.0,0.0
2017-1-30,0.121373,0.135679,0.092261,0.127981,176.0,0.0
2017-1-31,0.127933,0.140118,0.092789,0.126172,152.0,0.0
2017-2-01,0.126152,0.138843,0.099329,0.128585,142.0,0.0
2017-2-02,0.128573,0.139247,0.109577,0.121426,120.0,0.0
2017-2-03,0.121385,0.133369,0.113602,0.123589,73.0,0.0
2017-2-04,0.12376,0.124078,0.092806,0.094455,57.0,0.0
2017-2-05,0.094512,0.125084,0.093107,0.09357,82.0,0.0
2017-2-06,0.093667,0.133941,0.093645,0.103815,66.0,0.0
2017-2-07,0.104014,0.127414,0.09601,0.106135,57.0,0.0
2017-2-08,0.106232,0.107897,0.103749,0.106307,27.0,0.0
2017-2-09,0.10647,0.175359,0.095334,0.099528,359.0,0.0
2017-2-10,0.099653,0.143888,0.095843,0.108774,180.0,0.0
2017-2-11,0.108799,0.181182,0.10816,0.111886,181.0,0.0
2017-2-12,0.111782,0.140325,0.111037,0.111948,102.0,0.0
2017-2-13,0.111915,0.138911,0.10942,0.118936,162.0,0.0
2017-2-14,0.119068,0.151625,0.118907,0.126694,262.0,0.0
2017-2-15,0.126903,0.166894,0.1204,0.124525,124.0,0.0
2017-2-16,0.124546,0.124626,0.121084,0.123611,51.0,0.0
2017-2-17,0.123452,0.129273,0.101398,0.105856,89.0,0.0
2017-2-18,0.106159,0.130205,0.105931,0.107793,51.0,0.0
2017-2-19,0.107828,0.131141,0.107405,0.117592,89.0,0.0
2017-2-20,0.117684,0.142156,0.117289,0.13084,49.0,0.0
2017-2-21,0.130755,0.14036,0.121642,0.123798,33.0,0.0
2017-2-22,0.123743,0.123743,0.101232,0.101343,85.0,0.0
