datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,10.64,11.27,10.64,10.89,1055.0,0.0
2017-7-29,10.85,11.04,9.24,9.38,622.0,0.0
2017-7-30,9.38,12.31,7.29,10.7,819.0,0.0
2017-7-31,10.39,10.41,9.32,9.87,592.0,0.0
2017-8-01,9.87,11.08,4.28,10.3,908.0,0.0
2017-8-02,10.3,10.57,9.17,9.31,542.0,0.0
2017-8-03,9.33,9.66,9.32,9.62,916.0,0.0
2017-8-04,9.61,10.35,9.55,10.32,1037.0,0.0
2017-8-05,10.31,12.09,10.31,11.23,926.0,0.0
2017-8-06,11.23,11.36,3.03,10.33,861.0,0.0
2017-8-07,10.3,10.35,3.22,3.24,1242.0,0.0
2017-8-08,3.24,6.91,3.24,6.77,1266.0,0.0
2017-8-09,6.77,6.82,6.48,6.66,976.0,0.0
2017-8-10,6.66,13.27,6.57,11.82,1184.0,0.0
2017-8-11,11.82,13.34,5.29,12.18,976.0,0.0
2017-8-12,12.17,12.7,3.76,11.23,777.0,0.0
2017-8-13,11.22,12.13,4.14,9.11,466.0,0.0
2017-8-14,9.12,19.84,9.12,12.26,2731.0,0.0
2017-8-15,12.28,12.28,6.42,6.99,4487.0,0.0
2017-8-16,7.0,15.76,6.35,15.06,1131.0,0.0
2017-8-17,15.05,15.24,10.45,10.67,617.0,0.0
2017-8-18,10.64,13.11,10.64,12.36,1020.0,0.0
2017-8-19,12.35,15.0,11.86,12.5,3651.0,0.0
2017-8-20,12.44,12.45,9.03,12.21,809.0,0.0
2017-8-21,12.16,14.27,11.09,14.01,1159.0,0.0
2017-8-22,14.04,14.04,10.35,11.09,1281.0,0.0
2017-8-23,11.06,11.98,10.95,11.33,245.0,0.0
2017-8-24,11.34,11.75,7.46,7.5,1266.0,0.0
2017-8-25,7.49,11.95,7.49,11.79,1040.0,0.0
2017-8-26,11.79,12.48,10.71,10.86,283.0,0.0
