datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jun 25, 2017",0.000128,0.000177,9.8e-05,0.000176,4.0,0.0
"Jun 26, 2017",0.000176,0.000179,9.5e-05,9.7e-05,2.0,0.0
"Jun 27, 2017",9.7e-05,0.000161,9.4e-05,0.000101,29.0,0.0
"Jun 28, 2017",0.000102,0.000129,9.8e-05,0.000128,3.0,0.0
"Jun 29, 2017",0.000128,0.000128,0.000127,0.000128,3.0,0.0
"Jun 30, 2017",0.000101,0.000126,0.0001,0.000123,2.0,0.0
"Jul 01, 2017",0.000123,0.000125,0.000119,0.00012,12.0,0.0
"Jul 02, 2017",0.00012,0.000124,0.000119,0.000123,12.0,0.0
"Jul 05, 2017",0.000103,0.000105,0.000103,0.000104,1.0,0.0
"Jul 06, 2017",0.000104,0.000104,0.000103,0.000103,1.0,0.0
"Jul 11, 2017",9.5e-05,9.6e-05,9.2e-05,9.3e-05,32.0,0.0
"Jul 12, 2017",9.2e-05,9.6e-05,9e-05,9.5e-05,1.0,0.0
"Jul 13, 2017",9.5e-05,0.000118,9.4e-05,0.000117,21.0,0.0
"Jul 14, 2017",0.000117,0.000118,0.00011,0.00011,0.0,0.0
"Jul 15, 2017",0.000108,0.000108,8e-05,8e-05,34.0,0.0
"Jul 16, 2017",7.9e-05,8.2e-05,7.3e-05,7.7e-05,1.0,0.0
"Jul 17, 2017",7.7e-05,7.7e-05,7.7e-05,7.7e-05,1.0,0.0
"Jul 19, 2017",9.2e-05,0.000116,9.2e-05,0.000113,3.0,0.0
"Jul 20, 2017",0.000113,0.000133,0.000113,0.000133,2.0,0.0
"Jul 21, 2017",0.000131,0.000135,0.000131,0.000133,28.0,0.0
"Jul 22, 2017",0.000133,0.000144,0.000133,0.000142,7.0,0.0
"Jul 23, 2017",0.000142,0.000143,0.000133,0.000134,5.0,0.0
"Jul 25, 2017",0.000103,0.000103,9.8e-05,0.000102,1.0,0.0
"Jul 26, 2017",0.000102,0.000104,9.6e-05,9.9e-05,1.0,0.0
"Jul 27, 2017",0.000132,0.000133,0.000106,0.000133,5388.0,0.0
"Jul 28, 2017",0.000133,0.000141,0.000106,0.00014,1407.0,0.0
"Jul 29, 2017",0.000139,0.000139,8e-05,0.000109,721.0,0.0
"Jul 30, 2017",0.000109,0.000113,7.8e-05,0.000113,101.0,0.0
"Jul 31, 2017",0.000113,0.00014,8.3e-05,0.000114,666.0,0.0
"Aug 01, 2017",0.000114,0.000116,8e-05,0.000109,106.0,0.0
"Aug 02, 2017",0.000109,0.00011,8e-05,8.1e-05,19.0,0.0
"Aug 03, 2017",8.1e-05,0.000111,8.1e-05,8.4e-05,116.0,0.0
"Aug 04, 2017",8.4e-05,0.000115,8.3e-05,0.000114,7.0,0.0
"Aug 05, 2017",0.000114,0.000133,9.3e-05,0.00013,352.0,0.0
"Aug 06, 2017",0.00013,0.000132,9.5e-05,9.7e-05,87.0,0.0
"Aug 07, 2017",9.7e-05,0.000131,9.6e-05,0.000102,333.0,0.0
"Aug 08, 2017",0.000102,0.000105,0.0001,0.000103,58.0,0.0
"Aug 09, 2017",0.000103,0.000137,9.8e-05,0.0001,166.0,0.0
"Aug 10, 2017",0.0001,0.000137,0.0001,0.000102,75.0,0.0
"Aug 11, 2017",0.000102,0.000142,0.000102,0.00011,250.0,0.0
"Aug 12, 2017",0.00011,0.000156,0.000109,0.000116,575.0,0.0
"Aug 13, 2017",0.000116,0.000162,0.000116,0.000122,79.0,0.0
"Aug 14, 2017",0.000122,0.000173,0.000119,0.000129,9.0,0.0
"Aug 15, 2017",0.00013,0.000173,0.000116,0.000124,479.0,0.0
"Aug 16, 2017",0.000125,0.000132,0.000118,0.000132,0.0,0.0
"Aug 17, 2017",0.000132,0.000179,8.4e-05,8.6e-05,58.0,0.0
"Aug 18, 2017",8.6e-05,0.000129,8.4e-05,0.000123,103.0,0.0
"Aug 19, 2017",0.000123,0.000125,7.9e-05,8.3e-05,6.0,0.0
"Aug 20, 2017",8.3e-05,0.000124,8.2e-05,0.000118,94.0,0.0
"Aug 21, 2017",0.000117,0.000122,7.7e-05,0.00012,78.0,0.0
"Aug 22, 2017",0.00012,0.000166,7.5e-05,0.000123,37.0,0.0
