datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,2.9e-05,3e-05,2.9e-05,3e-05,0.0,911.0
2017-1-02,3.1e-05,3.1e-05,3.1e-05,3.1e-05,0.0,962.0
2017-1-03,3.1e-05,3.1e-05,2e-05,2.1e-05,0.0,966.0
2017-1-04,2.1e-05,3.5e-05,2.1e-05,3.5e-05,3.0,658.0
2017-1-05,3.5e-05,4.1e-05,2.9e-05,4e-05,2.0,1092.0
2017-1-06,4.1e-05,4.2e-05,2.7e-05,2.7e-05,0.0,1277.0
2017-1-07,2.7e-05,2.7e-05,2.5e-05,2.7e-05,0.0,854.0
2017-1-08,1.9e-05,1.9e-05,1.8e-05,1.8e-05,0.0,588.0
2017-1-09,1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.0,574.0
2017-1-10,1.8e-05,1.8e-05,9e-06,9e-06,10.0,575.0
2017-1-11,9e-06,2.8e-05,9e-06,1.6e-05,1.0,286.0
2017-1-12,1.6e-05,1.7e-05,1.5e-05,1.6e-05,0.0,490.0
2017-1-13,1.6e-05,1.6e-05,1.6e-05,1.6e-05,0.0,507.0
2017-1-14,1.7e-05,1.7e-05,1.6e-05,1.6e-05,0.0,523.0
2017-1-15,1.6e-05,1.6e-05,1.6e-05,1.6e-05,0.0,516.0
2017-1-17,1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.0,570.0
2017-1-18,1.8e-05,2.6e-05,1.7e-05,2.6e-05,0.0,572.0
2017-1-19,2.7e-05,2.7e-05,2.7e-05,2.7e-05,1.0,838.0
2017-1-20,2.7e-05,2.7e-05,2.7e-05,2.7e-05,0.0,850.0
2017-1-21,2.7e-05,2.8e-05,2.7e-05,2.8e-05,10.0,846.0
2017-1-22,2.8e-05,2.8e-05,2.7e-05,2.8e-05,1.0,871.0
2017-1-23,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.0,874.0
2017-1-24,2.7e-05,2.8e-05,2.7e-05,2.7e-05,0.0,861.0
2017-1-25,2.7e-05,2.7e-05,2.7e-05,2.7e-05,0.0,848.0
2017-1-26,2.7e-05,2.8e-05,1.8e-05,2.8e-05,1.0,853.0
2017-1-27,2.8e-05,4.6e-05,2.7e-05,4.6e-05,26.0,867.0
2017-1-28,4.6e-05,5.5e-05,3.7e-05,4.6e-05,13.0,1449.0
2017-1-29,4.6e-05,5.5e-05,3.7e-05,3.7e-05,25.0,1452.0
2017-1-30,3.7e-05,5.5e-05,3.7e-05,4.6e-05,1.0,1159.0
2017-1-31,4.6e-05,6.7e-05,4.6e-05,4.9e-05,15.0,1450.0
2017-2-01,4.9e-05,8.9e-05,4.9e-05,8.9e-05,89.0,1529.0
2017-2-02,8.9e-05,9.1e-05,5.9e-05,8.1e-05,9.0,2805.0
2017-2-03,8.1e-05,8.3e-05,8.1e-05,8.2e-05,1.0,2550.0
