datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-6-25,2.5e-05,0.001315,2.5e-05,0.000137,42170.0,0.0
2017-6-26,0.000137,0.000138,7.9e-05,0.000125,9349.0,0.0
2017-6-27,0.000103,0.000121,7e-05,8.8e-05,4058.0,0.0
2017-6-28,8.9e-05,0.000106,7.5e-05,8.1e-05,1501.0,0.0
2017-6-29,8.1e-05,9.6e-05,5.2e-05,6.1e-05,1142.0,0.0
2017-6-30,6.1e-05,7.6e-05,5.2e-05,7.5e-05,451.0,0.0
2017-7-01,5.2e-05,9.6e-05,5.1e-05,9.5e-05,973.0,0.0
2017-7-02,9.5e-05,9.8e-05,7.4e-05,7.6e-05,831.0,0.0
2017-7-03,7.6e-05,7.9e-05,7.4e-05,7.6e-05,1453.0,0.0
2017-7-04,7.6e-05,0.000104,2.6e-05,5.2e-05,2275.0,0.0
2017-7-05,5.2e-05,7.6e-05,4.8e-05,7.4e-05,642.0,0.0
2017-7-06,7.4e-05,7.7e-05,2.6e-05,5.2e-05,1564.0,0.0
2017-7-07,5.2e-05,7.8e-05,2.7e-05,2.9e-05,350.0,0.0
2017-7-08,2.9e-05,7.6e-05,2.9e-05,3.9e-05,195.0,0.0
2017-7-09,3.9e-05,5.1e-05,3.2e-05,5e-05,154.0,0.0
2017-7-10,5e-05,7.6e-05,4.6e-05,4.7e-05,182.0,0.0
2017-7-11,4.7e-05,6.5e-05,2.3e-05,6.4e-05,123.0,0.0
2017-7-12,6.4e-05,6.5e-05,4.7e-05,4.8e-05,92.0,0.0
2017-7-13,4.8e-05,4.8e-05,2.5e-05,2.5e-05,135.0,0.0
2017-7-14,2.5e-05,4.5e-05,2.2e-05,4.4e-05,552.0,0.0
2017-7-15,4.4e-05,5.8e-05,4e-05,4e-05,212.0,0.0
2017-7-16,4e-05,4.1e-05,1.9e-05,1.9e-05,169.0,0.0
2017-7-17,1.9e-05,4.2e-05,1.9e-05,4e-05,469.0,0.0
2017-7-18,4e-05,4e-05,2.1e-05,2.4e-05,126.0,0.0
2017-7-19,2.4e-05,3.6e-05,2e-05,2.1e-05,409.0,0.0
2017-7-20,2.1e-05,4.1e-05,2.1e-05,2.5e-05,215.0,0.0
2017-7-21,2.6e-05,5.4e-05,2.3e-05,5.3e-05,405.0,0.0
2017-7-22,5.3e-05,5.7e-05,2.9e-05,3e-05,6.0,0.0
2017-7-23,3e-05,3e-05,2.6e-05,2.6e-05,336.0,0.0
2017-7-24,2.6e-05,4.4e-05,2.5e-05,3.5e-05,747.0,0.0
2017-7-25,3.5e-05,4.6e-05,2.5e-05,3.9e-05,608.0,0.0
2017-7-26,3.9e-05,3.9e-05,2.3e-05,3.8e-05,163.0,0.0
2017-7-27,3.8e-05,4.5e-05,2.5e-05,2.6e-05,320.0,0.0
2017-7-28,2.6e-05,5.6e-05,2.6e-05,5.1e-05,21.0,0.0
2017-7-29,5.1e-05,5.1e-05,2.4e-05,2.6e-05,10.0,0.0
2017-7-30,2.6e-05,4.7e-05,2.5e-05,2.5e-05,22.0,0.0
2017-7-31,2.5e-05,2.9e-05,2.5e-05,2.8e-05,13.0,0.0
2017-8-01,2.8e-05,2.9e-05,2.7e-05,2.7e-05,113.0,0.0
2017-8-02,2.7e-05,5.5e-05,2.7e-05,2.7e-05,216.0,0.0
2017-8-03,2.7e-05,5.3e-05,2.7e-05,4.3e-05,96.0,0.0
2017-8-04,4.3e-05,4.3e-05,2.3e-05,2.5e-05,85.0,0.0
2017-8-05,2.5e-05,4.1e-05,2.4e-05,4.1e-05,86.0,0.0
2017-8-06,4.1e-05,6.4e-05,3e-05,3e-05,1560.0,0.0
2017-8-07,3e-05,5e-05,2.8e-05,3e-05,654.0,0.0
2017-8-08,3e-05,3.4e-05,2.9e-05,3.3e-05,118.0,0.0
2017-8-09,3.3e-05,3.4e-05,2.9e-05,3.3e-05,5.0,0.0
2017-8-10,3.3e-05,3.4e-05,3.1e-05,3.4e-05,312.0,0.0
2017-8-11,3.4e-05,3.7e-05,3.4e-05,3.5e-05,5.0,0.0
2017-8-12,3.5e-05,4e-05,3.5e-05,3.9e-05,181.0,0.0
2017-8-13,3.9e-05,4.1e-05,3.8e-05,3.9e-05,57.0,0.0
2017-8-14,4e-05,4.1e-05,2.5e-05,2.6e-05,1.0,0.0
2017-8-15,2.6e-05,2.6e-05,2.2e-05,2.3e-05,6.0,0.0
2017-8-16,2.3e-05,2.4e-05,1.5e-05,1.8e-05,48.0,0.0
2017-8-17,1.8e-05,3.2e-05,1.6e-05,3.2e-05,20.0,0.0
2017-8-18,3.3e-05,3.3e-05,1.5e-05,1.9e-05,15.0,0.0
2017-8-19,1.9e-05,1.9e-05,1.8e-05,1.8e-05,11.0,0.0
2017-8-20,1.6e-05,1.7e-05,1.6e-05,1.6e-05,4.0,0.0
2017-8-21,1.6e-05,4.1e-05,1.6e-05,3.3e-05,73.0,0.0
2017-8-22,3.3e-05,3.3e-05,1.5e-05,1.5e-05,10.0,0.0
2017-8-23,1.5e-05,3.2e-05,7e-06,3.1e-05,102.0,0.0
2017-8-24,3.1e-05,3.6e-05,2.7e-05,2.8e-05,88.0,0.0
2017-8-25,2.8e-05,3.5e-05,1.9e-05,1.9e-05,23.0,0.0
2017-8-26,1.9e-05,3.3e-05,1.9e-05,3.3e-05,8.0,0.0
