datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,9.6e-05,0.0001,9.6e-05,0.0001,14.0,70276.0
2017-1-02,0.0001,0.000123,9.2e-05,9.2e-05,821.0,72827.0
2017-1-03,9.2e-05,0.000136,9.2e-05,0.000136,502.0,67108.0
2017-1-04,0.000136,0.00015,0.000115,0.00015,644.0,99069.0
2017-1-05,0.00015,0.000151,0.0001,0.000131,819.0,109636.0
2017-1-06,0.000132,0.000136,9.9e-05,9.9e-05,929.0,96253.0
2017-1-07,9.9e-05,0.000107,9.1e-05,0.0001,16.0,72641.0
2017-1-08,0.0001,0.000104,9.8e-05,0.0001,14.0,73080.0
2017-1-09,0.0001,0.000109,8.8e-05,0.000108,706.0,73319.0
2017-1-10,0.000108,0.00011,9e-05,0.000109,955.0,79280.0
2017-1-11,0.000109,0.000149,7.7e-05,0.000148,1322.0,79738.0
2017-1-12,0.000148,0.000278,9.9e-05,0.000252,11810.0,108223.0
2017-1-13,0.000237,0.000287,0.000175,0.00024,4091.0,173561.0
2017-1-14,0.000241,0.000257,0.0002,0.000214,596.0,176943.0
2017-1-15,0.000214,0.000229,0.000153,0.000165,716.0,156564.0
2017-1-16,0.000165,0.000173,0.000134,0.000165,886.0,121158.0
2017-1-17,0.000165,0.000187,0.000132,0.000158,307.0,121186.0
2017-1-18,0.000158,0.000178,0.000136,0.000169,363.0,116268.0
2017-1-19,0.000169,0.000214,0.000163,0.000181,435.0,124261.0
2017-1-20,0.000181,0.000206,0.000161,0.000179,572.0,133166.0
2017-1-21,0.000179,0.000187,0.00016,0.00016,519.0,131385.0
2017-1-22,0.00016,0.000218,0.000137,0.000181,1006.0,117566.0
2017-1-23,0.000181,0.0002,0.00015,0.000174,776.0,133101.0
2017-1-24,0.000173,0.000173,0.000153,0.000153,472.0,127583.0
2017-1-25,0.000153,0.000171,0.000152,0.000163,487.0,112635.0
2017-1-26,0.000163,0.000192,0.000163,0.000166,740.0,119827.0
2017-1-27,0.000166,0.000193,0.000166,0.000166,556.0,121939.0
2017-1-28,0.000166,0.000175,0.000157,0.000166,472.0,122265.0
2017-1-29,0.000166,0.000166,0.000156,0.000157,120.0,122284.0
2017-1-30,0.000157,0.000174,0.000157,0.000166,441.0,115896.0
2017-1-31,0.000157,0.000337,0.000157,0.000209,1475.0,115844.0
2017-2-01,0.000209,0.000225,0.000165,0.000179,754.0,154575.0
2017-2-02,0.00018,0.000191,0.000154,0.000165,636.0,132548.0
2017-2-03,0.000173,0.000199,0.000164,0.000174,775.0,128082.0
2017-2-04,0.000174,0.000175,0.000154,0.000167,73.0,128744.0
2017-2-05,0.000167,0.000167,0.000154,0.000154,35.0,123537.0
2017-2-06,0.000154,0.000165,0.000126,0.000136,1114.0,114079.0
2017-2-07,0.000136,0.000158,0.000136,0.000139,652.0,100544.0
2017-2-08,0.000139,0.000168,0.000139,0.000167,588.0,102907.0
2017-2-09,0.000167,0.000181,0.000145,0.00017,1371.0,123648.0
2017-2-10,0.00017,0.000184,0.000151,0.000156,1000.0,126249.0
2017-2-11,0.000156,0.000171,0.000151,0.000152,210.0,115544.0
2017-2-12,0.000152,0.0002,0.000151,0.00017,776.0,112532.0
2017-2-13,0.00017,0.000218,0.00017,0.000207,1380.0,125889.0
2017-2-14,0.000208,0.000217,0.00018,0.000215,582.0,154024.0
2017-2-15,0.000215,0.000228,0.000179,0.000209,662.0,159724.0
2017-2-16,0.000217,0.000217,0.000181,0.000215,429.0,161049.0
2017-2-17,0.000215,0.000236,0.0002,0.00021,658.0,159457.0
2017-2-18,0.00021,0.000211,0.000179,0.000192,67.0,156296.0
2017-2-19,0.000192,0.000202,0.000178,0.000178,39.0,142883.0
2017-2-20,0.000178,0.000238,0.000177,0.00023,1473.0,132557.0
2017-2-21,0.000229,0.000235,0.000208,0.000225,514.0,170626.0
2017-2-22,0.000225,0.000238,0.000212,0.00023,633.0,167502.0
2017-2-23,0.00023,0.000238,0.000208,0.000229,1263.0,171346.0
2017-2-24,0.000228,0.000246,0.000212,0.000224,524.0,169973.0
2017-2-25,0.000223,0.000248,0.000172,0.00021,665.0,166102.0
2017-2-26,0.00021,0.000224,0.000198,0.000198,56.0,156721.0
2017-2-27,0.000198,0.000226,0.000198,0.000212,852.0,147501.0
2017-2-28,0.000212,0.000258,0.000198,0.000247,1156.0,157983.0
2017-3-01,0.000214,0.000254,0.000204,0.000231,1429.0,159981.0
2017-3-02,0.000231,0.000254,0.000218,0.000247,1557.0,172232.0
2017-3-03,0.000247,0.000247,0.000203,0.000204,736.0,184710.0
2017-3-04,0.000217,0.000218,0.000195,0.000218,162.0,162243.0
2017-3-05,0.000218,0.000219,0.000202,0.000203,90.0,162850.0
2017-3-06,0.000203,0.000229,0.000203,0.000205,784.0,151601.0
2017-3-07,0.00023,0.00023,0.000183,0.000228,481.0,171717.0
2017-3-08,0.000228,0.000228,0.000193,0.000219,1147.0,170208.0
2017-3-09,0.00022,0.000247,0.000198,0.000226,1481.0,164288.0
