datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",4.87,5.15,4.72,5.12,13051.0,3787970.0
"Jul 25, 2017",5.12,5.38,4.11,4.35,35120.0,3981240.0
"Jul 26, 2017",4.35,4.37,3.94,4.17,12855.0,3383570.0
"Jul 27, 2017",4.18,4.5,4.05,4.38,12966.0,3249430.0
"Jul 28, 2017",4.4,4.42,3.96,4.05,34754.0,3419140.0
"Jul 29, 2017",4.03,4.17,3.74,4.13,20235.0,3135270.0
"Jul 30, 2017",3.95,4.46,3.9,4.4,19433.0,3074130.0
"Jul 31, 2017",4.4,4.48,4.05,4.15,17449.0,3420300.0
"Aug 01, 2017",4.15,5.19,3.97,5.11,38723.0,3226810.0
"Aug 02, 2017",4.91,5.06,4.31,4.72,24287.0,3820130.0
"Aug 03, 2017",4.73,5.19,4.62,5.01,59032.0,3678580.0
"Aug 04, 2017",5.02,5.16,4.77,5.14,42966.0,3899870.0
"Aug 05, 2017",4.71,6.66,4.67,6.02,205310.0,3661490.0
"Aug 06, 2017",6.02,6.23,5.28,5.65,43853.0,4681920.0
"Aug 07, 2017",5.64,6.2,5.43,5.66,24395.0,4380840.0
"Aug 08, 2017",5.67,6.05,5.44,5.62,32346.0,4405580.0
"Aug 09, 2017",5.61,6.04,5.25,5.83,60297.0,4363210.0
"Aug 10, 2017",5.83,6.29,5.33,5.63,77695.0,4534520.0
"Aug 11, 2017",5.63,7.86,5.3,6.94,204838.0,4379960.0
"Aug 12, 2017",6.94,8.07,6.72,7.36,96098.0,5391680.0
"Aug 13, 2017",7.35,8.01,6.81,7.31,125564.0,5712850.0
"Aug 14, 2017",7.5,8.58,7.29,8.35,71292.0,5831870.0
"Aug 15, 2017",8.64,9.5,7.18,8.3,103886.0,6717030.0
"Aug 16, 2017",8.31,9.93,7.56,9.41,235831.0,6458150.0
"Aug 17, 2017",9.41,11.31,9.05,9.87,465249.0,7311610.0
"Aug 18, 2017",9.84,11.01,8.14,9.07,106847.0,7652370.0
"Aug 19, 2017",9.06,9.57,8.37,9.16,31490.0,7045340.0
"Aug 20, 2017",9.12,10.62,8.56,10.34,88150.0,7089570.0
"Aug 21, 2017",10.12,10.85,9.21,9.58,216417.0,7869590.0
"Aug 22, 2017",9.6,10.09,8.67,9.05,102060.0,7464720.0
