datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.010386,0.010877,0.008985,0.009025,5.0,10344.0
"Jan 02, 2017",0.00903,0.010377,0.008375,0.008973,15.0,9011.0
"Jan 03, 2017",0.008972,0.010702,0.008805,0.010702,1.0,8968.0
"Jan 04, 2017",0.010699,0.013808,0.010699,0.013738,25.0,10713.0
"Jan 05, 2017",0.013752,0.013992,0.008865,0.009543,17.0,13794.0
"Jan 06, 2017",0.009569,0.012803,0.008482,0.008693,8.0,9614.0
"Jan 07, 2017",0.008705,0.010571,0.007607,0.008111,3.0,8762.0
"Jan 08, 2017",0.008111,0.010394,0.008043,0.008134,50.0,8179.0
"Jan 09, 2017",0.008146,0.010508,0.006562,0.006562,12.0,8228.0
"Jan 10, 2017",0.006559,0.011014,0.005443,0.011014,3.0,6636.0
"Jan 11, 2017",0.011015,0.011158,0.006017,0.008609,6.0,11164.0
"Jan 12, 2017",0.008597,0.009228,0.008372,0.008995,11.0,8727.0
"Jan 13, 2017",0.008989,0.009025,0.003582,0.007522,77.0,9140.0
"Jan 14, 2017",0.007532,0.008496,0.00432,0.006143,32.0,7672.0
"Jan 15, 2017",0.006141,0.018644,0.005047,0.007899,59.0,6264.0
"Jan 16, 2017",0.007899,0.007998,0.006637,0.00666,29.0,8071.0
"Jan 17, 2017",0.006661,0.008097,0.006661,0.008069,6.0,6817.0
"Jan 18, 2017",0.008074,0.009042,0.007213,0.007403,28.0,8276.0
"Jan 19, 2017",0.007434,0.009244,0.007177,0.009151,9.0,7633.0
"Jan 20, 2017",0.009147,0.009147,0.00748,0.007529,35.0,9407.0
"Jan 21, 2017",0.007529,0.009871,0.007521,0.009866,1.0,7758.0
"Jan 22, 2017",0.009866,0.010662,0.007359,0.008699,61.0,10181.0
"Jan 23, 2017",0.008709,0.008739,0.007381,0.008222,36.0,8999.0
"Jan 24, 2017",0.008124,0.010225,0.007252,0.007252,7.0,8406.0
"Jan 25, 2017",0.007255,0.01125,0.007121,0.007821,184.0,7517.0
"Jan 26, 2017",0.007831,0.008448,0.00719,0.007549,239.0,8123.0
"Jan 27, 2017",0.00755,0.008141,0.006693,0.006758,109.0,7841.0
"Jan 28, 2017",0.007278,0.007618,0.006683,0.007606,117.0,7570.0
"Jan 29, 2017",0.007607,0.011306,0.006942,0.007086,98.0,7921.0
"Jan 30, 2017",0.007086,0.01028,0.007007,0.007491,105.0,7389.0
"Jan 31, 2017",0.007542,0.009743,0.007163,0.007465,180.0,7874.0
"Feb 01, 2017",0.007421,0.009767,0.007312,0.009705,128.0,7758.0
"Feb 02, 2017",0.009704,0.009826,0.007499,0.008071,76.0,10157.0
"Feb 03, 2017",0.007978,0.010103,0.007666,0.007912,72.0,8362.0
"Feb 04, 2017",0.007923,0.008732,0.007717,0.00781,53.0,8316.0
"Feb 05, 2017",0.007814,0.00857,0.006276,0.008197,96.0,8213.0
"Feb 06, 2017",0.00709,0.008595,0.006888,0.007623,57.0,7462.0
"Feb 07, 2017",0.007638,0.008762,0.006981,0.007563,53.0,8050.0
"Feb 08, 2017",0.00698,0.008884,0.006797,0.007395,14.0,7365.0
"Feb 09, 2017",0.007428,0.009009,0.006419,0.008194,91.0,7849.0
"Feb 10, 2017",0.008204,0.009679,0.006331,0.007749,74.0,8682.0
"Feb 11, 2017",0.007574,0.009834,0.006634,0.008069,69.0,8025.0
"Feb 12, 2017",0.008802,0.010008,0.007304,0.008414,54.0,9340.0
"Feb 13, 2017",0.008414,0.009879,0.006865,0.008647,60.0,8940.0
"Feb 14, 2017",0.008114,0.010278,0.007881,0.010275,53.0,8634.0
"Feb 15, 2017",0.010291,0.011632,0.00742,0.008379,57.0,10964.0
"Feb 16, 2017",0.00771,0.011089,0.00771,0.008222,40.0,8225.0
"Feb 17, 2017",0.008212,0.012006,0.00788,0.010928,627.0,8774.0
"Feb 18, 2017",0.010959,0.013097,0.008403,0.013097,859.0,11729.0
"Feb 19, 2017",0.013101,0.013327,0.008572,0.01006,671.0,14040.0
"Feb 20, 2017",0.010067,0.012311,0.008473,0.010815,460.0,10804.0
"Feb 21, 2017",0.010808,0.01115,0.008785,0.009781,580.0,11615.0
"Feb 22, 2017",0.009777,0.010164,0.008912,0.010046,452.0,10536.0
"Feb 23, 2017",0.009307,0.011463,0.009024,0.011367,1579.0,10045.0
"Feb 24, 2017",0.011273,0.011629,0.008995,0.009914,949.0,12186.0
"Feb 25, 2017",0.010534,0.013508,0.008617,0.010011,1348.0,11405.0
"Feb 26, 2017",0.009877,0.013766,0.008772,0.013128,730.0,10711.0
"Feb 27, 2017",0.013111,0.013706,0.009286,0.01081,767.0,14239.0
"Feb 28, 2017",0.010817,0.01375,0.010615,0.011726,686.0,11764.0
"Mar 01, 2017",0.011726,0.013533,0.010739,0.011513,828.0,12772.0
"Mar 02, 2017",0.011533,0.013785,0.011179,0.011994,526.0,12580.0
"Mar 03, 2017",0.011991,0.013929,0.011363,0.012368,718.0,13098.0
"Mar 04, 2017",0.012392,0.013984,0.011389,0.012972,735.0,13555.0
"Mar 05, 2017",0.012041,0.014045,0.011513,0.012393,1460.0,13190.0
"Mar 06, 2017",0.012396,0.015133,0.011867,0.014803,1505.0,13598.0
"Mar 07, 2017",0.014807,0.015067,0.011902,0.013453,1126.0,16266.0
"Mar 08, 2017",0.01345,0.013492,0.011279,0.011298,1068.0,14796.0
"Mar 09, 2017",0.011301,0.035629,0.011301,0.021975,1795.0,12454.0
"Mar 10, 2017",0.01999,0.035778,0.011226,0.014473,1692.0,22061.0
"Mar 11, 2017",0.014468,0.015948,0.011474,0.015835,752.0,15991.0
"Mar 12, 2017",0.015845,0.016081,0.011522,0.011823,986.0,17539.0
"Mar 13, 2017",0.011827,0.01659,0.011801,0.014041,1651.0,13108.0
"Mar 14, 2017",0.016116,0.016494,0.012054,0.013714,2016.0,17884.0
"Mar 15, 2017",0.013047,0.016529,0.010664,0.011347,1625.0,14496.0
"Mar 16, 2017",0.011362,0.01229,0.00568,0.010643,1468.0,12641.0
"Mar 17, 2017",0.010574,0.011042,0.004003,0.007451,1064.0,11778.0
"Mar 18, 2017",0.007447,0.008981,0.007377,0.007903,874.0,8306.0
"Mar 19, 2017",0.007927,0.009686,0.006968,0.008233,1020.0,8851.0
"Mar 20, 2017",0.008237,0.009718,0.007331,0.008202,1277.0,9209.0
"Mar 21, 2017",0.007989,0.00981,0.007123,0.008596,1056.0,8943.0
"Mar 22, 2017",0.008597,0.009708,0.007914,0.008635,1081.0,9635.0
"Mar 23, 2017",0.008212,0.009366,0.006734,0.007717,1043.0,9215.0
"Mar 24, 2017",0.007872,0.009065,0.006687,0.007777,1304.0,8844.0
"Mar 25, 2017",0.007769,0.008502,0.006864,0.007685,1110.0,8739.0
"Mar 26, 2017",0.00789,0.00925,0.007575,0.008731,1174.0,8886.0
"Mar 27, 2017",0.00808,0.009417,0.007651,0.008188,866.0,9111.0
"Mar 28, 2017",0.008357,0.008453,0.006843,0.008168,931.0,9435.0
"Mar 29, 2017",0.008159,0.00819,0.006874,0.00807,1196.0,9224.0
"Mar 30, 2017",0.008004,0.008174,0.006734,0.007519,1107.0,9059.0
"Mar 31, 2017",0.00752,0.008121,0.006776,0.007784,755.0,8522.0
"Apr 01, 2017",0.007783,0.008104,0.005007,0.00646,942.0,8831.0
"Apr 02, 2017",0.00646,0.008482,0.005814,0.008405,948.0,7339.0
"Apr 03, 2017",0.008417,0.010738,0.007589,0.009013,1281.0,9573.0
"Apr 04, 2017",0.009496,0.0106,0.008511,0.008749,745.0,10815.0
"Apr 05, 2017",0.008756,0.010629,0.007687,0.008573,848.0,9987.0
"Apr 06, 2017",0.008581,0.009872,0.00539,0.006773,1013.0,9801.0
"Apr 07, 2017",0.006753,0.008311,0.006064,0.007579,767.0,7723.0
"Apr 08, 2017",0.007077,0.008162,0.005559,0.00789,980.0,8105.0
"Apr 09, 2017",0.007894,0.008247,0.00578,0.008148,885.0,9052.0
"Apr 10, 2017",0.008097,0.008196,0.007232,0.007708,1253.0,9296.0
"Apr 11, 2017",0.00751,0.008316,0.007507,0.008302,1156.0,8632.0
"Apr 12, 2017",0.0083,0.009616,0.007879,0.009088,1164.0,9552.0
"Apr 13, 2017",0.009093,0.009715,0.008338,0.009361,735.0,10477.0
"Apr 14, 2017",0.009369,0.009937,0.008544,0.009491,1208.0,10808.0
