datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,1.69,1.72,1.52,1.59,490408.0,56712400.0
2017-7-29,1.59,1.63,1.49,1.63,350613.0,53296000.0
2017-7-30,1.63,1.66,1.54,1.64,239215.0,54902300.0
2017-7-31,1.64,1.71,1.58,1.68,265313.0,55122400.0
2017-8-01,1.68,1.85,1.6,1.81,299507.0,56594700.0
2017-8-02,1.8,1.8,1.6,1.76,306111.0,60371300.0
2017-8-03,1.76,1.91,1.74,1.88,409120.0,59094900.0
2017-8-04,1.88,1.98,1.87,1.92,362206.0,63204600.0
2017-8-05,1.92,2.17,1.9,2.09,472444.0,64388300.0
2017-8-06,2.12,2.19,2.02,2.09,404444.0,71165600.0
2017-8-07,2.08,2.13,1.98,2.09,403798.0,70010800.0
2017-8-08,2.08,2.25,2.01,2.15,587613.0,69909000.0
2017-8-09,2.12,2.39,2.12,2.36,727888.0,71148400.0
2017-8-10,2.37,2.8,2.28,2.56,1299060.0,79673700.0
2017-8-11,2.56,3.02,2.56,2.96,2631060.0,86115200.0
2017-8-12,2.89,3.1,2.78,2.92,1078570.0,97178000.0
2017-8-13,2.93,2.99,2.52,2.52,1102490.0,98518000.0
2017-8-14,2.55,2.78,2.34,2.7,932953.0,85558300.0
2017-8-15,2.71,2.76,2.28,2.45,767516.0,90924200.0
2017-8-16,2.44,2.6,2.38,2.54,750076.0,81867900.0
2017-8-17,2.54,2.55,2.3,2.45,742746.0,85282400.0
2017-8-18,2.44,2.48,2.27,2.35,543222.0,81976500.0
2017-8-19,2.35,2.62,2.2,2.56,795690.0,79090200.0
2017-8-20,2.55,2.86,2.45,2.77,739923.0,85718500.0
2017-8-21,2.75,2.93,2.62,2.65,867557.0,92511300.0
2017-8-22,2.66,2.66,2.36,2.54,405765.0,89302200.0
2017-8-23,2.54,2.62,2.47,2.56,467406.0,85399400.0
2017-8-24,2.52,2.84,2.5,2.78,624648.0,84798300.0
2017-8-25,2.81,2.85,2.68,2.76,399046.0,94384700.0
2017-8-26,2.77,2.95,2.67,2.92,613011.0,92932600.0
