datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.002266,0.002733,0.002183,0.002195,70.0,12187.0
2017-1-02,0.002196,0.002447,0.001814,0.00184,59.0,11824.0
2017-1-03,0.00184,0.002596,0.00184,0.002596,20.0,9921.0
2017-1-04,0.002595,0.002869,0.002595,0.002866,9.0,14009.0
2017-1-05,0.002534,0.002534,0.001994,0.002213,0.0,13702.0
2017-1-06,0.002219,0.002293,0.001964,0.001976,1.0,12011.0
2017-1-07,0.001979,0.00199,0.001676,0.001826,55.0,10724.0
2017-1-08,0.001826,0.001965,0.001811,0.001924,3.0,9910.0
2017-1-09,0.001926,0.001932,0.001782,0.001913,43.0,10467.0
2017-1-10,0.001912,0.002186,0.001911,0.001972,2.0,10405.0
2017-1-11,0.001972,0.001998,0.001693,0.001729,0.0,10746.0
2017-1-12,0.001727,0.001901,0.001653,0.001853,2.0,9420.0
2017-1-13,0.001852,0.002201,0.00178,0.00206,31.0,10118.0
2017-1-14,0.002063,0.002091,0.002031,0.002047,1.0,11283.0
2017-1-15,0.002046,0.002851,0.001859,0.001921,254.0,11208.0
2017-1-16,0.001921,0.002134,0.001918,0.002048,2.0,10539.0
2017-1-17,0.002048,0.00234,0.002046,0.002268,6.0,11249.0
2017-1-18,0.00227,0.002437,0.000947,0.001918,1143.0,12483.0
2017-1-19,0.001926,0.001947,0.001561,0.00188,59.0,10605.0
2017-1-20,0.001879,0.001954,0.00157,0.00188,72.0,10346.0
2017-1-21,0.00188,0.002021,0.001229,0.00201,87.0,10349.0
2017-1-22,0.00201,0.002034,0.001486,0.001632,61.0,11064.0
2017-1-23,0.001634,0.001644,0.00067,0.000974,642.0,8998.0
2017-1-24,0.000963,0.003141,0.000842,0.001177,645.0,5319.0
2017-1-25,0.001177,0.001878,0.000879,0.00107,118.0,6532.0
2017-1-26,0.001071,0.001099,0.000902,0.000928,1362.0,5949.0
2017-1-27,0.000865,0.000977,0.000807,0.000975,3189.0,4810.0
2017-1-28,0.000975,0.000977,0.000921,0.000943,1632.0,5434.0
2017-1-29,0.000943,0.000966,0.000943,0.000948,1654.0,5262.0
2017-1-30,0.000948,0.00251,0.000948,0.001409,94.0,5295.0
2017-1-31,0.001408,0.002478,0.001408,0.001611,3.0,7874.0
2017-2-01,0.001611,0.001899,0.001611,0.001899,2.0,9019.0
2017-2-02,0.001899,0.00269,0.001675,0.00169,23.0,10645.0
2017-2-03,0.001689,0.001727,0.001619,0.001648,22.0,9481.0
2017-2-04,0.00165,0.001924,0.001617,0.001919,1.0,9274.0
2017-2-05,0.00192,0.001954,0.001534,0.001541,18.0,10805.0
2017-2-06,0.001543,0.001748,0.001459,0.001744,14.0,8691.0
2017-2-07,0.001747,0.001784,0.00128,0.001401,16.0,9858.0
2017-2-08,0.001402,0.001424,0.001369,0.001403,0.0,7921.0
2017-2-10,0.001477,0.00152,0.00147,0.001513,0.0,8370.0
2017-2-11,0.001513,0.001671,0.001044,0.001045,72.0,8578.0
2017-2-12,0.001044,0.001711,0.001042,0.001709,7.0,5925.0
2017-2-13,0.001708,0.001714,0.001407,0.001407,1.0,9709.0
2017-2-14,0.001408,0.001436,0.001401,0.001427,1.0,8011.0
2017-2-15,0.001719,0.001986,0.001119,0.001159,24.0,9777.0
2017-2-16,0.001159,0.001188,0.001159,0.001183,1.0,6592.0
2017-2-18,0.00143,0.00143,0.001256,0.001265,8.0,8181.0
2017-2-19,0.001266,0.001616,0.001265,0.001614,0.0,7251.0
2017-2-20,0.001615,0.001629,0.001239,0.001264,6.0,9264.0
2017-2-21,0.001263,0.001296,0.00126,0.001296,5.0,7253.0
2017-2-22,0.001352,0.001373,0.00135,0.001363,27.0,7777.0
2017-2-23,0.001363,0.001381,0.001363,0.001376,27.0,7849.0
2017-2-25,0.001825,0.001826,0.001754,0.001784,1.0,10543.0
2017-2-26,0.001785,0.001948,0.001714,0.001748,10.0,10318.0
2017-2-27,0.001746,0.001759,0.00154,0.001569,2.0,10103.0
2017-2-28,0.00157,0.002002,0.001559,0.001994,4.0,9100.0
2017-3-01,0.001994,0.002004,0.001299,0.001699,94.0,11571.0
2017-3-02,0.001702,0.002004,0.00163,0.001989,9.0,9889.0
2017-3-03,0.001989,0.002223,0.001913,0.002118,18.0,11569.0
2017-3-04,0.002123,0.002123,0.001855,0.002003,10.0,12361.0
2017-3-05,0.002002,0.002002,0.001733,0.001964,0.0,11671.0
2017-3-06,0.001965,0.001978,0.00196,0.001973,0.0,11470.0
2017-3-07,0.001973,0.002329,0.001867,0.002157,15.0,11536.0
2017-3-08,0.002156,0.002173,0.001884,0.001887,6.0,12621.0
2017-3-09,0.001876,0.00191,0.001447,0.001902,2.0,10985.0
2017-3-10,0.001903,0.002033,0.001883,0.001999,0.0,11144.0
2017-3-12,0.002062,0.002147,0.00206,0.002137,12.0,12104.0
2017-3-13,0.002138,0.002139,0.001521,0.00154,1.0,12548.0
2017-3-14,0.00154,0.00154,0.001538,0.001539,1.0,9078.0
2017-3-16,0.002187,0.002221,0.002144,0.002209,24.0,12944.0
2017-3-17,0.002195,0.002195,0.00155,0.001551,1.0,12992.0
2017-3-18,0.001551,0.001682,0.001388,0.001655,4.0,9188.0
2017-3-19,0.00166,0.001732,0.001408,0.001483,2.0,9852.0
2017-3-20,0.001483,0.001848,0.001483,0.001834,1.0,8811.0
2017-3-21,0.001836,0.002061,0.001617,0.001775,35.0,10922.0
2017-3-22,0.001775,0.002127,0.001632,0.002098,1.0,10571.0
2017-3-23,0.0021,0.002314,0.001565,0.002291,4.0,12522.0
2017-3-24,0.002291,0.002295,0.000852,0.000986,55.0,13672.0
2017-3-25,0.000985,0.001279,0.000904,0.000963,23.0,5885.0
2017-3-26,0.000964,0.00104,0.000953,0.001012,2.0,5770.0
2017-3-27,0.001018,0.001339,0.001008,0.001339,5.0,6096.0
2017-3-28,0.001337,0.001473,0.001336,0.001456,8.0,8020.0
2017-3-29,0.001454,0.001467,0.00109,0.001102,1.0,8732.0
2017-3-30,0.001105,0.0015,0.001102,0.001478,1.0,6641.0
2017-3-31,0.001478,0.001502,0.001478,0.001493,1.0,8898.0
2017-4-01,0.001122,0.001572,0.001121,0.001556,5.0,6761.0
2017-4-02,0.001556,0.001557,0.001549,0.001551,0.0,9388.0
2017-4-04,0.001569,0.001573,0.001524,0.001541,1.0,9492.0
2017-4-05,0.001542,0.001544,0.001515,0.001527,1.0,9339.0
2017-4-06,0.001551,0.001711,0.001462,0.001703,1.0,9398.0
2017-4-07,0.001698,0.0017,0.001675,0.001696,0.0,10286.0
2017-4-08,0.001167,0.001185,0.001167,0.001176,2.0,7092.0
2017-4-09,0.001177,0.00152,0.001176,0.001509,5.0,7158.0
2017-4-10,0.001508,0.001512,0.001186,0.001187,2.0,9184.0
2017-4-11,0.001187,0.001521,0.001187,0.001518,3.0,7241.0
2017-4-12,0.001518,0.001726,0.001508,0.00172,3.0,9267.0
2017-4-13,0.001721,0.001989,0.001472,0.001473,76.0,10516.0
2017-4-14,0.001475,0.001657,0.001461,0.001646,2.0,9023.0
2017-4-15,0.001646,0.001652,0.001488,0.001489,2.0,10083.0
2017-4-16,0.001489,0.001674,0.001489,0.001668,3.0,9133.0
2017-4-17,0.001668,0.001685,0.001653,0.001683,1.0,10241.0
2017-4-18,0.001683,0.001717,0.001526,0.001696,84.0,10347.0
2017-4-19,0.001697,0.001726,0.001352,0.001707,220.0,10444.0
2017-4-20,0.001708,0.002109,0.001704,0.002089,302.0,10521.0
2017-4-21,0.00209,0.002101,0.002071,0.00209,0.0,12892.0
2017-4-22,0.002091,0.002105,0.001485,0.001499,3.0,12912.0
2017-4-23,0.0015,0.001937,0.001486,0.001932,3.0,9271.0
2017-4-24,0.001932,0.001997,0.001932,0.001997,1.0,11955.0
2017-4-25,0.002002,0.002028,0.002,0.002025,2.0,12407.0
2017-4-26,0.002026,0.002037,0.001763,0.001768,1.0,12565.0
2017-4-27,0.001769,0.001817,0.00158,0.001656,2.0,10986.0
