datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.000636,0.000925,0.000623,0.000669,3.0,4280.0
2017-1-02,0.000669,0.000719,0.000654,0.000674,2.0,4505.0
2017-1-03,0.000674,0.001836,0.000664,0.001017,3.0,4546.0
2017-1-04,0.001013,0.001019,0.000484,0.000484,28.0,6833.0
2017-1-05,0.000485,0.000524,0.000401,0.000505,5.0,3275.0
2017-1-06,0.000507,0.000524,0.000442,0.00046,2.0,3424.0
2017-1-07,0.000461,0.00049,0.000414,0.000454,2.0,3116.0
2017-1-08,0.000454,0.000547,0.00045,0.000546,5.0,3075.0
2017-1-09,0.000547,0.000634,0.000528,0.00056,18.0,3704.0
2017-1-10,0.000551,0.000584,0.000408,0.000408,15.0,3734.0
2017-1-11,0.000408,0.000441,0.000366,0.000374,3.0,2772.0
2017-1-12,0.000373,0.00041,0.000363,0.000395,2.0,2536.0
2017-1-13,0.000394,0.000431,0.000382,0.00042,2.0,2681.0
2017-1-14,0.00042,0.00044,0.000385,0.000401,11.0,2859.0
2017-1-15,0.000401,0.000426,0.000391,0.000394,3.0,2731.0
2017-1-16,0.000394,0.000827,0.000394,0.000431,21.0,2688.0
2017-1-17,0.000431,0.000942,0.000414,0.000508,18.0,2938.0
2017-1-18,0.000508,0.000514,0.000479,0.000486,3.0,3471.0
2017-1-19,0.000488,0.000542,0.000486,0.00054,6.0,3331.0
2017-1-20,0.000539,0.000539,0.000493,0.000501,2.0,3688.0
2017-1-21,0.000501,0.000524,0.00046,0.000461,3.0,3430.0
2017-1-22,0.000461,0.000488,0.00044,0.000462,2.0,3156.0
2017-1-23,0.000462,0.000585,0.000443,0.000498,12.0,3169.0
2017-1-24,0.000497,0.000519,0.000434,0.000482,3.0,3412.0
2017-1-25,0.000482,0.000505,0.000464,0.000478,0.0,3310.0
2017-1-26,0.000478,0.000496,0.000478,0.000495,1.0,3283.0
2017-1-27,0.000495,0.000543,0.000495,0.000543,2.0,3408.0
2017-1-28,0.000543,0.000544,0.000516,0.000525,0.0,3735.0
2017-1-29,0.000525,0.000683,0.000516,0.000653,9.0,3618.0
2017-1-30,0.000653,0.000692,0.000653,0.000654,12.0,4501.0
2017-1-31,0.000653,0.00095,0.000572,0.000728,25.0,4509.0
2017-2-01,0.000728,0.001108,0.000544,0.000653,25.0,5026.0
2017-2-02,0.000653,0.000659,0.000637,0.000637,2.0,4511.0
2017-2-03,0.000637,0.00067,0.000607,0.000669,4.0,4409.0
2017-2-04,0.00067,0.000672,0.000612,0.000626,2.0,4640.0
2017-2-05,0.000626,0.000669,0.000623,0.000668,33.0,4335.0
2017-2-06,0.000668,0.000742,0.000659,0.000716,14.0,4630.0
2017-2-07,0.000716,0.001202,0.000699,0.00086,53.0,4971.0
2017-2-08,0.00086,0.001055,0.00086,0.000946,15.0,5971.0
2017-2-09,0.000946,0.000951,0.00082,0.000854,2.0,6577.0
