datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-4-17,0.012451,0.012452,0.010726,0.010745,3551.0,0.0
2017-4-18,0.010744,0.013643,0.009853,0.013619,2592.0,0.0
2017-4-19,0.013624,0.023095,0.010547,0.012103,3843.0,1362650.0
2017-4-20,0.012111,0.013758,0.010431,0.012272,9187.0,1211290.0
2017-4-21,0.012339,0.013632,0.009422,0.01152,8101.0,1234080.0
2017-4-22,0.011526,0.013829,0.009502,0.012591,6591.0,1152870.0
2017-4-23,0.012593,0.013588,0.00888,0.010875,12982.0,1259590.0
2017-4-24,0.010856,0.010961,0.008484,0.010214,32747.0,1085810.0
2017-4-25,0.010216,0.013585,0.008298,0.012042,31440.0,1021870.0
2017-4-26,0.010682,0.012213,0.00863,0.009367,2309.0,1068500.0
2017-4-27,0.009373,0.01164,0.009109,0.009109,6908.0,937560.0
2017-4-28,0.009109,0.010643,0.008369,0.010203,12568.0,911156.0
2017-4-29,0.010213,0.013651,0.009293,0.012721,11667.0,1021620.0
2017-4-30,0.013027,0.014429,0.010722,0.012677,8931.0,1303100.0
2017-5-01,0.012681,0.012857,0.011326,0.011956,23596.0,1268450.0
2017-5-02,0.011951,0.012066,0.009887,0.010664,17186.0,1195480.0
2017-5-03,0.010671,0.012329,0.010313,0.010833,15428.0,1067490.0
2017-5-04,0.011151,0.012004,0.010325,0.011394,23568.0,1115450.0
2017-5-05,0.011526,0.014233,0.011162,0.013236,21071.0,1152990.0
2017-5-06,0.013088,0.016851,0.013088,0.015917,54023.0,1309280.0
2017-5-07,0.016264,0.020023,0.01508,0.016948,23066.0,1627060.0
2017-5-08,0.016952,0.01809,0.014868,0.016129,47389.0,1695910.0
2017-5-09,0.016117,0.016534,0.012681,0.016433,50170.0,1612360.0
2017-5-10,0.016443,0.017391,0.012242,0.014618,32985.0,1645040.0
2017-5-11,0.014644,0.016015,0.013624,0.014822,52516.0,1465090.0
2017-5-12,0.015494,0.021628,0.014442,0.016482,49708.0,1550150.0
2017-5-13,0.015926,0.020556,0.014495,0.019527,65391.0,1593310.0
2017-5-14,0.019874,0.02322,0.018538,0.022295,52046.0,1988380.0
2017-5-15,0.022307,0.022341,0.016677,0.01747,56621.0,2231780.0
