datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"May 20, 2017",0.004108,0.004239,0.004108,0.004236,19.0,0.0
"May 21, 2017",0.004235,0.004284,0.004095,0.004167,83.0,0.0
"May 22, 2017",0.004181,0.004587,0.004126,0.004306,45.0,0.0
"May 23, 2017",0.004299,0.004628,0.004299,0.004586,5.0,0.0
"May 24, 2017",0.004591,0.004972,0.004591,0.004879,190.0,0.0
"May 25, 2017",0.00487,0.005521,0.004603,0.004727,13.0,0.0
"May 26, 2017",0.004692,0.00517,0.004209,0.004571,4.0,0.0
"May 27, 2017",0.004586,0.004723,0.003751,0.004048,16.0,0.0
"May 28, 2017",0.004072,0.004549,0.004072,0.004351,6.0,0.0
"May 29, 2017",0.004342,0.004785,0.004222,0.004528,26.0,0.0
"May 30, 2017",0.004533,0.004615,0.004291,0.004341,6.0,0.0
"May 31, 2017",0.004358,0.0046,0.004305,0.004547,7.0,0.0
"Jun 01, 2017",0.004551,0.004864,0.004551,0.004797,23.0,0.0
"Jun 02, 2017",0.004799,0.004902,0.004711,0.004902,8.0,0.0
"Jun 03, 2017",0.0049,0.00507,0.004813,0.005031,4.0,0.0
"Jun 04, 2017",0.005017,0.005052,0.004902,0.004982,1.0,0.0
"Jun 05, 2017",0.004983,0.00532,0.004983,0.00532,6.0,0.0
"Jun 06, 2017",0.005336,0.005752,0.005336,0.005732,6.0,0.0
"Jun 07, 2017",0.005733,0.005748,0.005207,0.005301,33.0,0.0
"Jun 08, 2017",0.005328,0.005541,0.005186,0.005527,21.0,0.0
"Jun 09, 2017",0.005519,0.005739,0.005496,0.00564,14.0,0.0
"Jun 10, 2017",0.005649,0.005855,0.005642,0.005844,8.0,0.0
"Jun 11, 2017",0.00584,0.006048,0.005678,0.006046,6.0,0.0
"Jun 12, 2017",0.006038,0.006056,0.004984,0.005247,13.0,0.0
"Jun 13, 2017",0.00523,0.00555,0.00523,0.005365,10.0,0.0
"Jun 14, 2017",0.005362,0.005516,0.004653,0.004866,8.0,0.0
"Jun 15, 2017",0.004866,0.004959,0.004299,0.004783,14.0,0.0
"Jun 16, 2017",0.004779,0.004921,0.004588,0.004846,160.0,0.0
"Jun 17, 2017",0.004846,0.004896,0.004846,0.004896,8.0,0.0
"Jun 18, 2017",0.004896,0.004996,0.004896,0.004996,9.0,0.0
"Jun 19, 2017",0.004996,0.004996,0.004896,0.004896,6.0,0.0
"Jun 20, 2017",0.004896,0.004996,0.004846,0.004996,37.0,0.0
"Jun 21, 2017",0.004996,0.004996,0.004846,0.004846,13.0,0.0
"Jun 22, 2017",0.004846,0.004946,0.004821,0.004821,78.0,0.0
"Jun 23, 2017",0.004821,0.00533,0.004821,0.005247,77.0,0.0
"Jun 24, 2017",0.005246,0.005304,0.004817,0.004911,9.0,0.0
"Jun 25, 2017",0.0049,0.00505,0.004675,0.004812,11.0,0.0
"Jun 26, 2017",0.00481,0.004886,0.004432,0.004628,37.0,0.0
"Jun 27, 2017",0.004628,0.004861,0.004355,0.004861,24.0,0.0
"Jun 28, 2017",0.004893,0.005035,0.004711,0.00488,22.0,0.0
"Jun 29, 2017",0.004875,0.005002,0.004766,0.004827,11.0,0.0
"Jun 30, 2017",0.004836,0.005021,0.00477,0.004856,38.0,0.0
"Jul 01, 2017",0.004855,0.004939,0.004637,0.004742,12.0,0.0
"Jul 02, 2017",0.004742,0.004993,0.004581,0.004972,14.0,0.0
"Jul 03, 2017",0.004954,0.004999,0.004719,0.004958,15.0,0.0
"Jul 04, 2017",0.004946,0.005093,0.00489,0.004976,13.0,0.0
"Jul 05, 2017",0.004973,0.00502,0.004847,0.004989,9.0,0.0
"Jul 06, 2017",0.004992,0.005,0.004932,0.004985,8.0,0.0
"Jul 07, 2017",0.004989,0.005069,0.004745,0.004799,53.0,0.0
"Jul 08, 2017",0.004803,0.005112,0.00475,0.00489,63.0,0.0
"Jul 09, 2017",0.004895,0.00517,0.004858,0.005026,10.0,0.0
"Jul 10, 2017",0.005035,0.005087,0.00463,0.004761,16.0,0.0
"Jul 11, 2017",0.004751,0.00487,0.004374,0.004496,20.0,0.0
"Jul 12, 2017",0.004474,0.004708,0.004359,0.004674,8.0,0.0
"Jul 13, 2017",0.004677,0.004813,0.00455,0.004592,14.0,0.0
"Jul 14, 2017",0.004588,0.00461,0.004208,0.004334,8.0,0.0
"Jul 15, 2017",0.004326,0.00447,0.003883,0.003883,11.0,0.0
"Jul 16, 2017",0.003871,0.004123,0.003669,0.003869,8.0,0.0
"Jul 17, 2017",0.003865,0.004353,0.003843,0.004346,6.0,0.0
"Jul 18, 2017",0.004357,0.004835,0.004219,0.004667,14.0,0.0
"Jul 19, 2017",0.004674,0.004855,0.004346,0.004411,6.0,0.0
"Jul 20, 2017",0.004398,0.005655,0.004398,0.005482,12.0,0.0
"Jul 21, 2017",0.005522,0.005541,0.005105,0.005202,7.0,0.0
"Jul 22, 2017",0.005201,0.005889,0.005176,0.005519,150.0,0.0
"Jul 23, 2017",0.005519,0.005628,0.005294,0.005397,9.0,0.0
"Jul 24, 2017",0.005391,0.005482,0.005313,0.005406,9.0,0.0
"Jul 25, 2017",0.005406,0.005554,0.004803,0.005016,5.0,0.0
