datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",2.26,2.29,2.2,2.25,1818030.0,92258700.0
"Jul 25, 2017",2.25,2.26,1.87,1.94,1741270.0,91633900.0
"Jul 26, 2017",1.94,2.01,1.82,2.0,1496860.0,79017300.0
"Jul 27, 2017",2.0,2.04,1.9,2.02,1665700.0,81550400.0
"Jul 28, 2017",2.01,2.03,1.79,1.79,2822560.0,82115600.0
"Jul 29, 2017",1.8,1.84,1.65,1.83,1713160.0,73260100.0
"Jul 30, 2017",1.83,1.85,1.73,1.81,1329730.0,74773600.0
"Jul 31, 2017",1.8,1.91,1.43,1.87,1465680.0,73290800.0
"Aug 01, 2017",1.87,2.1,1.72,2.02,1499590.0,76357400.0
"Aug 02, 2017",2.02,2.06,1.95,1.98,1735610.0,82502600.0
"Aug 03, 2017",1.99,2.06,1.97,2.01,1605640.0,80946200.0
"Aug 04, 2017",2.01,2.06,1.98,2.01,1483470.0,81983800.0
"Aug 05, 2017",2.01,2.36,2.01,2.29,1305200.0,82060400.0
"Aug 06, 2017",2.29,2.42,2.26,2.37,1500290.0,93343900.0
"Aug 07, 2017",2.36,2.47,2.34,2.45,2195170.0,96330300.0
"Aug 08, 2017",2.46,2.6,2.44,2.56,2240360.0,100239000.0
"Aug 09, 2017",2.56,2.68,2.38,2.57,2988450.0,104365000.0
"Aug 10, 2017",2.57,2.77,2.53,2.65,2526260.0,104988000.0
"Aug 11, 2017",2.65,2.84,2.61,2.78,4985580.0,108132000.0
"Aug 12, 2017",2.77,3.09,2.77,2.96,6900550.0,112911000.0
"Aug 13, 2017",2.98,2.98,2.69,2.82,4273330.0,121700000.0
"Aug 14, 2017",2.85,2.9,2.73,2.77,4883460.0,116027000.0
"Aug 15, 2017",2.78,2.79,2.53,2.61,3388150.0,113361000.0
"Aug 16, 2017",2.6,2.75,2.5,2.75,3129120.0,106194000.0
"Aug 17, 2017",2.74,2.83,2.64,2.7,2441650.0,111854000.0
"Aug 18, 2017",2.69,2.83,2.54,2.6,3111720.0,109764000.0
"Aug 19, 2017",2.6,2.65,2.47,2.58,2970530.0,105814000.0
"Aug 20, 2017",2.57,2.66,2.51,2.6,2516270.0,104879000.0
"Aug 21, 2017",2.57,2.95,2.57,2.72,3867280.0,104755000.0
"Aug 22, 2017",2.72,2.83,2.45,2.67,2669290.0,110847000.0
