datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.007135,0.008513,0.007065,0.007858,31.0,34790.0
"Jan 02, 2017",0.007863,0.007957,0.007288,0.007408,99.0,38341.0
"Jan 03, 2017",0.007408,0.009698,0.007407,0.008079,66.0,36129.0
"Jan 04, 2017",0.008077,0.008808,0.007815,0.008763,16.0,39399.0
"Jan 05, 2017",0.008772,0.009114,0.006901,0.007738,12.0,42795.0
"Jan 06, 2017",0.00776,0.007999,0.006782,0.006946,75.0,37860.0
"Jan 07, 2017",0.006956,0.007433,0.00631,0.007433,13.0,33945.0
"Jan 08, 2017",0.007433,0.007546,0.006467,0.006626,13.0,36278.0
"Jan 09, 2017",0.006635,0.007518,0.006401,0.007508,40.0,32388.0
"Jan 10, 2017",0.007504,0.007678,0.006816,0.006875,11.0,36636.0
"Jan 11, 2017",0.006876,0.010525,0.0064,0.006479,71.0,33571.0
"Jan 12, 2017",0.00647,0.008739,0.006309,0.007298,308.0,31593.0
"Jan 13, 2017",0.007293,0.007331,0.006294,0.007135,197.0,35620.0
"Jan 14, 2017",0.007143,0.01269,0.007143,0.009171,306.0,34894.0
"Jan 15, 2017",0.009167,0.010318,0.008982,0.010318,123.0,44788.0
"Jan 16, 2017",0.010318,0.010614,0.007933,0.00854,160.0,50414.0
"Jan 17, 2017",0.008541,0.009518,0.008492,0.008983,91.0,41740.0
"Jan 18, 2017",0.008988,0.010042,0.008804,0.009087,155.0,43932.0
"Jan 19, 2017",0.009125,0.010604,0.008737,0.00887,17.0,44605.0
"Jan 20, 2017",0.008866,0.008866,0.005793,0.005922,181.0,43345.0
"Jan 21, 2017",0.00592,0.008791,0.005684,0.008765,92.0,28946.0
"Jan 22, 2017",0.008764,0.008896,0.005216,0.006974,971.0,42862.0
"Jan 23, 2017",0.006982,0.007862,0.006712,0.006714,101.0,34149.0
"Jan 24, 2017",0.006635,0.007408,0.006456,0.006456,328.0,32456.0
"Jan 25, 2017",0.006459,0.010082,0.005667,0.00688,271.0,31602.0
"Jan 26, 2017",0.007836,0.010002,0.004987,0.006272,338.0,38344.0
"Jan 27, 2017",0.006273,0.010142,0.005803,0.008413,4951.0,30695.0
"Jan 28, 2017",0.008413,0.014575,0.008402,0.012191,3314.0,41171.0
