datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,1.13,1.14,1.01,1.06,85722.0,11265100.0
2017-7-29,1.05,1.12,1.02,1.11,84925.0,10544700.0
2017-7-30,1.11,1.12,1.05,1.06,77236.0,11149400.0
2017-7-31,1.06,1.07,1.03,1.06,80434.0,10590700.0
2017-8-01,1.06,1.13,1.04,1.13,102932.0,10595000.0
2017-8-02,1.13,1.17,1.01,1.01,136263.0,11270900.0
2017-8-03,1.01,1.08,0.998854,1.0,150005.0,10117700.0
2017-8-04,1.0,1.06,0.99495,1.05,117534.0,10014500.0
2017-8-05,1.05,1.14,0.993833,1.08,152031.0,10527000.0
2017-8-06,1.08,1.1,0.963555,1.04,155520.0,10848900.0
2017-8-07,1.04,1.05,1.0,1.02,146711.0,10409000.0
2017-8-08,1.02,1.08,0.980618,1.01,220750.0,10169600.0
2017-8-09,1.01,1.05,0.982193,1.04,161548.0,10066200.0
2017-8-10,1.04,1.06,1.02,1.05,155541.0,10397800.0
2017-8-11,1.05,1.09,1.0,1.08,196233.0,10466800.0
2017-8-12,1.08,1.1,0.928889,1.05,412404.0,10800700.0
2017-8-13,1.05,1.13,0.968108,1.05,222918.0,10527600.0
2017-8-14,1.05,1.06,0.883336,1.02,361198.0,10487000.0
2017-8-15,1.0,1.07,0.908192,0.908192,224079.0,10029200.0
2017-8-16,0.910459,1.09,0.864375,1.09,205348.0,9104590.0
2017-8-17,1.09,1.11,1.06,1.06,159632.0,10906300.0
2017-8-18,1.05,1.06,0.945819,1.03,214673.0,10537800.0
2017-8-19,1.03,1.04,0.997328,1.02,209311.0,10251200.0
2017-8-20,1.02,1.07,0.95967,1.07,152814.0,10159400.0
2017-8-21,1.07,1.08,0.942835,1.06,240185.0,10657100.0
2017-8-22,1.06,1.12,0.929437,1.08,166877.0,10583600.0
2017-8-23,1.08,1.11,0.993241,0.993241,153114.0,10804800.0
2017-8-24,0.993517,1.07,0.985306,1.07,155061.0,9935170.0
2017-8-25,1.07,1.1,1.02,1.02,133137.0,10650800.0
2017-8-26,1.02,1.09,1.01,1.09,166014.0,10193600.0
