datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.002428,0.004012,0.002416,0.003993,1.0,3703.0
2017-1-02,0.003994,0.004078,0.002954,0.00342,1.0,6090.0
2017-1-03,0.00342,0.003465,0.002691,0.002777,3.0,5215.0
2017-1-04,0.002777,0.004124,0.002771,0.00384,8.0,4233.0
2017-1-05,0.00385,0.003869,0.002413,0.003479,5.0,5871.0
2017-1-06,0.003482,0.003764,0.002416,0.003672,8.0,5308.0
2017-1-07,0.003677,0.006433,0.002479,0.006433,148.0,5607.0
2017-1-08,0.006433,0.007225,0.004753,0.00476,266.0,9808.0
2017-1-09,0.004766,0.005105,0.004602,0.005049,1.0,7267.0
2017-1-10,0.005045,0.006647,0.005044,0.005685,42.0,7691.0
2017-1-11,0.005686,0.005703,0.004287,0.004371,113.0,8669.0
2017-1-12,0.004371,0.006221,0.004263,0.006157,245.0,6664.0
2017-1-13,0.006149,0.006273,0.00461,0.004611,2.0,9375.0
2017-1-14,0.004617,0.006249,0.004583,0.006165,0.0,7040.0
2017-1-15,0.006163,0.006196,0.004295,0.004527,8.0,9396.0
2017-1-16,0.004527,0.006635,0.004519,0.006609,115.0,6902.0
2017-1-17,0.006611,0.007115,0.004777,0.004891,0.0,10079.0
2017-1-18,0.004902,0.007506,0.003874,0.007506,30.0,7473.0
2017-1-19,0.007506,0.007653,0.004368,0.007618,825.0,11445.0
2017-1-20,0.007615,0.008417,0.006462,0.006475,869.0,11610.0
2017-1-21,0.006475,0.008458,0.006395,0.006721,16.0,9872.0
2017-1-22,0.006724,0.006727,0.006095,0.006465,77.0,10252.0
2017-1-23,0.006478,0.008271,0.005676,0.006912,119.0,9878.0
2017-1-24,0.00683,0.008611,0.005566,0.008601,265.0,10414.0
2017-1-25,0.008601,0.009257,0.00751,0.008991,1129.0,13114.0
2017-1-26,0.009,0.01063,0.007694,0.010234,1914.0,13722.0
2017-1-27,0.010235,0.010386,0.008114,0.009006,1327.0,15605.0
2017-1-28,0.009006,0.010196,0.00762,0.008934,164.0,13731.0
2017-1-29,0.008934,0.010725,0.006574,0.006575,84.0,13621.0
2017-1-30,0.006575,0.00659,0.005667,0.006281,23.0,10025.0
2017-1-31,0.006281,0.00935,0.006281,0.00665,49.0,9577.0
2017-2-01,0.00665,0.007222,0.006051,0.007222,19.0,10140.0
2017-2-02,0.007221,0.010646,0.007182,0.008999,2.0,11010.0
