datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Apr 01, 2017",0.065494,0.1302,0.065465,0.1302,402.0,0.0
"Apr 02, 2017",0.130213,0.130252,0.065615,0.067243,101.0,0.0
"Apr 03, 2017",0.067291,0.126171,0.067291,0.080067,156.0,0.0
"Apr 04, 2017",0.080186,0.45286,0.080149,0.283312,4344.0,0.0
"Apr 05, 2017",0.283535,0.788592,0.048848,0.270259,29077.0,0.0
"Apr 06, 2017",0.270507,0.344792,0.082591,0.146283,55231.0,0.0
"Apr 07, 2017",0.14582,0.204494,0.023605,0.049748,17867.0,0.0
"Apr 08, 2017",0.046116,0.073594,0.022031,0.036432,26244.0,0.0
"Apr 09, 2017",0.037061,0.041606,0.011893,0.018696,820.0,0.0
"Apr 10, 2017",0.018567,0.041106,0.011922,0.027189,4850.0,0.0
"Apr 11, 2017",0.027197,0.057545,0.023113,0.027364,84412.0,0.0
"Apr 12, 2017",0.027359,0.061041,0.002947,0.004371,30481.0,0.0
"Apr 13, 2017",0.004373,0.010422,0.002331,0.00484,96780.0,0.0
"Apr 14, 2017",0.004845,0.006701,0.001647,0.001719,6788.0,0.0
"Apr 15, 2017",0.001718,0.002373,0.00109,0.001213,2809.0,0.0
"Apr 16, 2017",0.001213,0.001291,0.00075,0.001219,2541.0,0.0
"Apr 17, 2017",0.001219,0.001303,0.000985,0.001303,637.0,0.0
"Apr 18, 2017",0.001171,0.001245,0.001056,0.001168,293.0,0.0
"Apr 19, 2017",0.001169,0.00117,0.000974,0.001032,399.0,0.0
"Apr 20, 2017",0.001033,0.002132,0.000936,0.0011,965.0,0.0
"Apr 21, 2017",0.001101,0.001124,0.000957,0.00099,190.0,0.0
"Apr 22, 2017",0.00099,0.001144,0.000904,0.000904,227.0,0.0
"Apr 23, 2017",0.000904,0.001026,0.000867,0.000869,52.0,0.0
"Apr 24, 2017",0.000871,0.001003,0.000695,0.000838,23.0,0.0
"Apr 25, 2017",0.000838,0.001314,0.000837,0.001073,156.0,0.0
"Apr 26, 2017",0.001074,0.001395,0.001074,0.001307,1932.0,0.0
"Apr 27, 2017",0.001308,0.002264,0.001231,0.002216,615.0,0.0
"Apr 28, 2017",0.002216,0.002216,0.001334,0.001384,249.0,0.0
"Apr 29, 2017",0.001386,0.00146,0.00131,0.001399,39.0,0.0
"Apr 30, 2017",0.001399,0.001616,0.001302,0.001361,74.0,0.0
"May 01, 2017",0.001362,0.002464,0.001327,0.001422,623.0,0.0
"May 02, 2017",0.001422,0.002149,0.001159,0.001769,148.0,0.0
"May 03, 2017",0.00177,0.001796,0.001373,0.001404,255.0,0.0
"May 04, 2017",0.001405,0.001686,0.001325,0.001503,43.0,0.0
"May 05, 2017",0.001506,0.00168,0.001286,0.001437,166.0,0.0
"May 06, 2017",0.001438,0.001454,0.001405,0.001416,17.0,0.0
"May 07, 2017",0.001417,0.001588,0.001174,0.001588,37.0,0.0
"May 08, 2017",0.001589,0.001838,0.001218,0.001411,210.0,0.0
"May 09, 2017",0.001411,0.001579,0.001177,0.001459,94.0,0.0
"May 10, 2017",0.00146,0.001463,0.000945,0.001077,3.0,0.0
"May 11, 2017",0.001079,0.001463,0.001034,0.001358,74.0,0.0
"May 12, 2017",0.001359,0.001394,0.001217,0.00124,23.0,0.0
"May 13, 2017",0.001238,0.001277,0.000863,0.001011,312.0,0.0
"May 14, 2017",0.001014,0.001348,0.001011,0.001342,114.0,0.0
"May 15, 2017",0.001343,0.001345,0.001185,0.001209,12.0,0.0
"May 16, 2017",0.001207,0.001241,0.00064,0.000678,10.0,0.0
"May 17, 2017",0.000678,0.001322,0.000671,0.001305,3.0,0.0
"May 18, 2017",0.001305,0.001316,0.000787,0.001021,57.0,0.0
"May 19, 2017",0.001022,0.001115,0.000776,0.000871,115.0,0.0
"May 20, 2017",0.00087,0.001091,0.000744,0.001052,39.0,0.0
"May 21, 2017",0.001052,0.001057,0.000712,0.000712,10.0,0.0
"May 22, 2017",0.000715,0.001086,0.000554,0.00083,29.0,0.0
"May 23, 2017",0.000829,0.002035,0.000711,0.001362,338.0,0.0
"May 24, 2017",0.001363,0.00162,0.001319,0.001342,10.0,0.0
"May 25, 2017",0.001339,0.001393,0.000794,0.000815,65.0,0.0
"May 26, 2017",0.000809,0.001396,0.000809,0.001115,33.0,0.0
"May 27, 2017",0.001119,0.001212,0.000943,0.00121,22.0,0.0
"May 28, 2017",0.001213,0.001492,0.000983,0.001039,6.0,0.0
"May 29, 2017",0.001037,0.001198,0.000857,0.000864,81.0,0.0
"May 30, 2017",0.000865,0.001114,0.000712,0.000766,8.0,0.0
"May 31, 2017",0.000769,0.001324,0.00067,0.001314,29.0,0.0
"Jun 01, 2017",0.001315,0.001337,0.000873,0.001076,96.0,0.0
"Jun 02, 2017",0.001076,0.001145,0.000935,0.001145,9.0,0.0
"Jun 03, 2017",0.001147,0.001536,0.00107,0.001486,48.0,0.0
"Jun 04, 2017",0.001482,0.001523,0.001083,0.001243,189.0,0.0
"Jun 05, 2017",0.001243,0.001616,0.001128,0.001421,129.0,0.0
"Jun 06, 2017",0.001425,0.001725,0.001241,0.001462,266.0,0.0
"Jun 07, 2017",0.001462,0.001689,0.001397,0.001606,13.0,0.0
"Jun 08, 2017",0.001614,0.002092,0.001466,0.002079,232.0,0.0
"Jun 09, 2017",0.002077,0.00224,0.001734,0.001739,84.0,0.0
"Jun 10, 2017",0.001742,0.001757,0.001283,0.00168,38.0,0.0
"Jun 11, 2017",0.001679,0.001736,0.001479,0.001489,235.0,0.0
"Jun 12, 2017",0.001487,0.001616,0.001186,0.001204,8.0,0.0
"Jun 13, 2017",0.0012,0.001637,0.000947,0.001599,320.0,0.0
"Jun 14, 2017",0.001598,0.001632,0.001253,0.001425,82.0,0.0
"Jun 15, 2017",0.001425,0.001453,0.001177,0.001276,9.0,0.0
"Jun 16, 2017",0.001275,0.001399,0.001179,0.001203,160.0,0.0
"Jun 17, 2017",0.001203,0.001249,0.000881,0.001249,0.0,0.0
"Jun 18, 2017",0.001249,0.001249,0.000966,0.000966,5.0,0.0
"Jun 19, 2017",0.000966,0.001199,0.000966,0.001174,5.0,0.0
"Jun 20, 2017",0.001174,0.001249,0.000874,0.000949,136.0,0.0
"Jun 21, 2017",0.000949,0.001294,0.000949,0.001294,2.0,0.0
"Jun 22, 2017",0.001293,0.001314,0.000916,0.001199,49.0,0.0
"Jun 23, 2017",0.001199,0.001503,0.000999,0.001049,20.0,0.0
"Jun 24, 2017",0.001049,0.001061,0.000984,0.000999,2.0,0.0
"Jun 25, 2017",0.001133,0.001148,0.001071,0.001103,0.0,0.0
"Jun 26, 2017",0.001102,0.001323,0.001072,0.001183,7.0,0.0
"Jun 27, 2017",0.001211,0.001291,0.001038,0.001291,41.0,0.0
