datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-04,1.1e-05,1.2e-05,1.1e-05,1.2e-05,12.0,46652.0
2017-1-05,1.2e-05,1.2e-05,9e-06,1e-05,10.0,48894.0
2017-1-06,9e-06,9e-06,9e-06,9e-06,1.0,37903.0
2017-1-07,9e-06,9e-06,8e-06,9e-06,1.0,38256.0
2017-1-08,9e-06,9e-06,9e-06,9e-06,5.0,38472.0
2017-1-09,9e-06,9e-06,9e-06,9e-06,18.0,38582.0
2017-1-10,9e-06,9e-06,9e-06,9e-06,18.0,38228.0
2017-1-16,8e-06,8e-06,8e-06,8e-06,0.0,34976.0
2017-1-17,8e-06,9e-06,8e-06,9e-06,0.0,35209.0
2017-1-18,9e-06,9e-06,9e-06,9e-06,0.0,36996.0
2017-1-19,9e-06,9e-06,9e-06,9e-06,0.0,37542.0
2017-1-20,9e-06,9e-06,9e-06,9e-06,1.0,37812.0
2017-1-21,9e-06,9e-06,9e-06,9e-06,2.0,37898.0
2017-1-22,9e-06,1.8e-05,9e-06,9e-06,1428.0,39031.0
2017-1-23,9e-06,1.8e-05,9e-06,9e-06,142.0,39153.0
2017-1-24,9e-06,9e-06,9e-06,9e-06,70.0,38560.0
2017-1-25,9e-06,9e-06,9e-06,9e-06,5.0,37799.0
2017-1-26,9e-06,9e-06,9e-06,9e-06,0.0,38210.0
2017-1-27,9e-06,9e-06,9e-06,9e-06,1.0,38853.0
2017-1-28,9e-06,9e-06,9e-06,9e-06,0.0,38945.0
2017-1-29,9e-06,9e-06,9e-06,9e-06,1.0,39022.0
2017-1-30,9e-06,9e-06,9e-06,9e-06,2.0,38934.0
2017-1-31,9e-06,1e-05,9e-06,1e-05,0.0,38971.0
2017-2-01,1e-05,1e-05,1e-05,1e-05,1.0,41089.0
2017-2-02,1e-05,1e-05,1e-05,1e-05,2.0,41878.0
2017-2-03,1e-05,1e-05,1e-05,1e-05,1.0,42828.0
2017-2-04,1e-05,1e-05,1e-05,1e-05,1.0,43669.0
2017-2-05,1e-05,1e-05,1e-05,1e-05,51.0,44185.0
2017-2-06,1e-05,1e-05,1e-05,1e-05,0.0,43545.0
2017-2-07,1e-05,1.1e-05,1e-05,1.1e-05,0.0,44042.0
2017-2-09,1.1e-05,1.1e-05,1e-05,1e-05,1.0,45441.0
2017-2-10,1e-05,1e-05,1e-05,1e-05,0.0,42158.0
2017-2-11,1e-05,1e-05,1e-05,1e-05,0.0,41872.0
2017-2-12,1e-05,1e-05,1e-05,1e-05,0.0,42368.0
2017-2-13,1e-05,1e-05,1e-05,1e-05,13.0,42295.0
2017-2-14,1e-05,1e-05,1e-05,1e-05,0.0,41993.0
2017-2-15,1e-05,1e-05,1e-05,1e-05,0.0,42605.0
2017-2-16,1e-05,1e-05,1e-05,1e-05,1.0,43554.0
2017-2-17,1e-05,1.1e-05,1e-05,1e-05,1.0,43449.0
2017-2-18,1e-05,1.1e-05,1e-05,1.1e-05,37.0,44426.0
2017-2-19,1.1e-05,1.1e-05,1e-05,1e-05,1.0,44661.0
2017-2-20,1e-05,1.1e-05,1e-05,1.1e-05,0.0,44404.0
2017-2-21,1.1e-05,1.1e-05,1.1e-05,1.1e-05,7.0,45957.0
2017-2-22,1.1e-05,1.1e-05,1.1e-05,1.1e-05,20.0,47203.0
2017-2-23,1.1e-05,1.2e-05,1.1e-05,1.2e-05,1.0,47308.0
2017-2-24,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.0,49584.0
2017-2-25,1.2e-05,1.2e-05,1.1e-05,1.1e-05,4.0,49558.0
2017-2-26,1.1e-05,1.2e-05,1.1e-05,1.2e-05,1.0,48451.0
2017-3-03,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.0,53128.0
2017-3-04,1.3e-05,1.3e-05,1.2e-05,1.3e-05,0.0,54090.0
2017-3-05,1.3e-05,1.3e-05,1.2e-05,1.3e-05,0.0,53110.0
2017-3-06,1.3e-05,1.3e-05,1.3e-05,1.3e-05,0.0,53811.0
2017-3-07,1.3e-05,1.3e-05,1.2e-05,1.2e-05,0.0,53911.0
2017-3-08,1.2e-05,1.2e-05,1.1e-05,1.2e-05,0.0,50081.0
2017-3-09,1.2e-05,1.2e-05,1.1e-05,1.2e-05,0.0,48709.0
2017-3-11,1.2e-05,1.2e-05,1.2e-05,1.2e-05,2.0,48741.0
2017-3-12,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,49821.0
2017-3-17,1.1e-05,1.2e-05,1.1e-05,1.1e-05,0.0,47965.0
2017-3-18,1.1e-05,1.1e-05,1e-05,1e-05,2.0,46564.0
2017-3-19,1e-05,1.1e-05,1e-05,1e-05,0.0,41357.0
2017-3-20,1e-05,1.1e-05,1e-05,1.1e-05,0.0,43919.0
2017-3-21,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,44687.0
2017-3-22,1.1e-05,1.1e-05,1e-05,1e-05,0.0,46918.0
2017-3-23,1.1e-05,1.1e-05,1e-05,1e-05,0.0,44462.0
2017-3-24,1e-05,1e-05,9e-06,9e-06,0.0,43971.0
2017-3-25,9e-06,1e-05,9e-06,1e-05,3.0,39655.0
2017-3-26,1e-05,1e-05,1e-05,1e-05,1.0,41242.0
2017-3-27,1e-05,1e-05,1e-05,1e-05,1.0,41159.0
2017-3-30,1e-05,1e-05,1e-05,1e-05,0.0,43335.0
2017-3-31,1e-05,1e-05,1e-05,1e-05,0.0,20725.0
2017-4-01,1.1e-05,1.1e-05,1.1e-05,1.1e-05,3.0,21584.0
2017-4-02,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,21835.0
2017-4-03,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,22295.0
