datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.011179,0.01145,0.009176,0.011075,615.0,100279.0
2017-1-02,0.011081,0.011233,0.007592,0.007704,17.0,99401.0
2017-1-03,0.007704,0.010091,0.007703,0.007966,354.0,69107.0
2017-1-04,0.007964,0.010956,0.007964,0.010901,58.0,71445.0
2017-1-05,0.010912,0.010939,0.006373,0.007084,1250.0,97888.0
2017-1-06,0.007104,0.008542,0.006321,0.006361,2.0,63726.0
2017-1-07,0.00637,0.007378,0.005806,0.007378,17.0,57140.0
2017-1-08,0.007378,0.007953,0.007316,0.007834,103.0,66184.0
2017-1-09,0.007845,0.007867,0.007575,0.007759,9.0,70381.0
2017-1-10,0.007755,0.007859,0.00638,0.00638,33.0,69573.0
2017-1-11,0.006381,0.00781,0.005516,0.006689,305.0,57245.0
2017-1-12,0.006689,0.009584,0.005701,0.009342,1152.0,60006.0
2017-1-13,0.009336,0.00937,0.006323,0.009043,305.0,83758.0
2017-1-14,0.009056,0.009178,0.006362,0.008826,337.0,81242.0
2017-1-15,0.008822,0.00902,0.006547,0.007314,114.0,79152.0
2017-1-16,0.007314,0.009032,0.0073,0.008272,133.0,65619.0
2017-1-17,0.008274,0.00988,0.007883,0.009845,348.0,74231.0
2017-1-18,0.009851,0.009885,0.008006,0.008123,469.0,88383.0
2017-1-19,0.008157,0.009906,0.008047,0.009831,287.0,73184.0
2017-1-20,0.009827,0.010943,0.006941,0.007259,680.0,88168.0
2017-1-21,0.007259,0.007521,0.007259,0.007494,46.0,65126.0
2017-1-22,0.007494,0.010067,0.007297,0.010067,11.0,67240.0
2017-1-23,0.010079,0.010088,0.007466,0.008064,11.0,90432.0
2017-1-24,0.007968,0.008574,0.007584,0.007584,118.0,71497.0
2017-1-25,0.007588,0.00822,0.00559,0.005597,90.0,68083.0
2017-1-26,0.005604,0.007355,0.005603,0.005992,12.0,50282.0
2017-1-27,0.005992,0.006402,0.005721,0.00619,25.0,53764.0
2017-1-28,0.00619,0.00736,0.00619,0.006211,3.0,55542.0
2017-1-29,0.006212,0.007293,0.006212,0.006234,5.0,55736.0
2017-1-30,0.006234,0.006472,0.006233,0.006464,26.0,55940.0
2017-1-31,0.006461,0.007397,0.005742,0.007386,21.0,57977.0
2017-2-01,0.007385,0.007523,0.007385,0.007522,3.0,66266.0
2017-2-02,0.006313,0.008995,0.006281,0.008995,54.0,56650.0
2017-2-03,0.008992,0.009238,0.00771,0.009238,51.0,80688.0
2017-2-04,0.009251,0.009382,0.007792,0.009355,4.0,83014.0
2017-2-05,0.00936,0.009361,0.007848,0.009205,101.0,83995.0
2017-2-06,0.009214,0.009313,0.006675,0.006862,195.0,82685.0
2017-2-07,0.006875,0.007805,0.006875,0.007801,4.0,61695.0
2017-2-08,0.007808,0.00793,0.005841,0.005847,257.0,70070.0
2017-2-09,0.005856,0.005989,0.005243,0.005413,238.0,52552.0
2017-2-11,0.006254,0.006298,0.003475,0.006017,476.0,56126.0
2017-2-12,0.006011,0.007385,0.005972,0.007304,72.0,53946.0
2017-2-13,0.007302,0.008874,0.005651,0.008846,514.0,65532.0
2017-2-14,0.008856,0.008864,0.006514,0.00654,35.0,79482.0
2017-2-15,0.00655,0.00656,0.00651,0.006549,69.0,58789.0
2017-2-16,0.00655,0.006595,0.00655,0.006595,70.0,58782.0
2017-2-18,0.008329,0.008332,0.006757,0.006769,2.0,74753.0
2017-2-19,0.006772,0.008282,0.006112,0.00612,90.0,60773.0
2017-2-20,0.006124,0.008482,0.006108,0.008478,1.0,54965.0
2017-2-21,0.008472,0.008486,0.006666,0.006703,2.0,76038.0
2017-2-22,0.0067,0.008012,0.006401,0.006492,20.0,60131.0
2017-2-23,0.006491,0.006848,0.00649,0.00679,0.0,58259.0
2017-2-24,0.006825,0.007629,0.006588,0.007629,27.0,61255.0
2017-2-25,0.007608,0.008612,0.004626,0.00469,97.0,68277.0
2017-2-26,0.004692,0.007238,0.004634,0.007224,0.0,42105.0
2017-2-27,0.007215,0.007271,0.004713,0.00472,232.0,64757.0
2017-2-28,0.004723,0.00842,0.004687,0.007682,3318.0,42387.0
2017-3-01,0.007682,0.007693,0.005326,0.006174,269.0,68945.0
2017-3-02,0.006185,0.006275,0.005743,0.006193,869.0,55506.0
2017-3-03,0.006191,0.007192,0.006191,0.007191,22.0,55563.0
2017-3-04,0.007205,0.007587,0.005771,0.005899,25.0,64661.0
2017-3-05,0.005895,0.007464,0.005819,0.007463,0.0,52908.0
2017-3-06,0.007465,0.007485,0.005956,0.007166,5.0,67001.0
2017-3-07,0.007168,0.007181,0.004909,0.004919,7.0,64333.0
2017-3-08,0.004917,0.005052,0.004592,0.0046,11.0,44133.0
2017-3-09,0.004601,0.004872,0.004565,0.004849,86.0,41297.0
2017-3-10,0.004853,0.008258,0.004812,0.007125,286.0,43551.0
2017-3-11,0.007122,0.007494,0.004901,0.005867,39.0,63920.0
2017-3-12,0.005871,0.006123,0.005865,0.006087,1.0,52694.0
2017-3-13,0.006775,0.006806,0.006694,0.006776,40.0,60824.0
2017-3-14,0.006777,0.006777,0.005138,0.005146,1.0,60840.0
2017-3-15,0.005147,0.006233,0.005145,0.006223,1.0,46205.0
2017-3-16,0.006232,0.006242,0.004633,0.004775,107.0,55946.0
2017-3-17,0.004744,0.004744,0.004387,0.00439,5.0,42593.0
2017-3-18,0.004388,0.004479,0.003879,0.003944,1.0,39393.0
2017-3-19,0.003956,0.004333,0.003956,0.004199,104.0,35515.0
2017-3-20,0.004201,0.005249,0.004199,0.005229,572.0,37715.0
2017-3-21,0.005235,0.005567,0.004707,0.005558,18.0,47000.0
2017-3-22,0.005558,0.005558,0.005009,0.005214,52.0,49908.0
2017-3-23,0.005219,0.005258,0.005114,0.005226,0.0,46858.0
2017-3-24,0.0042,0.004269,0.004008,0.004022,4.0,37710.0
2017-3-25,0.004018,0.004342,0.004015,0.004329,1.0,36076.0
2017-3-26,0.004334,0.004647,0.004284,0.004457,0.0,38919.0
2017-3-27,0.004481,0.00564,0.004274,0.005637,83.0,40238.0
2017-3-28,0.00563,0.005845,0.004482,0.004482,11.0,50556.0
2017-3-29,0.004477,0.005782,0.004426,0.005699,22.0,40203.0
2017-3-30,0.005711,0.00575,0.0056,0.005635,10.0,51285.0
2017-3-31,0.005636,0.005923,0.005205,0.005906,23.0,50611.0
2017-4-01,0.005905,0.006015,0.005847,0.005887,1.0,53026.0
2017-4-02,0.005923,0.006081,0.0048,0.006051,317.0,53189.0
2017-4-03,0.006055,0.006183,0.004811,0.005101,35.0,54375.0
2017-4-04,0.005109,0.005145,0.00465,0.004703,13.0,45879.0
2017-4-05,0.004707,0.004849,0.00468,0.004825,0.0,42266.0
2017-4-06,0.00483,0.006017,0.00483,0.004944,11.0,43371.0
2017-4-07,0.004928,0.004935,0.004863,0.004921,3.0,44253.0
2017-4-08,0.004873,0.006056,0.004873,0.006056,27.0,43759.0
2017-4-09,0.006059,0.006166,0.006035,0.006126,26.0,54413.0
2017-4-10,0.004959,0.005936,0.004959,0.005924,6.0,44530.0
2017-4-11,0.005925,0.005981,0.005093,0.005784,3.0,53211.0
2017-4-12,0.005783,0.006157,0.005002,0.006134,27.0,51933.0
2017-4-13,0.006137,0.006162,0.005886,0.005952,17.0,55113.0
2017-4-14,0.005957,0.006061,0.004827,0.004834,2.0,53497.0
2017-4-15,0.004833,0.005346,0.004823,0.004925,2.0,43402.0
2017-4-16,0.004925,0.006022,0.004815,0.004815,4.0,44232.0
2017-4-17,0.004816,0.013132,0.004786,0.01299,429.0,43252.0
2017-4-18,0.012988,0.01304,0.00611,0.012117,252.0,116651.0
2017-4-19,0.012121,0.012155,0.012027,0.012079,30.0,108865.0
2017-4-20,0.012087,0.012271,0.006897,0.012033,49.0,108558.0
2017-4-21,0.012036,0.0121,0.011633,0.011695,9.0,108105.0
2017-4-22,0.011701,0.015945,0.011044,0.015335,1076.0,105099.0
2017-4-23,0.015337,0.015341,0.007036,0.015078,1289.0,137760.0
2017-4-24,0.015108,0.019383,0.009915,0.019377,3159.0,135703.0
2017-4-25,0.019382,0.029895,0.018484,0.022918,10594.0,174092.0
2017-4-26,0.022927,0.023122,0.017899,0.017948,68.0,205937.0
2017-4-27,0.017959,0.021511,0.017951,0.021479,9.0,161314.0
2017-4-28,0.021585,0.021806,0.011419,0.014468,114.0,193883.0
2017-4-29,0.014483,0.014568,0.011702,0.014077,8.0,130095.0
2017-4-30,0.014078,0.015056,0.011387,0.015056,364.0,126457.0
2017-5-01,0.01506,0.015954,0.012869,0.01288,3.0,135284.0
2017-5-02,0.012875,0.022845,0.012826,0.01649,4389.0,115648.0
2017-5-03,0.0165,0.016675,0.0092,0.009224,394.0,148221.0
2017-5-04,0.009228,0.010698,0.009228,0.009549,83.0,82892.0
2017-5-05,0.009569,0.010331,0.009164,0.010157,76.0,85958.0
2017-5-06,0.010166,0.010298,0.009298,0.009473,16.0,91323.0
2017-5-07,0.009477,0.009676,0.009409,0.009676,7.0,85132.0
2017-5-08,0.009677,0.011133,0.009677,0.011133,41.0,86933.0
2017-5-09,0.011136,0.012185,0.010844,0.011726,234.0,100039.0
2017-5-10,0.011734,0.011862,0.011169,0.011234,19.0,105405.0
2017-5-11,0.011254,0.026964,0.011131,0.023729,569.0,101097.0
2017-5-12,0.023753,0.023802,0.011893,0.011893,72.0,213376.0
2017-5-13,0.011869,0.040245,0.010517,0.022684,8542.0,106619.0
2017-5-14,0.022757,0.040765,0.01179,0.021496,17920.0,204426.0
2017-5-15,0.021509,0.0364,0.013966,0.020008,57558.0,193216.0
2017-5-16,0.019978,0.019993,0.012841,0.017583,357.0,179470.0
2017-5-17,0.017579,0.017605,0.014332,0.014631,136.0,157910.0
2017-5-18,0.014623,0.01835,0.014611,0.015567,29.0,131365.0
2017-5-19,0.015576,0.01903,0.014691,0.018565,1026.0,139918.0
2017-5-20,0.018545,0.01877,0.015084,0.016373,92.0,166594.0
2017-5-21,0.016367,0.018351,0.015562,0.018294,61.0,147026.0
2017-5-22,0.018355,0.029549,0.010943,0.029549,6672.0,164889.0
2017-5-23,0.029506,0.030162,0.013772,0.02277,297.0,265057.0
2017-5-24,0.022798,0.023743,0.019643,0.021005,72.0,204798.0
2017-5-25,0.020965,0.034733,0.01922,0.025088,1647.0,188335.0
2017-5-26,0.024904,0.027067,0.019361,0.021984,260.0,223715.0
2017-5-27,0.022057,0.022718,0.017101,0.019872,47.0,198145.0
2017-5-28,0.019991,0.022197,0.014025,0.014597,47.0,179578.0
2017-5-29,0.014567,0.020053,0.014567,0.019635,1.0,130861.0
2017-5-30,0.019658,0.019905,0.015863,0.018805,22.0,176592.0
2017-5-31,0.018879,0.022649,0.015597,0.016223,58.0,169593.0
2017-6-01,0.016238,0.022328,0.016238,0.020652,302.0,145867.0
2017-6-02,0.020661,0.020676,0.01941,0.02008,24.0,185602.0
2017-6-03,0.020071,0.028167,0.017738,0.02795,2955.0,180305.0
2017-6-04,0.027875,0.027875,0.022188,0.022547,179.0,250405.0
2017-6-05,0.022551,0.023589,0.022551,0.023589,45.0,202576.0
2017-6-06,0.02366,0.025674,0.020485,0.020635,69.0,212544.0
2017-6-07,0.02064,0.025725,0.020254,0.024202,67.0,185411.0
2017-6-08,0.024324,0.025298,0.019817,0.022446,158.0,218504.0
2017-6-09,0.02241,0.025385,0.02236,0.024947,185.0,201316.0
2017-6-10,0.024984,0.025865,0.024953,0.025689,26.0,224437.0
2017-6-11,0.025674,0.026455,0.025402,0.026448,4.0,230638.0
2017-6-12,0.026413,0.026493,0.014808,0.017862,518.0,237272.0
2017-6-13,0.017803,0.019132,0.017782,0.018967,13.0,159925.0
2017-6-14,0.018956,0.019502,0.017036,0.017817,0.0,170282.0
2017-6-15,0.017816,0.018156,0.015515,0.01761,2.0,160043.0
2017-6-16,0.017597,0.017736,0.016894,0.017736,0.0,158072.0
2017-6-17,0.017736,0.017861,0.017736,0.017861,1.0,159323.0
2017-6-18,0.017861,0.017861,0.017861,0.017861,1.0,160445.0
2017-6-19,0.017486,0.017486,0.017486,0.017486,1.0,157080.0
2017-6-20,0.017486,0.017486,0.004372,0.014988,330.0,157080.0
2017-6-21,0.014988,0.014988,0.009093,0.009442,62.0,134640.0
2017-6-22,0.009442,0.009442,0.005371,0.007669,338.0,84823.0
2017-6-23,0.007669,0.010161,0.007669,0.010036,19.0,68891.0
2017-6-24,0.010035,0.010119,0.003839,0.009257,343.0,90146.0
2017-6-25,0.009236,0.009368,0.005681,0.005795,2.0,82964.0
2017-6-26,0.005792,0.008039,0.005444,0.008039,1.0,52029.0
2017-6-27,0.008039,0.008786,0.007955,0.008786,0.0,72215.0
2017-6-28,0.008843,0.008983,0.008575,0.008866,0.0,79436.0
2017-6-29,0.008857,0.008896,0.00861,0.008718,16.0,79567.0
2017-6-30,0.008736,0.008844,0.008477,0.008511,2.0,78475.0
2017-7-01,0.008508,0.008644,0.008258,0.008353,3.0,76426.0
2017-7-02,0.008352,0.008362,0.007155,0.007521,43.0,75030.0
2017-7-03,0.007493,0.012132,0.00744,0.011949,70.0,67314.0
2017-7-04,0.011922,0.012328,0.008327,0.008474,1.0,107095.0
2017-7-05,0.00847,0.011817,0.008254,0.011745,4.0,76084.0
2017-7-06,0.011751,0.012239,0.011655,0.012204,66.0,105561.0
2017-7-07,0.012213,0.012236,0.01173,0.011848,6.0,109711.0
2017-7-08,0.011858,0.011954,0.008037,0.008125,400.0,106520.0
2017-7-09,0.008132,0.010058,0.008132,0.009876,2.0,73055.0
2017-7-10,0.009896,0.009948,0.007481,0.007693,8.0,88894.0
2017-7-11,0.007676,0.009297,0.007395,0.009132,5.0,68958.0
2017-7-12,0.009087,0.009474,0.008853,0.009354,0.0,81626.0
2017-7-14,0.008539,0.008646,0.008373,0.008623,1.0,76705.0
2017-7-15,0.008608,0.008672,0.005284,0.005376,498.0,77328.0
2017-7-16,0.00536,0.006783,0.004776,0.006122,77.0,48149.0
2017-7-17,0.006115,0.006662,0.00545,0.006651,1.0,54931.0
2017-7-18,0.006669,0.007859,0.006457,0.007587,4.0,59905.0
2017-7-19,0.007599,0.007892,0.004064,0.007238,123.0,68262.0
2017-7-20,0.007217,0.008534,0.0052,0.005482,1.0,64829.0
2017-7-21,0.005522,0.006468,0.004337,0.006189,337.0,49607.0
2017-7-22,0.006188,0.00639,0.006158,0.006389,10.0,55588.0
2017-7-23,0.005865,0.005924,0.005768,0.005838,1.0,52686.0
2017-7-24,0.005831,0.00593,0.005747,0.00586,1.0,52382.0
2017-7-25,0.006887,0.006902,0.00571,0.005963,5.0,61867.0
2017-7-26,0.005965,0.006072,0.005689,0.005798,4.0,53588.0
2017-7-27,0.00426,0.007366,0.001016,0.007137,840.0,38271.0
2017-7-28,0.007158,0.007667,0.005992,0.006449,45.0,64303.0
2017-7-29,0.006425,0.007472,0.005758,0.005844,5.0,57717.0
2017-7-30,0.005843,0.005861,0.005593,0.005819,0.0,52489.0
2017-7-31,0.004121,0.007243,0.004078,0.004206,234.0,37019.0
2017-8-01,0.004208,0.005267,0.003544,0.004177,42.0,37797.0
2017-8-02,0.004176,0.004267,0.003741,0.004238,16.0,37513.0
2017-8-03,0.004245,0.004276,0.003799,0.003903,28.0,38136.0
2017-8-04,0.003902,0.004727,0.003875,0.004712,134.0,35051.0
2017-8-05,0.00471,0.00531,0.004707,0.004881,5.0,42311.0
2017-8-06,0.004883,0.005512,0.004736,0.005422,9.0,43862.0
2017-8-07,0.00541,0.00575,0.005132,0.00532,22.0,48598.0
2017-8-08,0.005291,0.005432,0.005226,0.005337,7.0,47531.0
2017-8-09,0.005879,0.005967,0.004903,0.005047,221.0,52813.0
2017-8-10,0.005048,0.005205,0.004962,0.004988,22.0,45346.0
2017-8-11,0.004988,0.005183,0.004965,0.005171,5.0,44804.0
2017-8-12,0.004973,0.005187,0.004893,0.005071,88.0,44673.0
2017-8-13,0.005067,0.00705,0.005067,0.006942,0.0,45515.0
2017-8-14,0.006946,0.007129,0.005679,0.005912,2.0,62397.0
2017-8-15,0.005928,0.00705,0.005796,0.006971,1.0,53253.0
2017-8-16,0.006978,0.007293,0.005253,0.007292,169.0,62687.0
2017-8-17,0.007285,0.007441,0.005797,0.006354,7.0,65447.0
2017-8-18,0.006334,0.006444,0.006217,0.006386,0.0,56900.0
2017-8-19,0.005982,0.006122,0.005302,0.005539,2.0,53740.0
2017-8-20,0.005513,0.005513,0.005335,0.005335,95.0,49527.0
2017-8-21,0.005314,0.005355,0.005199,0.005229,5.0,47741.0
2017-8-22,0.005241,0.006677,0.005215,0.005609,20.0,47083.0
2017-8-23,0.005598,0.005829,0.005579,0.005673,1.0,50287.0
2017-8-24,0.005676,0.00773,0.00563,0.007674,442.0,50987.0
2017-8-25,0.007662,0.00781,0.006674,0.006768,12.0,68828.0
2017-8-26,0.00677,0.00762,0.006639,0.007604,1.0,60814.0
