datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.014214,0.014217,0.010735,0.01223,26.0,10874.0
2017-1-02,0.012233,0.015419,0.009783,0.010371,876.0,9436.0
2017-1-03,0.010534,0.016428,0.009817,0.011482,330.0,8133.0
2017-1-04,0.011488,0.017884,0.011295,0.017298,233.0,8870.0
2017-1-05,0.017328,0.017328,0.009605,0.010711,205.0,13667.0
2017-1-06,0.010721,0.016008,0.010721,0.011277,575.0,8521.0
2017-1-07,0.011294,0.014486,0.010344,0.011366,375.0,8991.0
2017-1-08,0.011361,0.01475,0.010713,0.013349,139.0,9165.0
2017-1-09,0.013367,0.016222,0.010727,0.010897,460.0,10874.0
2017-1-10,0.010892,0.015257,0.01089,0.011373,72.0,8924.0
2017-1-11,0.011373,0.011531,0.009939,0.010142,13.0,9384.0
2017-1-12,0.010889,0.012584,0.010222,0.012185,192.0,9025.0
2017-1-13,0.012169,0.012725,0.010991,0.012014,157.0,10184.0
2017-1-14,0.012014,0.01296,0.011846,0.012944,133.0,10106.0
2017-1-15,0.012935,0.023823,0.011887,0.018902,281.0,10949.0
2017-1-16,0.018901,0.019612,0.016996,0.019536,212.0,16138.0
2017-1-17,0.019541,0.03276,0.019524,0.032686,649.0,16812.0
2017-1-18,0.032737,0.037453,0.027058,0.037016,921.0,28388.0
2017-1-19,0.037016,0.090349,0.037016,0.0814,5247.0,32368.0
2017-1-20,0.081366,0.089817,0.031149,0.044751,1130.0,71722.0
2017-1-21,0.044751,0.078346,0.034829,0.0369,591.0,39717.0
2017-1-22,0.036916,0.046824,0.03339,0.034358,749.0,32828.0
2017-1-23,0.03454,0.063662,0.033978,0.036449,6713.0,30931.0
2017-1-24,0.036017,0.064332,0.035693,0.058016,2053.0,32490.0
2017-1-25,0.057966,0.058702,0.034234,0.035836,2718.0,52783.0
2017-1-26,0.03587,0.045433,0.024004,0.024298,2679.0,32789.0
2017-1-27,0.024527,0.036788,0.024117,0.024162,1972.0,22476.0
2017-1-28,0.024162,0.034633,0.024155,0.031306,2481.0,22317.0
2017-1-29,0.031323,0.031323,0.024244,0.025066,2058.0,28954.0
2017-1-30,0.025083,0.028674,0.023004,0.024749,6731.0,23187.0
2017-1-31,0.024519,0.027215,0.014128,0.016231,5611.0,23058.0
2017-2-01,0.016231,0.025506,0.014935,0.017687,4433.0,15349.0
2017-2-02,0.015065,0.018381,0.012556,0.016442,3712.0,14318.0
2017-2-03,0.014262,0.023737,0.012806,0.017479,3022.0,13651.0
2017-2-04,0.017503,0.02273,0.01345,0.019181,3739.0,16850.0
2017-2-05,0.019184,0.019647,0.015146,0.01652,3247.0,18569.0
2017-2-06,0.016537,0.017913,0.015147,0.016081,2070.0,16110.0
2017-2-07,0.017162,0.018552,0.015399,0.017725,2953.0,16801.0
2017-2-08,0.016636,0.018753,0.016636,0.018305,938.0,16406.0
2017-2-09,0.018325,0.0265,0.016524,0.022697,4953.0,18154.0
2017-2-10,0.022726,0.032371,0.017729,0.02548,3586.0,22667.0
2017-2-11,0.025486,0.026102,0.017573,0.020852,2453.0,25624.0
2017-2-12,0.020833,0.022445,0.015544,0.018835,2000.0,21013.0
2017-2-13,0.018829,0.024839,0.018204,0.01902,1845.0,19076.0
2017-2-14,0.019041,0.024416,0.018566,0.020101,1771.0,19391.0
2017-2-15,0.020134,0.022999,0.016525,0.020271,3211.0,20630.0
2017-2-16,0.019619,0.021651,0.018711,0.020539,2432.0,20199.0
2017-2-17,0.020512,0.02062,0.018787,0.019376,2851.0,21262.0
2017-2-18,0.019431,0.020525,0.017286,0.018695,2663.0,20234.0
2017-2-19,0.019671,0.020108,0.017193,0.017814,2328.0,20538.0
2017-2-20,0.017828,0.019356,0.014884,0.015174,1351.0,18706.0
2017-2-21,0.015164,0.020263,0.015085,0.01557,1853.0,15911.0
2017-2-22,0.015563,0.01668,0.015507,0.016058,1418.0,16461.0
2017-2-23,0.01648,0.017249,0.015451,0.017104,4781.0,17431.0
2017-2-24,0.016359,0.017702,0.014397,0.014918,3024.0,17552.0
2017-2-25,0.015637,0.016409,0.014014,0.015156,4428.0,16776.0
2017-2-26,0.015345,0.022788,0.014259,0.015416,2075.0,16620.0
2017-2-27,0.015397,0.023167,0.014615,0.014632,2222.0,16772.0
2017-2-28,0.014641,0.022723,0.014641,0.02124,2238.0,16043.0
2017-3-01,0.021241,0.023363,0.016868,0.017103,2467.0,23338.0
2017-3-02,0.017133,0.019914,0.014952,0.017251,2044.0,18944.0
2017-3-03,0.017247,0.019751,0.015811,0.015937,3797.0,19108.0
2017-3-04,0.015968,0.018173,0.015245,0.015702,2977.0,17691.0
2017-3-05,0.015691,0.017625,0.015404,0.016663,6248.0,17384.0
2017-3-06,0.016604,0.0196,0.015893,0.01684,14976.0,18737.0
2017-3-07,0.016946,0.017686,0.014914,0.015319,9058.0,19208.0
2017-3-08,0.015315,0.016279,0.013973,0.013973,28723.0,17468.0
2017-3-09,0.014115,0.015356,0.013805,0.014309,5778.0,16183.0
2017-3-10,0.01432,0.016034,0.012008,0.012485,6715.0,16496.0
2017-3-11,0.012748,0.014935,0.011806,0.012934,1931.0,14774.0
2017-3-12,0.012943,0.015101,0.012929,0.01418,5600.0,15070.0
2017-3-13,0.014185,0.014925,0.014154,0.014598,6739.0,16590.0
2017-3-14,0.014416,0.014946,0.013193,0.014049,8903.0,16950.0
2017-3-15,0.013654,0.014282,0.012559,0.013008,8394.0,16155.0
2017-3-16,0.013664,0.01371,0.012099,0.012662,6709.0,16245.0
2017-3-17,0.012533,0.012619,0.011654,0.012103,5700.0,14931.0
2017-3-18,0.012097,0.012656,0.009894,0.011686,4630.0,14482.0
2017-3-19,0.011721,0.012046,0.009926,0.011197,7633.0,14079.0
2017-3-20,0.010756,0.011663,0.01063,0.011407,7939.0,12984.0
2017-3-21,0.011419,0.012262,0.010927,0.012046,9524.0,13846.0
2017-3-22,0.012047,0.021104,0.011025,0.017384,12998.0,14675.0
2017-3-23,0.020266,0.022636,0.016208,0.022392,14331.0,24857.0
2017-3-24,0.022327,0.025067,0.015834,0.021169,20482.0,27462.0
2017-3-25,0.021147,0.021519,0.015284,0.017267,3076.0,26141.0
2017-3-26,0.017289,0.017534,0.013936,0.016396,49.0,21448.0
2017-3-27,0.016486,0.019082,0.014839,0.015206,272.0,20525.0
2017-3-28,0.015188,0.015672,0.01505,0.015498,13.0,19014.0
2017-3-29,0.015482,0.017877,0.015147,0.015308,12.0,19496.0
2017-3-30,0.015341,0.016628,0.014954,0.015294,62.0,19394.0
2017-3-31,0.015297,0.01742,0.015169,0.015541,83.0,19436.0
2017-4-01,0.01554,0.015561,0.011392,0.011464,49.0,19817.0
2017-4-02,0.011465,0.017336,0.011294,0.015397,39.0,14680.0
2017-4-03,0.015408,0.015829,0.013319,0.01376,4.0,19835.0
2017-4-04,0.013781,0.015325,0.013435,0.013599,57.0,17773.0
2017-4-05,0.01361,0.015923,0.013352,0.01352,54.0,17690.0
2017-4-06,0.013532,0.016167,0.013532,0.01418,73.0,17606.0
2017-4-07,0.014136,0.016622,0.014053,0.01477,14.0,18422.0
2017-4-08,0.014717,0.015402,0.01191,0.011948,20.0,19284.0
2017-4-09,0.011954,0.016701,0.011945,0.01543,18.0,15746.0
2017-4-10,0.015423,0.015448,0.01179,0.011848,117.0,20349.0
2017-4-11,0.011851,0.012377,0.011851,0.012279,9.0,15712.0
2017-4-12,0.012277,0.013422,0.011995,0.013372,101.0,16280.0
2017-4-13,0.013379,0.023996,0.011692,0.012301,331.0,17741.0
2017-4-14,0.012312,0.013795,0.012297,0.012843,11.0,16329.0
2017-4-15,0.01284,0.028471,0.012815,0.020097,305.0,17030.0
2017-4-16,0.020098,0.034408,0.020098,0.031466,329.0,26656.0
2017-4-17,0.033581,0.043525,0.020265,0.032928,935.0,44537.0
2017-4-18,0.032924,0.033476,0.021686,0.024379,37.0,43852.0
2017-4-19,0.024388,0.024517,0.021971,0.022076,52.0,32488.0
2017-4-20,0.02209,0.027142,0.020765,0.027015,298.0,29552.0
2017-4-21,0.027023,0.027126,0.017021,0.018367,436.0,36157.0
2017-4-22,0.018377,0.024387,0.018377,0.024191,40.0,24594.0
2017-4-23,0.024195,0.025689,0.016855,0.016901,129.0,32515.0
2017-4-24,0.016935,0.02304,0.015463,0.01649,10.0,22759.0
2017-4-25,0.016493,0.027831,0.015834,0.02779,129.0,22165.0
2017-4-26,0.027801,0.027891,0.016742,0.023098,111.0,37362.0
2017-4-27,0.023112,0.023196,0.016798,0.016801,22.0,31060.0
2017-4-28,0.016801,0.019792,0.016542,0.019787,1.0,22579.0
2017-4-29,0.019807,0.025081,0.016812,0.016853,81.0,26619.0
2017-4-30,0.016854,0.017041,0.01351,0.013519,326.0,22650.0
2017-5-01,0.013523,0.02628,0.013523,0.017372,26.0,18174.0
2017-5-02,0.017365,0.022551,0.0173,0.022228,0.0,23337.0
2017-5-03,0.022243,0.026097,0.018552,0.018552,766.0,29892.0
2017-5-04,0.018559,0.024472,0.017968,0.021451,259.0,24942.0
2017-5-05,0.021495,0.024756,0.019108,0.023856,80.0,28887.0
2017-5-06,0.023881,0.025162,0.015994,0.019767,128.0,32094.0
2017-5-07,0.019775,0.023939,0.016276,0.023939,142.0,26576.0
2017-5-08,0.023942,0.024127,0.016586,0.018095,120.0,32176.0
2017-5-09,0.018101,0.020059,0.016739,0.019352,161.0,24326.0
2017-5-10,0.019363,0.02221,0.018974,0.019883,26.0,26021.0
2017-5-11,0.019919,0.020822,0.018014,0.018838,5.0,26769.0
2017-5-12,0.018856,0.018895,0.016746,0.017143,21.0,25341.0
2017-5-13,0.017108,0.018252,0.015078,0.018215,6.0,22991.0
2017-5-14,0.018273,0.018484,0.015919,0.016109,11.0,24557.0
2017-5-15,0.016118,0.017477,0.015286,0.016096,4.0,21661.0
2017-5-16,0.016073,0.020627,0.01567,0.017333,26.0,21600.0
2017-5-17,0.017328,0.021685,0.017141,0.021376,6.0,23287.0
2017-5-18,0.021365,0.021824,0.020931,0.021786,1.0,28712.0
2017-5-19,0.021798,0.022156,0.021798,0.022028,1.0,29295.0
