datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-31,0.000298,0.000613,0.000223,0.000229,8396.0,0.0
2017-8-01,0.000229,0.000389,0.000226,0.000327,7808.0,0.0
2017-8-02,0.000464,0.000464,0.000215,0.000296,4263.0,0.0
2017-8-03,0.000297,0.000301,0.000165,0.000195,407.0,0.0
2017-8-04,0.000195,0.000258,0.000142,0.0002,87.0,0.0
2017-8-05,0.0002,0.00026,6.5e-05,0.000228,11551.0,0.0
2017-8-06,0.000228,0.00023,0.000159,0.000194,156.0,0.0
2017-8-07,0.000193,0.000238,0.000101,0.000169,28192.0,0.0
2017-8-08,0.00017,0.000175,6.9e-05,0.000175,2258.0,0.0
2017-8-09,0.000175,0.000175,7.2e-05,0.00013,169.0,0.0
2017-8-10,0.00013,0.000142,0.000102,0.000103,19168.0,0.0
2017-8-11,0.000103,0.000168,0.000102,0.000166,267.0,0.0
2017-8-12,0.000166,0.000183,0.000121,0.000156,354.0,0.0
2017-8-13,0.000156,0.00017,7.9e-05,8.1e-05,22.0,0.0
2017-8-14,8.1e-05,0.00017,8e-05,0.00017,86.0,0.0
2017-8-15,0.000171,0.000172,0.000116,0.000123,16.0,0.0
2017-8-16,0.000123,0.000193,8.8e-05,0.000158,184.0,0.0
2017-8-17,0.000158,0.000182,4.4e-05,4.5e-05,1210.0,0.0
2017-8-18,4.5e-05,8.8e-05,4.4e-05,8.2e-05,49.0,0.0
2017-8-19,8.2e-05,8.4e-05,6e-05,8.3e-05,59.0,0.0
2017-8-20,8.3e-05,8.3e-05,7.8e-05,8.2e-05,21.0,0.0
2017-8-21,8.1e-05,8.2e-05,4e-05,4e-05,4.0,0.0
2017-8-22,4e-05,7.8e-05,3.9e-05,7.7e-05,51.0,0.0
2017-8-23,7.7e-05,0.000159,7.7e-05,8.3e-05,160.0,0.0
2017-8-24,8.3e-05,0.000132,8.2e-05,0.000132,132.0,0.0
2017-8-25,0.000132,0.000133,4.4e-05,7.7e-05,50.0,0.0
2017-8-26,7.7e-05,0.000131,7.5e-05,9.7e-05,121.0,0.0
