datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,2.8e-05,3.5e-05,2.4e-05,2.6e-05,208.0,48945.0
2017-1-02,2.6e-05,3.1e-05,2.1e-05,2.5e-05,631.0,44725.0
2017-1-03,2.5e-05,3.2e-05,2.4e-05,3.2e-05,100.0,42276.0
2017-1-04,3.2e-05,3.2e-05,2.1e-05,2.7e-05,43.0,54476.0
2017-1-05,2.7e-05,2.8e-05,1.6e-05,2e-05,113.0,46938.0
2017-1-06,2e-05,2.1e-05,1.4e-05,1.8e-05,26.0,35254.0
2017-1-07,1.8e-05,1.8e-05,1.7e-05,1.8e-05,282.0,31277.0
2017-1-08,1.8e-05,2.5e-05,1.5e-05,1.8e-05,177.0,31516.0
2017-1-09,1.8e-05,2.4e-05,1.5e-05,2.4e-05,272.0,31881.0
2017-1-10,2.4e-05,2.6e-05,1.5e-05,2.5e-05,193.0,41583.0
2017-1-11,2.5e-05,2.7e-05,1.6e-05,2.3e-05,141.0,44276.0
2017-1-12,2.3e-05,2.5e-05,1.5e-05,2.4e-05,19.0,40698.0
2017-1-13,2.4e-05,2.5e-05,1.8e-05,1.8e-05,24.0,42061.0
2017-1-14,1.8e-05,2.5e-05,1.7e-05,2.5e-05,162.0,30922.0
2017-1-15,2.5e-05,3.2e-05,2.4e-05,2.5e-05,1210.0,42986.0
2017-1-16,2.5e-05,4.2e-05,2.4e-05,3.8e-05,1120.0,43020.0
2017-1-17,3.8e-05,4.3e-05,3.2e-05,4.3e-05,1049.0,66325.0
2017-1-18,4.3e-05,4.4e-05,3.1e-05,3.7e-05,174.0,75932.0
2017-1-19,3.8e-05,4.8e-05,3.6e-05,4.3e-05,60.0,65727.0
2017-1-20,4.3e-05,4.4e-05,2.7e-05,3.3e-05,254.0,75894.0
2017-1-21,3.3e-05,4e-05,3.3e-05,3.7e-05,63.0,57801.0
2017-1-22,3.7e-05,3.9e-05,1.8e-05,3.6e-05,1551.0,64753.0
2017-1-23,3.6e-05,3.7e-05,1.9e-05,3.6e-05,485.0,63995.0
2017-1-24,3.6e-05,3.6e-05,1.9e-05,1.9e-05,338.0,62508.0
2017-1-25,1.9e-05,3.6e-05,1.8e-05,1.8e-05,374.0,33190.0
2017-1-26,1.8e-05,2.9e-05,1.8e-05,2.8e-05,1509.0,32181.0
2017-1-27,2.8e-05,3.7e-05,1.9e-05,2.8e-05,1480.0,49771.0
2017-1-28,2.8e-05,3.4e-05,2.8e-05,3.4e-05,86.0,48762.0
2017-1-29,3.4e-05,4.4e-05,3.3e-05,3.5e-05,57.0,60112.0
2017-1-30,3.5e-05,5.8e-05,3.5e-05,3.8e-05,64.0,61122.0
2017-1-31,3.8e-05,4.3e-05,2.9e-05,2.9e-05,139.0,67105.0
2017-2-01,2.9e-05,3.7e-05,2.9e-05,3.7e-05,6.0,51706.0
2017-2-02,3.7e-05,4e-05,3e-05,3.1e-05,83.0,66295.0
2017-2-03,3.1e-05,4.1e-05,3e-05,3.1e-05,24.0,54735.0
2017-2-04,3.1e-05,3.3e-05,3.1e-05,3.3e-05,9.0,55321.0
2017-2-05,3.3e-05,4.2e-05,3.1e-05,4.1e-05,187.0,59006.0
2017-2-06,4.1e-05,4.2e-05,3e-05,3.2e-05,55.0,73247.0
2017-2-07,3.2e-05,4.4e-05,3.2e-05,3.5e-05,49.0,57696.0
2017-2-08,3.6e-05,4.6e-05,3.2e-05,3.2e-05,100.0,63217.0
2017-2-09,3.2e-05,0.000283,3.2e-05,6.8e-05,4298.0,57395.0
2017-2-10,6.8e-05,0.000147,6.5e-05,9.5e-05,2883.0,121152.0
2017-2-11,9.5e-05,0.000127,7.1e-05,8.2e-05,194.0,168904.0
2017-2-12,8.2e-05,9.4e-05,5.2e-05,5.2e-05,178.0,146200.0
