datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Apr 01, 2017",680000000.0,730000000.0,670000000.0,720000000.0,0.0,0.0
"Apr 02, 2017",720000000.0,790000000.0,620000000.0,770000000.0,0.0,0.0
"Apr 03, 2017",770000000.0,860000000.0,720000000.0,810000000.0,7.0,0.0
"Apr 04, 2017",810000000.0,880000000.0,810000000.0,880000000.0,7.0,0.0
"Apr 05, 2017",10000000.0,11000000.0,10000000.0,11000000.0,1.0,0.0
"Apr 06, 2017",11000000.0,11000000.0,970000000.0,10000000.0,0.0,0.0
"Apr 07, 2017",10000000.0,11000000.0,920000000.0,960000000.0,0.0,0.0
"Apr 13, 2017",890000000.0,980000000.0,870000000.0,930000000.0,0.0,0.0
"Apr 14, 2017",930000000.0,11000000.0,840000000.0,10000000.0,0.0,0.0
"Apr 15, 2017",10000000.0,11000000.0,10000000.0,10000000.0,0.0,0.0
"Apr 16, 2017",10000000.0,32000000.0,730000000.0,26000000.0,0.0,0.0
"Apr 17, 2017",27000000.0,59000000.0,10000000.0,10000000.0,0.0,0.0
"Apr 18, 2017",10000000.0,20000000.0,950000000.0,990000000.0,0.0,0.0
"Apr 19, 2017",990000000.0,10000000.0,930000000.0,960000000.0,8.0,0.0
"Apr 20, 2017",960000000.0,10000000.0,960000000.0,10000000.0,8.0,0.0
"Apr 28, 2017",29000000.0,29000000.0,13000000.0,13000000.0,0.0,0.0
"Apr 29, 2017",13000000.0,13000000.0,440000000.0,440000000.0,0.0,0.0
"Apr 30, 2017",460000000.0,490000000.0,450000000.0,480000000.0,0.0,0.0
"May 03, 2017",41000000.0,44000000.0,41000000.0,42000000.0,0.0,0.0
"May 04, 2017",42000000.0,51000000.0,690000000.0,710000000.0,0.0,0.0
"May 05, 2017",710000000.0,11000000.0,710000000.0,11000000.0,0.0,0.0
"May 06, 2017",11000000.0,53000000.0,11000000.0,27000000.0,1.0,0.0
"May 07, 2017",27000000.0,30000000.0,26000000.0,29000000.0,3.0,0.0
"May 08, 2017",29000000.0,45000000.0,27000000.0,29000000.0,1.0,0.0
"May 11, 2017",59000000.0,59000000.0,29000000.0,30000000.0,9.0,0.0
"May 12, 2017",30000000.0,31000000.0,26000000.0,26000000.0,0.0,0.0
"May 13, 2017",26000000.0,40000000.0,24000000.0,40000000.0,0.0,0.0
"May 14, 2017",40000000.0,40000000.0,28000000.0,29000000.0,0.0,0.0
"May 15, 2017",29000000.0,32000000.0,25000000.0,25000000.0,4.0,0.0
"May 16, 2017",25000000.0,26000000.0,22000000.0,25000000.0,0.0,0.0
"May 17, 2017",25000000.0,26000000.0,24000000.0,26000000.0,0.0,0.0
"May 18, 2017",25000000.0,31000000.0,25000000.0,29000000.0,0.0,0.0
"May 19, 2017",29000000.0,81000000.0,26000000.0,27000000.0,61.0,0.0
"May 20, 2017",27000000.0,31000000.0,27000000.0,30000000.0,0.0,0.0
"May 21, 2017",30000000.0,39000000.0,29000000.0,35000000.0,0.0,0.0
"May 22, 2017",35000000.0,38000000.0,32000000.0,32000000.0,0.0,0.0
"May 24, 2017",93000000.0,94000000.0,90000000.0,92000000.0,4.0,0.0
"May 25, 2017",92000000.0,1e-06,58000000.0,1e-06,27.0,0.0
"May 26, 2017",1e-06,1e-06,24000000.0,24000000.0,18.0,0.0
"May 27, 2017",24000000.0,26000000.0,19000000.0,22000000.0,1.0,0.0
