datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-02,0.000306,0.000307,0.000306,0.000307,0.0,3323.0
2017-1-03,0.000307,0.000309,0.000165,0.000167,9.0,3332.0
2017-1-04,0.000167,0.000209,0.000167,0.000208,4.0,1816.0
2017-1-05,0.000208,0.000237,0.000182,0.000203,1.0,2260.0
2017-1-06,0.000203,0.000209,0.000195,0.000199,0.0,2205.0
2017-1-08,0.000191,0.000191,0.000191,0.000191,0.0,2082.0
2017-1-09,0.000191,0.000192,0.000185,0.00019,0.0,2080.0
2017-1-10,0.00019,0.000201,0.000189,0.0002,0.0,2060.0
2017-1-11,0.0002,0.000202,0.000168,0.000171,0.0,2171.0
2017-1-12,0.000171,0.000171,0.000144,0.000153,0.0,1861.0
2017-1-13,0.000153,0.000154,0.000148,0.000149,0.0,1661.0
2017-1-14,0.000158,0.000159,0.000138,0.000139,3.0,1720.0
2017-1-15,0.000139,0.000148,0.000139,0.000148,0.0,1513.0
2017-1-16,0.000148,0.00015,0.000148,0.00015,0.0,1609.0
2017-1-17,0.00015,0.000161,0.00015,0.000161,0.0,1628.0
2017-1-18,0.000162,0.000406,0.000156,0.000337,129.0,1762.0
2017-1-19,0.000337,0.000353,0.000195,0.000351,4.0,3665.0
2017-1-20,0.000351,0.000351,0.000204,0.000206,0.0,3814.0
2017-1-21,0.000206,0.000213,0.000206,0.000212,2.0,2239.0
2017-1-22,0.000212,0.000214,0.000198,0.000203,1.0,2306.0
2017-1-23,0.000203,0.000213,0.000202,0.000212,1.0,2213.0
2017-1-24,0.000209,0.000213,0.000208,0.000209,0.0,2278.0
2017-1-26,0.000309,0.000313,0.000309,0.000312,1.0,3372.0
2017-1-27,0.000312,0.000737,0.000193,0.000662,203.0,3405.0
2017-1-28,0.000662,0.000665,0.000359,0.000452,14.0,7228.0
2017-1-29,0.000452,0.000452,0.000147,0.000147,24.0,4929.0
2017-1-30,0.000147,0.000305,0.000147,0.000304,1.0,1606.0
2017-1-31,0.000304,0.000305,0.000181,0.000204,21.0,3316.0
2017-2-01,0.000204,0.000274,0.000204,0.000267,36.0,2225.0
2017-2-02,0.000267,0.000292,0.000251,0.000253,1.0,2916.0
2017-2-03,0.000253,0.00033,0.000252,0.00033,7.0,2761.0
2017-2-04,0.00033,0.000335,0.000325,0.000334,0.0,3606.0
2017-2-05,0.000334,0.001004,0.000333,0.000976,144.0,3648.0
2017-2-06,0.000977,0.000986,0.000518,0.000862,2.0,10674.0
2017-2-07,0.000863,0.00088,0.000422,0.000796,99.0,9433.0
2017-2-08,0.000797,0.000809,0.000424,0.000425,50.0,8705.0
2017-2-09,0.000426,0.00072,0.000419,0.000438,4.0,4653.0
2017-2-10,0.000438,0.00044,0.000417,0.000427,1.0,4787.0
2017-2-12,0.00035,0.000352,0.000349,0.00035,0.0,3823.0
2017-2-13,0.00035,0.000351,0.000349,0.00035,0.0,3823.0
2017-2-16,0.000402,0.000403,0.0004,0.000401,0.0,4397.0
