datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.141975,0.145928,0.13799,0.141144,678161.0,9426460.0
2017-7-29,0.141136,0.147998,0.134849,0.142678,368734.0,9414970.0
2017-7-30,0.142681,0.150808,0.138464,0.146662,248945.0,9391910.0
2017-7-31,0.146706,0.14942,0.139633,0.144491,2208.0,9689560.0
2017-8-01,0.144561,0.154916,0.134552,0.144136,534390.0,9547860.0
2017-8-02,0.144135,0.151879,0.136701,0.145989,650355.0,9422420.0
2017-8-03,0.145422,0.155611,0.144447,0.150874,439.0,9675090.0
2017-8-04,0.150836,0.15565,0.134655,0.150594,962347.0,10035300.0
2017-8-05,0.150039,0.159131,0.134242,0.145289,1026430.0,10468300.0
2017-8-06,0.145308,0.150712,0.135323,0.140047,821971.0,10610500.0
2017-8-07,0.140031,0.148231,0.137214,0.140699,396393.0,10397300.0
2017-8-08,0.1407,0.155775,0.137125,0.143736,512319.0,10561600.0
2017-8-09,0.143737,0.148591,0.138637,0.140459,716006.0,10927100.0
2017-8-10,0.140454,0.152362,0.125053,0.144601,1643440.0,10643100.0
2017-8-11,0.1446,0.150283,0.136737,0.142211,1074170.0,11474600.0
2017-8-12,0.142197,0.153346,0.140664,0.144776,1117360.0,11449100.0
2017-8-13,0.144549,0.150685,0.133609,0.143091,711907.0,11712900.0
2017-8-14,0.143088,0.148858,0.138446,0.139902,783206.0,11462300.0
2017-8-15,0.139932,0.147962,0.139556,0.141716,328309.0,11192400.0
2017-8-16,0.141736,0.148443,0.138866,0.145658,271882.0,11360400.0
2017-8-17,0.145652,0.149027,0.117957,0.143407,462373.0,11751200.0
2017-8-18,0.143346,0.152628,0.138158,0.145327,963813.0,11671400.0
2017-8-19,0.145322,0.148062,0.130234,0.144336,498756.0,12047900.0
2017-8-20,0.144317,0.149192,0.125355,0.146123,306527.0,11974100.0
2017-8-21,0.146052,0.1511,0.138042,0.143368,587193.0,12104800.0
2017-8-22,0.143355,0.14923,0.138342,0.145161,478360.0,11994300.0
2017-8-23,0.145141,0.149058,0.137946,0.145468,549934.0,12104700.0
2017-8-24,0.145514,0.151676,0.133802,0.13388,338432.0,12621700.0
2017-8-25,0.133794,0.154322,0.133794,0.147865,398501.0,11580200.0
2017-8-26,0.147895,0.148797,0.141729,0.147055,607013.0,12800600.0
