datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",963.66,1003.08,958.7,998.33,147775000.0,15491200000.0
"Jan 02, 2017",998.62,1031.39,996.7,1021.75,222185000.0,16055100000.0
"Jan 03, 2017",1021.6,1044.08,1021.6,1043.84,185168000.0,16426600000.0
"Jan 04, 2017",1044.4,1159.42,1044.4,1154.73,344946000.0,16795400000.0
"Jan 05, 2017",1156.73,1191.1,910.42,1013.38,510199000.0,18604000000.0
"Jan 06, 2017",1014.24,1046.81,883.94,902.2,351876000.0,16314100000.0
"Jan 07, 2017",903.49,908.59,823.56,908.59,279550000.0,14534400000.0
"Jan 08, 2017",908.17,942.72,887.25,911.2,158715000.0,14611400000.0
"Jan 09, 2017",913.24,913.69,879.81,902.83,141877000.0,14694900000.0
"Jan 10, 2017",902.44,914.87,901.06,907.68,115808000.0,14522600000.0
"Jan 11, 2017",908.12,919.45,762.76,777.76,310929000.0,14615700000.0
"Jan 12, 2017",775.18,826.25,755.76,804.83,222326000.0,12477600000.0
"Jan 13, 2017",803.74,829.0,780.0,823.98,168968000.0,12939100000.0
"Jan 14, 2017",825.14,835.09,812.46,818.41,93063300.0,13285200000.0
"Jan 15, 2017",818.14,823.31,812.87,821.8,71013600.0,13174300000.0
"Jan 16, 2017",821.78,834.53,820.27,831.53,82755200.0,13234600000.0
"Jan 17, 2017",830.95,910.56,830.8,907.94,155095000.0,13383900000.0
"Jan 18, 2017",909.37,917.5,858.3,886.62,225677000.0,14648900000.0
"Jan 19, 2017",888.34,904.61,884.34,899.07,105625000.0,14311700000.0
"Jan 20, 2017",898.17,899.4,887.01,895.03,86728400.0,14472100000.0
"Jan 21, 2017",895.55,927.37,895.53,921.79,111158000.0,14432000000.0
"Jan 22, 2017",922.21,937.52,897.56,924.67,116573000.0,14863600000.0
"Jan 23, 2017",925.5,928.27,916.74,921.01,73588600.0,14918800000.0
"Jan 24, 2017",910.68,924.14,892.29,892.69,111349000.0,14681400000.0
"Jan 25, 2017",891.92,903.25,891.69,901.54,120831000.0,14380700000.0
"Jan 26, 2017",902.39,919.33,902.22,917.59,131958000.0,14551200000.0
"Jan 27, 2017",918.36,923.22,915.85,919.75,125594000.0,14810400000.0
"Jan 28, 2017",919.81,923.91,919.81,921.59,68979600.0,14835800000.0
"Jan 29, 2017",922.07,923.42,919.15,919.5,60851700.0,14874000000.0
"Jan 30, 2017",920.15,923.05,919.47,920.38,78227300.0,14844900000.0
"Jan 31, 2017",920.96,972.02,920.96,970.4,164582000.0,14859700000.0
"Feb 01, 2017",970.94,989.11,970.74,989.02,150110000.0,15667900000.0
"Feb 02, 2017",990.0,1013.52,983.22,1011.8,145821000.0,15977800000.0
"Feb 03, 2017",1011.46,1033.87,1008.79,1029.91,201278000.0,16326100000.0
"Feb 04, 2017",1031.33,1045.9,1015.16,1042.9,155064000.0,16648800000.0
"Feb 05, 2017",1043.52,1043.63,1022.37,1027.34,114208000.0,16847400000.0
"Feb 06, 2017",1028.4,1044.64,1028.16,1038.15,111762000.0,16605400000.0
"Feb 07, 2017",1040.14,1061.93,1040.14,1061.35,146007000.0,16796600000.0
"Feb 08, 2017",1062.32,1078.97,1037.49,1063.07,201855000.0,17156700000.0
"Feb 09, 2017",1064.7,1088.99,953.34,994.38,407220000.0,17197100000.0
"Feb 10, 2017",995.63,998.9,946.69,988.67,190452000.0,16083600000.0
"Feb 11, 2017",988.9,1009.29,982.83,1004.45,102261000.0,15976700000.0
"Feb 12, 2017",1003.52,1004.76,996.92,999.18,67530000.0,16214700000.0
"Feb 13, 2017",998.88,1002.1,976.0,990.64,100607000.0,16141500000.0
"Feb 14, 2017",991.74,1011.51,986.47,1004.55,137946000.0,16028000000.0
"Feb 15, 2017",1006.21,1008.84,1001.58,1007.48,89759400.0,16264100000.0
"Feb 16, 2017",1007.65,1033.37,1007.65,1027.44,122277000.0,16289100000.0
"Feb 17, 2017",1026.12,1053.17,1025.64,1046.21,136474000.0,16589600000.0
"Feb 18, 2017",1049.21,1061.1,1046.96,1054.42,99073500.0,16964800000.0
"Feb 19, 2017",1054.76,1056.81,1043.46,1047.87,77423300.0,17056600000.0
"Feb 20, 2017",1048.69,1080.49,1041.69,1079.98,109478000.0,16960200000.0
"Feb 21, 2017",1079.28,1117.25,1076.93,1115.3,186869000.0,17456900000.0
"Feb 22, 2017",1114.8,1125.39,1100.55,1117.44,136100000.0,18033400000.0
"Feb 23, 2017",1117.27,1176.62,1116.96,1166.72,189454000.0,18075200000.0
"Feb 24, 2017",1172.71,1200.39,1131.96,1173.68,330759000.0,18974400000.0
"Feb 25, 2017",1170.41,1174.85,1124.59,1143.84,139961000.0,18939500000.0
"Feb 26, 2017",1144.27,1167.47,1130.2,1165.2,116486000.0,18518900000.0
"Feb 27, 2017",1163.78,1181.98,1163.38,1179.97,131570000.0,18837300000.0
"Feb 28, 2017",1180.72,1193.25,1171.82,1179.97,184956000.0,19113600000.0
"Mar 01, 2017",1180.04,1222.5,1179.69,1222.5,229057000.0,19104800000.0
"Mar 02, 2017",1224.68,1262.13,1215.62,1251.01,368275000.0,19829800000.0
"Mar 03, 2017",1250.71,1280.31,1250.71,1274.99,315739000.0,20253700000.0
"Mar 04, 2017",1277.43,1279.4,1230.51,1255.15,183270000.0,20688800000.0
"Mar 05, 2017",1254.29,1267.29,1238.06,1267.12,134127000.0,20316000000.0
"Mar 06, 2017",1267.47,1276.0,1264.6,1272.83,153657000.0,20531900000.0
"Mar 07, 2017",1273.21,1275.55,1204.8,1223.54,291256000.0,20627100000.0
"Mar 08, 2017",1223.23,1232.16,1148.08,1150.0,332603000.0,19819800000.0
