datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.422956,0.440342,0.416644,0.425723,105016.0,9836470.0
"Jul 25, 2017",0.425677,0.428132,0.34215,0.356992,88418.0,9899760.0
"Jul 26, 2017",0.357956,0.365349,0.335477,0.359282,49742.0,8324790.0
"Jul 27, 2017",0.360301,0.36639,0.343204,0.348079,59875.0,8379340.0
"Jul 28, 2017",0.349134,0.362732,0.310911,0.342971,154912.0,8119620.0
"Jul 29, 2017",0.339435,0.340625,0.306345,0.33164,30608.0,7894070.0
"Jul 30, 2017",0.331594,0.346068,0.309139,0.310286,62604.0,7711700.0
"Jul 31, 2017",0.310604,0.326917,0.302157,0.314512,77416.0,7223560.0
"Aug 01, 2017",0.314664,0.349797,0.294784,0.346679,96004.0,7317980.0
"Aug 02, 2017",0.346613,0.41502,0.327308,0.393846,219548.0,8061000.0
"Aug 03, 2017",0.399801,0.509039,0.382408,0.402667,566670.0,9294750.0
"Aug 04, 2017",0.401906,0.443772,0.395279,0.413779,125082.0,9343670.0
"Aug 05, 2017",0.415642,0.45694,0.40762,0.423793,115360.0,9663010.0
"Aug 06, 2017",0.423738,0.449702,0.384154,0.390983,236182.0,9851240.0
"Aug 07, 2017",0.390433,0.413111,0.375425,0.397219,147948.0,9076940.0
"Aug 08, 2017",0.397621,0.398656,0.373381,0.392155,83469.0,9244060.0
"Aug 09, 2017",0.392518,0.448009,0.381045,0.421857,247194.0,9125430.0
"Aug 10, 2017",0.413996,0.417865,0.379406,0.387253,192701.0,9624750.0
"Aug 11, 2017",0.387281,0.46751,0.350827,0.406133,251855.0,9003680.0
"Aug 12, 2017",0.409762,0.516356,0.37858,0.428919,274535.0,9526320.0
"Aug 13, 2017",0.428524,0.45652,0.389509,0.400011,167142.0,9962500.0
"Aug 14, 2017",0.400267,0.404089,0.335711,0.360421,144197.0,9305570.0
"Aug 15, 2017",0.361414,0.385572,0.308418,0.348678,240292.0,8402290.0
"Aug 16, 2017",0.349061,0.42762,0.338309,0.413081,198386.0,8115120.0
"Aug 17, 2017",0.41158,0.50326,0.370771,0.424814,452410.0,9568570.0
"Aug 18, 2017",0.421039,0.431165,0.359019,0.374002,171367.0,9788490.0
"Aug 19, 2017",0.373599,0.387571,0.333579,0.356747,104118.0,8685590.0
"Aug 20, 2017",0.355093,0.4195,0.340421,0.403059,178826.0,8255340.0
"Aug 21, 2017",0.401528,0.436327,0.383544,0.397374,86424.0,9334890.0
"Aug 22, 2017",0.398552,0.39987,0.365161,0.379611,59474.0,9265700.0
