datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.000164,0.000164,0.000164,0.000164,7.0,0.0
2017-1-03,0.000175,0.000175,0.000133,0.000136,5.0,0.0
2017-1-04,0.000136,0.000197,0.000136,0.000196,1.0,0.0
2017-1-05,0.000197,0.000201,0.000165,0.000172,0.0,0.0
2017-1-06,0.000172,0.000177,0.000127,0.000153,3.0,0.0
2017-1-07,0.000154,0.000154,0.00014,0.000151,1.0,0.0
2017-1-08,0.000118,0.000155,0.000117,0.000155,2.0,0.0
2017-1-09,0.000155,0.000155,0.00015,0.000153,1.0,0.0
2017-1-10,0.000153,0.000156,0.000153,0.000154,1.0,0.0
2017-1-11,0.000155,0.000156,9.9e-05,0.000101,0.0,0.0
2017-1-12,0.000101,0.000147,9.8e-05,0.000137,17.0,0.0
2017-1-13,0.000137,0.000138,0.000104,0.000107,3.0,0.0
2017-1-14,0.000107,0.00015,9.7e-05,9.8e-05,1.0,0.0
2017-1-15,9.8e-05,0.000115,9.8e-05,0.000115,0.0,0.0
2017-1-16,0.000115,0.000117,0.000115,0.000116,1.0,0.0
2017-1-17,0.000116,0.000125,0.000116,0.000124,1.0,0.0
2017-1-19,0.000136,0.000198,0.000135,0.000198,1966.0,0.0
2017-1-20,0.000198,0.000242,0.000117,0.00017,203.0,0.0
2017-1-21,0.00017,0.000176,0.000129,0.000129,7.0,0.0
2017-1-22,0.000129,0.000197,0.000129,0.000185,1.0,0.0
2017-1-23,0.000185,0.000186,0.000183,0.000184,0.0,0.0
2017-1-24,0.000182,0.000185,0.000161,0.000161,0.0,0.0
2017-1-25,0.000161,0.000163,0.000161,0.000161,0.0,0.0
2017-1-26,0.000144,0.000165,0.000144,0.000165,1.0,0.0
2017-1-27,0.000165,0.000166,0.000165,0.000166,35.0,0.0
2017-1-28,0.000166,0.000176,0.000166,0.000175,0.0,0.0
2017-1-29,0.000175,0.000185,0.000166,0.000175,144.0,0.0
2017-1-30,0.000175,0.000231,0.000175,0.000175,7.0,0.0
2017-1-31,0.000175,0.000224,0.000148,0.000223,5.0,0.0
2017-2-01,0.000223,0.000227,0.000137,0.000138,16.0,0.0
2017-2-02,0.000139,0.000193,0.000138,0.000192,1.0,0.0
2017-2-03,0.000192,0.000206,0.000174,0.000175,1.0,0.0
2017-2-04,0.000175,0.000178,0.000173,0.000177,0.0,0.0
2017-2-05,0.000229,0.000271,0.000184,0.000185,6.0,0.0
2017-2-06,0.000185,0.000188,0.000185,0.000187,5.0,0.0
2017-2-07,0.000187,0.000191,0.000187,0.000191,1.0,0.0
2017-2-08,0.000191,0.000193,0.000191,0.000191,1.0,0.0
2017-2-09,0.000192,0.000205,0.000164,0.000169,1.0,0.0
2017-2-10,0.000169,0.00017,0.000161,0.000168,0.0,0.0
2017-2-11,0.000168,0.000262,0.000167,0.000261,5.0,0.0
2017-2-12,0.000261,0.000261,0.000259,0.00026,0.0,0.0
2017-2-13,0.0002,0.0002,0.000195,0.000198,5.0,0.0
2017-2-14,0.000198,0.000241,0.000197,0.000241,0.0,0.0
2017-2-15,0.000241,0.000242,0.00024,0.000242,0.0,0.0
2017-2-16,0.000192,0.000248,0.000192,0.000247,178.0,0.0
2017-2-17,0.000246,0.000253,0.000246,0.000251,0.0,0.0
2017-2-18,0.000252,0.000255,0.000211,0.000211,43.0,0.0
2017-2-19,0.000211,0.000243,0.00021,0.000241,1.0,0.0
2017-2-20,0.000241,0.000241,0.000221,0.000227,0.0,0.0
2017-2-21,0.000227,0.000229,0.000226,0.000228,0.0,0.0
2017-2-22,0.000255,0.000257,0.000234,0.000235,1.0,0.0
2017-2-23,0.000235,0.000282,0.000235,0.00028,0.0,0.0
2017-2-24,0.000281,0.000288,0.00028,0.000288,0.0,0.0
2017-2-25,0.000273,0.000275,0.000273,0.000275,1.0,0.0
2017-2-26,0.000275,0.00028,0.000271,0.000279,1.0,0.0
2017-2-27,0.00026,0.00026,0.000259,0.00026,3.0,0.0
2017-2-28,0.00026,0.000263,0.000258,0.00026,3.0,0.0
2017-3-02,0.000268,0.000278,0.000268,0.000275,0.0,0.0
2017-3-03,0.000275,0.000293,0.000266,0.000293,30.0,0.0
2017-3-04,0.000294,0.000302,0.000175,0.000301,3.0,0.0
2017-3-05,0.000301,0.000301,0.000186,0.000253,13.0,0.0
2017-3-06,0.000253,0.000255,0.000216,0.000216,1.0,0.0
2017-3-07,0.000216,0.000217,0.000205,0.000209,0.0,0.0
2017-3-10,0.000239,0.000254,0.000215,0.000223,0.0,0.0
2017-3-11,0.000223,0.000227,0.000223,0.000227,0.0,0.0
2017-3-13,0.000234,0.000234,0.000234,0.000234,1.0,0.0
2017-3-14,0.000234,0.000237,0.000232,0.000236,1.0,0.0
2017-3-15,0.000236,0.000238,0.000236,0.000237,0.0,0.0
2017-3-16,0.000238,0.000239,0.000173,0.000178,5.0,0.0
2017-3-17,0.000177,0.000211,0.000173,0.000198,1.0,0.0
2017-3-18,0.000198,0.000201,0.000163,0.000166,0.0,0.0
2017-3-19,0.000166,0.000173,0.000166,0.000172,0.0,0.0
2017-3-21,0.000175,0.00018,0.000173,0.000179,2.0,27976.0
2017-3-22,0.000179,0.000211,0.000176,0.000199,0.0,28734.0
2017-3-23,0.0002,0.000201,0.000195,0.000197,1.0,31972.0
2017-3-24,0.000197,0.000198,0.000118,0.00015,14.0,31619.0
2017-3-25,0.00015,0.000156,0.000145,0.000156,1.0,24013.0
2017-3-26,0.000156,0.000156,0.000115,0.000116,1.0,24974.0
2017-3-27,0.000117,0.000165,0.000117,0.000136,21.0,18693.0
2017-3-28,0.000136,0.00016,0.000135,0.000157,3.0,21765.0
2017-3-29,0.000157,0.000158,0.000152,0.000156,1.0,25150.0
2017-3-30,0.000156,0.000157,0.000153,0.000154,1.0,25064.0
2017-3-31,0.000168,0.000172,0.000168,0.000171,51.0,26959.0
2017-4-01,0.000171,0.000205,0.000171,0.000205,4.0,27491.0
2017-4-02,0.000205,0.000206,0.000173,0.000176,1.0,32917.0
2017-4-03,0.000176,0.000184,0.000176,0.000183,0.0,28296.0
2017-4-04,0.000183,0.000185,0.000183,0.000184,0.0,29420.0
2017-4-06,0.000185,0.00019,0.000184,0.000189,1.0,29794.0
2017-4-07,0.000189,0.000189,0.000186,0.000188,1.0,30315.0
