datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-11,0.047661,0.047661,0.041468,0.043638,13133.0,0.0
2017-7-12,0.043574,0.306204,0.043095,0.1507,99252.0,0.0
2017-7-13,0.150812,0.236561,0.150748,0.178352,53595.0,0.0
2017-7-14,0.178222,0.229176,0.178222,0.200928,67941.0,0.0
2017-7-15,0.200605,0.472745,0.199441,0.322805,181847.0,0.0
2017-7-16,0.321826,0.351546,0.288112,0.326279,89609.0,0.0
2017-7-17,0.294808,0.331944,0.154881,0.268275,103681.0,0.0
2017-7-18,0.269168,0.330786,0.244024,0.264574,39231.0,0.0
2017-7-19,0.264995,0.29179,0.234368,0.271442,28682.0,0.0
2017-7-20,0.270626,0.405974,0.252996,0.3804,75723.0,81187800.0
2017-7-21,0.383023,0.392972,0.303172,0.316832,20282.0,114907000.0
2017-7-22,0.31888,0.380601,0.300333,0.360083,44916.0,95663900.0
2017-7-23,0.315702,0.349336,0.286248,0.28928,15537.0,94710700.0
2017-7-24,0.288943,0.323707,0.274879,0.28461,15171.0,86683000.0
2017-7-25,0.285026,0.296733,0.245395,0.255936,20900.0,85507900.0
2017-7-26,0.256026,0.272063,0.243953,0.251684,22927.0,76807900.0
2017-7-27,0.252396,0.269585,0.251413,0.265325,20996.0,75718700.0
2017-7-28,0.266129,0.284524,0.266129,0.278059,29241.0,79838800.0
2017-7-29,0.279224,0.284914,0.054325,0.187434,84234.0,83767300.0
2017-7-30,0.187603,0.240612,0.168212,0.17395,20780.0,56280800.0
2017-7-31,0.174314,0.219779,0.089637,0.125852,46830.0,52294100.0
2017-8-01,0.13075,0.131568,0.118034,0.123444,6407.0,39225000.0
2017-8-02,0.12342,0.130523,0.121362,0.126677,14568.0,37026000.0
2017-8-03,0.12686,0.283496,0.12686,0.270396,23631.0,38058100.0
2017-8-04,0.270434,0.287887,0.206599,0.207163,68903.0,81130300.0
2017-8-05,0.207072,0.241252,0.151545,0.172964,56744.0,62121500.0
2017-8-06,0.173006,0.197566,0.162113,0.165058,16087.0,51901700.0
2017-8-07,0.164689,0.202137,0.13989,0.189689,39222.0,49406800.0
2017-8-08,0.182525,0.213133,0.179159,0.202709,40150.0,54757600.0
2017-8-09,0.202732,0.212173,0.066548,0.162752,447846.0,60819500.0
2017-8-10,0.162767,0.176345,0.142716,0.153802,37214.0,48830100.0
2017-8-11,0.153793,0.163115,0.126367,0.146091,41888.0,46138000.0
2017-8-12,0.145977,0.146962,0.075922,0.107352,44973.0,43793200.0
2017-8-13,0.107253,0.138709,0.085208,0.116371,29287.0,32175800.0
2017-8-14,0.116445,0.132077,0.090639,0.120961,33667.0,34933600.0
2017-8-15,0.121275,0.12189,0.100485,0.110522,13795.0,36382600.0
2017-8-16,0.110643,0.143362,0.107133,0.11784,37754.0,33193000.0
2017-8-17,0.117731,0.158668,0.11458,0.144414,34416.0,35319300.0
2017-8-18,0.143973,0.14661,0.103535,0.115299,35082.0,43191900.0
2017-8-19,0.115201,0.118516,0.103149,0.11149,19524.0,34560400.0
2017-8-20,0.11097,0.116212,0.104806,0.105325,10624.0,0.0
2017-8-21,0.104926,0.106306,0.080671,0.092809,17520.0,0.0
2017-8-22,0.093024,0.093068,0.065956,0.085895,16107.0,0.0
2017-8-23,0.073913,0.096427,0.073679,0.088114,11830.0,0.0
2017-8-24,0.088152,0.091646,0.078477,0.091506,24660.0,0.0
2017-8-25,0.091363,0.118433,0.070133,0.085846,52751.0,0.0
2017-8-26,0.08599,0.10717,0.084261,0.102688,24671.0,0.0
