datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-31,0.067703,0.069634,0.0594,0.060417,757.0,0.0
2017-2-01,0.060408,0.07022,0.060408,0.061384,577.0,0.0
2017-2-02,0.066106,0.070745,0.061448,0.067913,491.0,0.0
2017-2-03,0.067922,0.072116,0.063542,0.06549,341.0,0.0
2017-2-04,0.065564,0.076222,0.063266,0.065692,408.0,0.0
2017-2-05,0.065713,0.075938,0.064814,0.074287,478.0,0.0
2017-2-06,0.067137,0.075916,0.065213,0.067526,344.0,0.0
2017-2-07,0.067552,0.095215,0.066063,0.074893,411.0,0.0
2017-2-08,0.068213,0.077765,0.065894,0.075557,144.0,0.0
2017-2-09,0.075563,0.075714,0.061363,0.063061,455.0,0.0
2017-2-10,0.063153,0.069071,0.060582,0.063191,466.0,0.0
2017-2-11,0.063117,0.070122,0.063117,0.065691,283.0,0.0
2017-2-12,0.065711,0.070093,0.06295,0.06631,234.0,0.0
2017-2-13,0.065826,0.089308,0.061966,0.071178,274.0,0.0
2017-2-14,0.071256,0.100391,0.062223,0.062282,184.0,0.0
2017-2-15,0.062385,0.063454,0.06219,0.063441,348.0,0.0
2017-2-16,0.063452,0.072055,0.062628,0.067945,306.0,0.0
2017-2-17,0.067857,0.075261,0.063931,0.071686,472.0,0.0
2017-2-18,0.071686,0.07604,0.065925,0.067314,339.0,0.0
2017-2-19,0.067336,0.075714,0.065243,0.072188,403.0,0.0
2017-2-20,0.072244,0.075861,0.064801,0.072337,365.0,0.0
2017-2-21,0.07229,0.077386,0.066865,0.070063,412.0,0.0
2017-2-22,0.070032,0.070503,0.068333,0.069644,342.0,0.0
2017-2-23,0.069628,0.081629,0.069504,0.07749,1017.0,0.0
2017-2-24,0.076968,0.083405,0.071266,0.077744,773.0,0.0
2017-2-25,0.079188,0.079518,0.069986,0.0714,977.0,0.0
2017-2-26,0.071444,0.078561,0.070075,0.074445,404.0,0.0
2017-2-27,0.077497,0.07905,0.071444,0.077415,600.0,0.0
2017-2-28,0.077477,0.078431,0.072175,0.077335,525.0,0.0
2017-3-01,0.077335,0.080505,0.07254,0.077658,557.0,0.0
2017-3-02,0.077727,0.083019,0.07483,0.078294,381.0,0.0
2017-3-03,0.078263,0.084327,0.076912,0.081953,570.0,0.0
2017-3-04,0.081944,0.084034,0.076475,0.079235,494.0,0.0
2017-3-05,0.0792,0.083221,0.075855,0.083185,887.0,0.0
2017-3-06,0.083174,0.083864,0.05083,0.0588,557.0,0.0
2017-3-07,0.058805,0.06353,0.049807,0.051326,417.0,0.0
2017-3-08,0.051315,0.06076,0.04734,0.048239,443.0,0.0
2017-3-09,0.048162,0.057938,0.044508,0.050041,444.0,0.0
2017-3-10,0.050047,0.05947,0.044235,0.050898,585.0,0.0
2017-3-11,0.050911,0.056511,0.045725,0.046503,270.0,0.0
2017-3-12,0.046528,0.049018,0.041185,0.047573,370.0,0.0
2017-3-13,0.047573,0.049079,0.042732,0.0489,509.0,0.0
2017-3-14,0.047799,0.049566,0.043192,0.04809,747.0,0.0
2017-3-15,0.048087,0.049917,0.043733,0.048758,695.0,0.0
2017-3-16,0.04876,0.050061,0.043793,0.047007,526.0,0.0
2017-3-17,0.04699,0.04699,0.04163,0.04163,432.0,0.0
2017-3-18,0.041655,0.044147,0.036589,0.038504,345.0,0.0
2017-3-19,0.038524,0.040928,0.037423,0.039155,547.0,0.0
2017-3-20,0.039095,0.050084,0.039095,0.045008,711.0,0.0
2017-3-21,0.050129,0.053957,0.040369,0.048112,597.0,0.0
2017-3-22,0.044553,0.054116,0.040073,0.049006,550.0,0.0
2017-3-23,0.040612,0.087508,0.040118,0.042395,475.0,0.0
2017-3-24,0.089869,0.091624,0.041018,0.082559,1188.0,0.0
2017-3-25,0.084124,0.098855,0.037649,0.063635,829.0,0.0
2017-3-26,0.063503,0.072262,0.052733,0.066994,1022.0,0.0
2017-3-27,0.06712,0.478819,0.056551,0.260219,2986.0,0.0
2017-3-28,0.260062,0.395757,0.129877,0.248255,2928.0,0.0
2017-3-29,0.179105,0.247737,0.126627,0.146481,2266.0,0.0
2017-3-30,0.182671,0.238846,0.087438,0.134535,2090.0,0.0
2017-3-31,0.141103,0.14869,0.083374,0.102848,759.0,0.0
2017-4-01,0.125271,0.136405,0.086035,0.100812,1253.0,0.0
2017-4-02,0.100832,0.158675,0.088655,0.101399,1304.0,0.0
2017-4-03,0.104353,0.164043,0.101373,0.109703,1428.0,0.0
2017-4-04,0.109852,0.205397,0.109852,0.127701,1308.0,0.0
2017-4-05,0.130573,0.154987,0.124631,0.153167,1599.0,0.0
2017-4-06,0.153229,0.204728,0.150876,0.159163,1741.0,0.0
2017-4-07,0.16237,0.163776,0.155926,0.160659,1305.0,0.0
2017-4-08,0.160753,0.201209,0.1556,0.160817,1742.0,0.0
2017-4-09,0.160858,0.354034,0.15706,0.191276,2488.0,0.0
