datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.075885,0.081866,0.072841,0.074554,2789.0,254647.0
"Jan 02, 2017",0.074595,0.087003,0.074021,0.080517,4080.0,251605.0
"Jan 03, 2017",0.080514,0.085273,0.072294,0.076907,6534.0,272518.0
"Jan 04, 2017",0.078392,0.090673,0.072181,0.083885,9152.0,266527.0
"Jan 05, 2017",0.083972,0.090449,0.063828,0.078525,6836.0,286846.0
"Jan 06, 2017",0.07874,0.081337,0.068557,0.070363,2137.0,269961.0
"Jan 07, 2017",0.070463,0.070936,0.060452,0.068361,6631.0,242529.0
"Jan 08, 2017",0.067971,0.102625,0.065435,0.09506,24969.0,235112.0
"Jan 09, 2017",0.095193,0.099971,0.079391,0.086907,11075.0,330538.0
"Jan 10, 2017",0.086861,0.092558,0.072576,0.08692,7424.0,302802.0
"Jan 11, 2017",0.086928,0.087349,0.07247,0.074469,2852.0,303922.0
"Jan 12, 2017",0.07202,0.074915,0.067245,0.074195,7299.0,253121.0
"Jan 13, 2017",0.074149,0.076595,0.068576,0.073899,2492.0,261524.0
"Jan 14, 2017",0.074002,0.120335,0.071581,0.104845,15503.0,261857.0
"Jan 15, 2017",0.105567,0.113836,0.08192,0.087237,20048.0,375491.0
"Jan 16, 2017",0.087234,0.097814,0.084451,0.089417,4244.0,311540.0
"Jan 17, 2017",0.08944,0.090725,0.082063,0.090626,6480.0,320069.0
"Jan 18, 2017",0.085891,0.094519,0.080511,0.087158,7251.0,308868.0
"Jan 19, 2017",0.087518,0.098604,0.079131,0.093461,13557.0,315600.0
"Jan 20, 2017",0.092874,0.103104,0.086312,0.093219,5498.0,335925.0
"Jan 21, 2017",0.092564,0.111655,0.089633,0.104884,10824.0,336141.0
"Jan 22, 2017",0.104374,0.106888,0.091996,0.09479,5760.0,380399.0
"Jan 23, 2017",0.094724,0.095555,0.087548,0.088787,9881.0,346354.0
"Jan 24, 2017",0.08873,0.092427,0.085445,0.085445,6153.0,326378.0
"Jan 25, 2017",0.085091,0.101485,0.081258,0.089219,10887.0,314061.0
"Jan 26, 2017",0.089685,0.106849,0.087727,0.106849,13527.0,332128.0
"Jan 27, 2017",0.105394,0.124348,0.098048,0.102434,15133.0,391921.0
"Jan 28, 2017",0.100943,0.127163,0.097533,0.124229,9239.0,376769.0
"Jan 29, 2017",0.119853,0.146842,0.111844,0.137312,18989.0,447501.0
"Jan 30, 2017",0.137308,0.149286,0.124835,0.135632,16210.0,516922.0
"Jan 31, 2017",0.135581,0.141167,0.114334,0.122387,18429.0,510420.0
"Feb 01, 2017",0.122368,0.142724,0.109847,0.115133,23541.0,464958.0
"Feb 02, 2017",0.115122,0.126894,0.109013,0.123945,15385.0,438673.0
"Feb 03, 2017",0.123904,0.133455,0.119931,0.126638,9386.0,474258.0
"Feb 04, 2017",0.126812,0.131695,0.112754,0.123636,9453.0,487218.0
"Feb 05, 2017",0.123709,0.148923,0.11991,0.127801,18645.0,476991.0
"Feb 06, 2017",0.127933,0.139684,0.11811,0.123239,20844.0,495224.0
"Feb 07, 2017",0.123475,0.128866,0.118323,0.123456,5080.0,480553.0
"Feb 08, 2017",0.123569,0.15112,0.119729,0.127547,33173.0,482020.0
"Feb 09, 2017",0.127743,0.135292,0.113623,0.119127,12770.0,498302.0
"Feb 10, 2017",0.119277,0.12175,0.113433,0.117306,4162.0,465278.0
"Feb 11, 2017",0.117333,0.135921,0.115691,0.12643,6291.0,457704.0
"Feb 12, 2017",0.127969,0.131457,0.11958,0.125177,6543.0,499228.0
"Feb 13, 2017",0.12509,0.129558,0.116868,0.120967,4213.0,487996.0
"Feb 14, 2017",0.121101,0.121832,0.105386,0.111505,8988.0,472434.0
"Feb 15, 2017",0.111689,0.136989,0.107108,0.133169,15053.0,435717.0
"Feb 16, 2017",0.136385,0.141313,0.123919,0.127279,19506.0,532060.0
"Feb 17, 2017",0.127116,0.132373,0.12112,0.122564,7377.0,495902.0
"Feb 18, 2017",0.122915,0.126393,0.111391,0.121216,6087.0,479514.0
"Feb 19, 2017",0.121255,0.130365,0.115904,0.127819,2764.0,473038.0
"Feb 20, 2017",0.127919,0.131908,0.119016,0.119016,2220.0,499035.0
"Feb 21, 2017",0.118883,0.132558,0.117043,0.12311,3902.0,463784.0
"Feb 22, 2017",0.123063,0.145628,0.118635,0.141937,9486.0,480091.0
"Feb 23, 2017",0.141916,0.14223,0.126248,0.131454,3143.0,553640.0
"Feb 24, 2017",0.132129,0.137952,0.122252,0.133283,6434.0,515459.0
"Feb 25, 2017",0.132912,0.183197,0.110823,0.183197,68180.0,518514.0
"Feb 26, 2017",0.184227,0.256197,0.161861,0.189403,428707.0,718703.0
"Feb 27, 2017",0.189033,0.189033,0.158751,0.164074,86342.0,737452.0
"Feb 28, 2017",0.164309,0.177997,0.141289,0.163178,53045.0,640999.0
"Mar 01, 2017",0.163259,0.165212,0.13439,0.141773,27233.0,636903.0
"Mar 02, 2017",0.142026,0.154595,0.136831,0.153384,29918.0,554069.0
"Mar 03, 2017",0.153287,0.153754,0.14095,0.146637,9144.0,598000.0
"Mar 04, 2017",0.146917,0.147861,0.132599,0.140953,7544.0,573150.0
"Mar 05, 2017",0.140857,0.161304,0.137084,0.153651,10681.0,549508.0
"Mar 06, 2017",0.148814,0.161374,0.148814,0.154102,5136.0,580550.0
"Mar 07, 2017",0.154148,0.188865,0.150282,0.15776,16056.0,601359.0
"Mar 08, 2017",0.157687,0.168661,0.14489,0.146821,8311.0,615165.0
"Mar 09, 2017",0.146865,0.163919,0.145579,0.155674,9989.0,572947.0
"Mar 10, 2017",0.155806,0.158516,0.131829,0.14629,19718.0,607827.0
"Mar 11, 2017",0.145211,0.16341,0.135739,0.152917,6371.0,566494.0
"Mar 12, 2017",0.153019,0.16362,0.148762,0.160442,6804.0,596955.0
"Mar 13, 2017",0.16044,0.180945,0.159475,0.176251,16754.0,625905.0
"Mar 14, 2017",0.179439,0.205107,0.16998,0.179263,27403.0,700024.0
"Mar 15, 2017",0.179278,0.199325,0.164888,0.183818,31396.0,699396.0
"Mar 16, 2017",0.184071,0.191594,0.174923,0.191594,16278.0,718094.0
"Mar 17, 2017",0.19036,0.228916,0.172749,0.208681,49265.0,742629.0
"Mar 18, 2017",0.205655,0.241013,0.191531,0.200957,42729.0,802297.0
"Mar 19, 2017",0.201558,0.216833,0.194144,0.207358,21697.0,786314.0
"Mar 20, 2017",0.207458,0.239182,0.207458,0.208999,14945.0,809331.0
"Mar 21, 2017",0.209244,0.254127,0.204042,0.225273,31663.0,816298.0
"Mar 22, 2017",0.226439,0.266832,0.223318,0.251658,26856.0,883379.0
"Mar 23, 2017",0.251876,0.286213,0.23479,0.278477,12785.0,982614.0
"Mar 24, 2017",0.27844,0.287771,0.239289,0.240099,27307.0,1086240.0
"Mar 25, 2017",0.239857,0.257568,0.22186,0.233772,22674.0,935725.0
"Mar 26, 2017",0.228128,0.23654,0.194246,0.217452,35006.0,889968.0
"Mar 27, 2017",0.213978,0.32855,0.174002,0.32855,133250.0,834767.0
"Mar 28, 2017",0.321501,0.351778,0.235802,0.268522,206566.0,1254230.0
"Mar 29, 2017",0.268098,0.300054,0.245939,0.258901,37775.0,1045900.0
"Mar 30, 2017",0.258901,0.360242,0.251385,0.271111,154144.0,1010020.0
"Mar 31, 2017",0.271115,0.312372,0.258291,0.279769,37863.0,1057670.0
"Apr 01, 2017",0.279748,0.302116,0.256335,0.297822,24563.0,1091350.0
"Apr 02, 2017",0.297913,0.306857,0.249764,0.272831,57628.0,1162210.0
"Apr 03, 2017",0.273024,0.279887,0.24586,0.256053,28848.0,1065120.0
"Apr 04, 2017",0.256367,0.265343,0.241727,0.260648,16759.0,1000130.0
"Apr 05, 2017",0.260852,0.341445,0.250872,0.286245,91249.0,1017630.0
"Apr 06, 2017",0.311005,0.342879,0.282042,0.299679,55386.0,1213290.0
"Apr 07, 2017",0.298107,0.321405,0.281275,0.304276,14899.0,1162970.0
"Apr 08, 2017",0.303177,0.354829,0.301471,0.346905,21666.0,1182750.0
"Apr 09, 2017",0.347088,0.364817,0.308506,0.313443,25514.0,1354050.0
"Apr 10, 2017",0.31296,0.360909,0.308071,0.336051,34841.0,1220910.0
"Apr 11, 2017",0.336207,0.404988,0.336012,0.373818,88793.0,1311600.0
"Apr 12, 2017",0.372228,0.40034,0.353348,0.38199,23279.0,1452130.0
"Apr 13, 2017",0.381838,0.458189,0.380492,0.433843,116120.0,1489620.0
"Apr 14, 2017",0.434345,0.522895,0.407462,0.454932,161728.0,1694460.0
"Apr 15, 2017",0.44969,0.612227,0.443572,0.578275,292590.0,1754320.0
"Apr 16, 2017",0.586235,0.602055,0.474212,0.508948,143020.0,2287010.0
"Apr 17, 2017",0.516429,0.563632,0.466372,0.520867,190045.0,2014680.0
"Apr 18, 2017",0.520843,0.570436,0.483197,0.559324,110170.0,2031900.0
"Apr 19, 2017",0.559531,0.591108,0.524805,0.544643,102766.0,2182830.0
"Apr 20, 2017",0.544679,0.566108,0.479907,0.555323,66702.0,2124890.0
"Apr 21, 2017",0.55429,0.563981,0.474715,0.500831,76918.0,2162380.0
"Apr 22, 2017",0.50751,0.5867,0.481857,0.523655,248448.0,1979890.0
"Apr 23, 2017",0.523477,0.534614,0.390541,0.405623,259278.0,2042180.0
"Apr 24, 2017",0.407433,0.455041,0.339448,0.421968,305818.0,1589470.0
"Apr 25, 2017",0.421901,0.437867,0.379578,0.409955,122914.0,1645910.0
"Apr 26, 2017",0.409955,0.431992,0.365995,0.379139,195034.0,1599310.0
