datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.0064,0.006578,0.006185,0.006545,77.0,86329.0
"Jan 02, 2017",0.006549,0.006566,0.006046,0.00605,268.0,88421.0
"Jan 03, 2017",0.00605,0.006603,0.005746,0.006229,132.0,81759.0
"Jan 04, 2017",0.006227,0.007025,0.005175,0.006988,12996.0,84221.0
"Jan 05, 2017",0.006996,0.007446,0.00565,0.006806,713.0,94691.0
"Jan 06, 2017",0.006824,0.00766,0.005651,0.005789,137.0,92449.0
"Jan 07, 2017",0.005797,0.00641,0.004929,0.005058,63.0,78595.0
"Jan 08, 2017",0.005058,0.00652,0.004712,0.005575,152.0,68639.0
"Jan 09, 2017",0.005582,0.005623,0.004072,0.004531,3789.0,75817.0
"Jan 10, 2017",0.004563,0.005674,0.004418,0.005355,185.0,62028.0
"Jan 11, 2017",0.005356,0.006301,0.004322,0.004739,166.0,72867.0
"Jan 12, 2017",0.004733,0.005302,0.004418,0.00504,56.0,64436.0
"Jan 13, 2017",0.005037,0.005305,0.004408,0.004822,156.0,68639.0
"Jan 14, 2017",0.004828,0.005853,0.004597,0.004602,81.0,65850.0
"Jan 15, 2017",0.0046,0.004802,0.004547,0.004767,86.0,62792.0
"Jan 16, 2017",0.004766,0.006344,0.004181,0.006212,3083.0,65117.0
"Jan 17, 2017",0.006214,0.006372,0.004726,0.005874,227.0,84956.0
"Jan 18, 2017",0.005878,0.006542,0.002201,0.004282,317.0,80431.0
"Jan 19, 2017",0.0043,0.005538,0.003868,0.005243,603.0,58885.0
"Jan 20, 2017",0.005241,0.005947,0.004823,0.005673,129.0,71835.0
"Jan 21, 2017",0.005673,0.005859,0.005255,0.005837,137.0,77827.0
"Jan 22, 2017",0.005837,0.006312,0.005058,0.005529,210.0,80140.0
"Jan 23, 2017",0.005535,0.006393,0.00526,0.006251,3473.0,76062.0
"Jan 24, 2017",0.006247,0.006397,0.005449,0.005716,158.0,85912.0
"Jan 25, 2017",0.005719,0.005947,0.004892,0.005664,251.0,78718.0
"Jan 26, 2017",0.005634,0.006223,0.005167,0.006111,337.0,77617.0
"Jan 27, 2017",0.006111,0.006372,0.005487,0.005982,375.0,84254.0
"Jan 28, 2017",0.005981,0.006516,0.00548,0.006235,560.0,82539.0
"Jan 29, 2017",0.006235,0.006517,0.0056,0.005819,321.0,86103.0
"Jan 30, 2017",0.005819,0.006767,0.00568,0.00652,4068.0,80434.0
"Jan 31, 2017",0.006518,0.007364,0.00603,0.006959,1522.0,90166.0
"Feb 01, 2017",0.006845,0.007288,0.006146,0.006376,733.0,94768.0
"Feb 02, 2017",0.006375,0.007303,0.006363,0.006885,980.0,88342.0
"Feb 03, 2017",0.007053,0.007146,0.00621,0.006483,721.0,97817.0
"Feb 04, 2017",0.006492,0.007259,0.00627,0.00635,691.0,90102.0
"Feb 05, 2017",0.006506,0.007216,0.006304,0.00652,1166.0,90374.0
"Feb 06, 2017",0.006526,0.007059,0.006228,0.006752,987.0,90735.0
"Feb 07, 2017",0.00637,0.00709,0.00637,0.006894,1635.0,88629.0
"Feb 08, 2017",0.006607,0.006962,0.00627,0.006807,651.0,92017.0
"Feb 09, 2017",0.006817,0.006866,0.005392,0.005987,4262.0,95018.0
"Feb 10, 2017",0.005995,0.006043,0.005525,0.005669,1266.0,83627.0
"Feb 11, 2017",0.00567,0.006206,0.005088,0.00561,1115.0,79160.0
"Feb 12, 2017",0.005607,0.006123,0.00533,0.005847,1576.0,78349.0
"Feb 13, 2017",0.005845,0.006101,0.005683,0.005723,1295.0,81733.0
"Feb 14, 2017",0.005729,0.006082,0.005714,0.006081,1201.0,80188.0
"Feb 15, 2017",0.006091,0.006395,0.005885,0.006138,2480.0,85326.0
"Feb 16, 2017",0.006139,0.006503,0.006003,0.006213,4942.0,86061.0
"Feb 17, 2017",0.006205,0.006864,0.006174,0.00639,2860.0,87064.0
"Feb 18, 2017",0.006408,0.006539,0.006324,0.006492,3164.0,89990.0
"Feb 19, 2017",0.006494,0.007669,0.006313,0.007298,3659.0,91261.0
"Feb 20, 2017",0.007303,0.007312,0.006321,0.00653,4444.0,102724.0
"Feb 21, 2017",0.006522,0.007048,0.006508,0.006745,2889.0,91813.0
"Feb 22, 2017",0.006743,0.007053,0.006676,0.006828,2473.0,94995.0
"Feb 23, 2017",0.006824,0.007255,0.006753,0.007242,6624.0,96227.0
"Feb 24, 2017",0.007162,0.007309,0.006759,0.007048,5250.0,101069.0
"Feb 25, 2017",0.007027,0.0072,0.006697,0.007171,7777.0,99252.0
"Feb 26, 2017",0.007171,0.007198,0.006748,0.006999,3294.0,101369.0
"Feb 27, 2017",0.006988,0.007203,0.006957,0.007105,5983.0,98860.0
"Feb 28, 2017",0.007116,0.007218,0.00702,0.007151,2275.0,100742.0
"Mar 01, 2017",0.007151,0.007505,0.007074,0.007505,4181.0,101329.0
"Mar 02, 2017",0.007505,0.010145,0.007427,0.008892,4882.0,106428.0
"Mar 03, 2017",0.008364,0.008969,0.007733,0.008184,4557.0,118703.0
"Mar 04, 2017",0.008199,0.0114,0.007657,0.007733,3063.0,116456.0
"Mar 05, 2017",0.007728,0.007802,0.007372,0.007475,6685.0,109856.0
"Mar 06, 2017",0.007475,0.01257,0.007475,0.008371,14220.0,106353.0
"Mar 07, 2017",0.008349,0.008755,0.00749,0.007733,7188.0,118879.0
"Mar 08, 2017",0.00773,0.008016,0.007154,0.007154,17006.0,110157.0
"Mar 09, 2017",0.007271,0.008181,0.0071,0.007953,5770.0,103693.0
"Mar 10, 2017",0.00801,0.008604,0.007346,0.007605,7018.0,114335.0
"Mar 11, 2017",0.007605,0.008169,0.007605,0.008048,1957.0,108643.0
"Mar 12, 2017",0.008048,0.008531,0.007823,0.008531,5647.0,115062.0
"Mar 13, 2017",0.008531,0.010311,0.008282,0.00905,8912.0,122064.0
