datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Apr 30, 2017",0.000172,0.000703,0.000172,0.00066,18981.0,2600.0
"May 01, 2017",0.000526,0.001119,0.000462,0.000682,12978.0,7947.0
"May 02, 2017",0.000696,0.001996,0.000696,0.001337,17784.0,10523.0
"May 03, 2017",0.001337,0.001394,0.000719,0.000983,12567.0,20213.0
"May 04, 2017",0.000984,0.001105,0.000452,0.000615,12985.0,14869.0
"May 05, 2017",0.000616,0.000671,0.000235,0.000358,2390.0,9315.0
"May 06, 2017",0.000358,0.000389,0.000205,0.000237,1022.0,5411.0
"May 07, 2017",0.000237,0.000711,0.000236,0.000447,3073.0,3580.0
"May 08, 2017",0.000447,0.000727,0.000268,0.000465,2405.0,6757.0
"May 09, 2017",0.000414,0.000523,0.000274,0.000316,1171.0,6253.0
"May 10, 2017",0.000316,0.000763,0.000316,0.000563,4337.0,4775.0
"May 11, 2017",0.000564,0.001548,0.000563,0.000986,14335.0,8517.0
"May 12, 2017",0.000987,0.001588,0.000713,0.000917,12954.0,14911.0
"May 13, 2017",0.000899,0.001036,0.000783,0.000834,2245.0,13581.0
"May 14, 2017",0.000836,0.00095,0.000569,0.000698,2644.0,12638.0
"May 15, 2017",0.000698,0.000792,0.000604,0.000692,1275.0,10555.0
"May 16, 2017",0.000709,0.000755,0.000576,0.000644,1299.0,10708.0
"May 17, 2017",0.000643,0.000661,0.000487,0.000598,1431.0,9722.0
"May 18, 2017",0.000598,0.000899,0.000509,0.000792,2206.0,9037.0
"May 19, 2017",0.000792,0.000895,0.000732,0.000786,1148.0,11969.0
"May 20, 2017",0.000785,0.00107,0.000678,0.000737,2771.0,11863.0
"May 21, 2017",0.000737,0.001112,0.000715,0.000874,2858.0,11131.0
"May 22, 2017",0.000877,0.001381,0.000874,0.001161,4103.0,13253.0
"May 23, 2017",0.001159,0.001314,0.000949,0.001062,1238.0,17518.0
"May 24, 2017",0.001063,0.001218,0.000939,0.001049,2386.0,16065.0
"May 25, 2017",0.001047,0.001261,0.000697,0.000922,1325.0,15824.0
"May 26, 2017",0.000916,0.001067,0.000747,0.000803,310.0,13837.0
"May 27, 2017",0.000805,0.000898,0.000676,0.000692,166.0,12171.0
"May 28, 2017",0.000696,0.000891,0.000539,0.000544,281.0,10514.0
"May 29, 2017",0.000543,0.000843,0.000543,0.000842,496.0,8202.0
"May 30, 2017",0.000843,0.001215,0.000686,0.000873,2094.0,12737.0
