datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",8.7e-05,0.0001,7e-05,0.0001,128.0,5576.0
"Jan 02, 2017",6e-05,0.000143,6e-05,6.1e-05,416.0,4032.0
"Jan 03, 2017",6.1e-05,0.000104,6.1e-05,9.4e-05,2698.0,4308.0
"Jan 04, 2017",9.4e-05,0.000115,6.5e-05,9.2e-05,72.0,6906.0
"Jan 05, 2017",9.3e-05,0.000131,6.7e-05,9.1e-05,39.0,7093.0
"Jan 06, 2017",9.1e-05,9.4e-05,4.4e-05,6.3e-05,166.0,7319.0
"Jan 07, 2017",6.3e-05,6.4e-05,5.3e-05,5.5e-05,1.0,5282.0
"Jan 08, 2017",5.4e-05,7.5e-05,4.6e-05,5.5e-05,32.0,4755.0
"Jan 09, 2017",6.4e-05,6.4e-05,3.6e-05,4.5e-05,388.0,5812.0
"Jan 10, 2017",4.5e-05,6.4e-05,3.6e-05,4.5e-05,1805.0,4272.0
"Jan 11, 2017",3.6e-05,4.6e-05,8e-06,2.3e-05,2146.0,3537.0
"Jan 12, 2017",2.3e-05,4.8e-05,1.6e-05,1.6e-05,4146.0,2331.0
"Jan 13, 2017",1.6e-05,3.3e-05,1.6e-05,2.5e-05,533.0,1614.0
"Jan 14, 2017",2.5e-05,2.5e-05,1.6e-05,1.6e-05,42.0,2488.0
"Jan 15, 2017",1.6e-05,2.5e-05,8e-06,1.6e-05,177.0,1647.0
"Jan 16, 2017",1.6e-05,1.7e-05,8e-06,1.7e-05,32.0,1669.0
"Jan 17, 2017",1.7e-05,1.8e-05,8e-06,9e-06,110.0,1698.0
"Jan 18, 2017",9e-06,2.7e-05,9e-06,2.7e-05,342.0,938.0
"Jan 19, 2017",2.7e-05,2.7e-05,1.8e-05,1.8e-05,54.0,2767.0
"Jan 20, 2017",1.8e-05,3.6e-05,1.8e-05,1.8e-05,238.0,1877.0
"Jan 21, 2017",1.8e-05,2.8e-05,1.8e-05,2.8e-05,54.0,1881.0
"Jan 22, 2017",2.8e-05,2.8e-05,1.8e-05,1.8e-05,31.0,2931.0
"Jan 23, 2017",1.9e-05,2.8e-05,1.8e-05,2.8e-05,7.0,1975.0
"Jan 24, 2017",2.7e-05,2.7e-05,1.8e-05,1.8e-05,13.0,2935.0
"Jan 25, 2017",1.8e-05,1.8e-05,1.8e-05,1.8e-05,57.0,1925.0
"Jan 26, 2017",1.8e-05,2.7e-05,1.8e-05,1.8e-05,14.0,1950.0
"Jan 27, 2017",1.8e-05,2.8e-05,1.8e-05,1.8e-05,29.0,1985.0
"Jan 28, 2017",1.8e-05,2.8e-05,1.8e-05,2.8e-05,3.0,1992.0
"Jan 29, 2017",2.8e-05,2.8e-05,1.8e-05,1.8e-05,0.0,2998.0
"Jan 30, 2017",1.8e-05,2.8e-05,1.8e-05,2.8e-05,29.0,1996.0
"Jan 31, 2017",2.8e-05,2.9e-05,1.8e-05,2.9e-05,38.0,2998.0
"Feb 01, 2017",2.9e-05,3e-05,2e-05,2e-05,4.0,3163.0
"Feb 02, 2017",2e-05,2e-05,2e-05,2e-05,1.0,2151.0
"Feb 03, 2017",2e-05,3.1e-05,2e-05,3.1e-05,0.0,2199.0
"Feb 04, 2017",3.1e-05,3.1e-05,2e-05,2.1e-05,2.0,3366.0
"Feb 05, 2017",2.1e-05,3.1e-05,2e-05,2.1e-05,44.0,2272.0
"Feb 06, 2017",2.1e-05,3.1e-05,2.1e-05,2.1e-05,7.0,2241.0
"Feb 07, 2017",2.1e-05,4.2e-05,2.1e-05,3.2e-05,54.0,2268.0
"Feb 08, 2017",3.2e-05,4.3e-05,3.1e-05,3.2e-05,14.0,3477.0
"Feb 09, 2017",4.3e-05,4.4e-05,3.8e-05,4e-05,3.0,4651.0
"Feb 10, 2017",1.9e-05,4e-05,1.9e-05,4e-05,1.0,2152.0
"Feb 11, 2017",4e-05,4e-05,3.9e-05,4e-05,0.0,4423.0
"Feb 12, 2017",3e-05,3e-05,3e-05,3e-05,1.0,3378.0
"Feb 13, 2017",3e-05,3e-05,2.9e-05,3e-05,1.0,3391.0
"Feb 14, 2017",3e-05,3e-05,1e-05,3e-05,108.0,3384.0
"Feb 15, 2017",3e-05,3e-05,2e-05,2e-05,56.0,3445.0
"Feb 16, 2017",2e-05,4.1e-05,2e-05,3.1e-05,1.0,2307.0
"Feb 17, 2017",3.1e-05,3.1e-05,2.1e-05,2.1e-05,66.0,3607.0
"Feb 18, 2017",2.1e-05,3.2e-05,2.1e-05,3.2e-05,174.0,2524.0
"Feb 19, 2017",3.2e-05,3.2e-05,2.1e-05,2.1e-05,53.0,3875.0
"Feb 20, 2017",2.1e-05,3.2e-05,2.1e-05,3.2e-05,16.0,2599.0
"Feb 21, 2017",3.2e-05,3.3e-05,2.2e-05,2.2e-05,19.0,4060.0
"Feb 22, 2017",2.2e-05,3.4e-05,2.2e-05,3.4e-05,53.0,2828.0
"Feb 23, 2017",3.4e-05,3.4e-05,1.2e-05,2.3e-05,44.0,4307.0
"Feb 24, 2017",2.3e-05,2.4e-05,1.2e-05,2.3e-05,2.0,3057.0
"Feb 25, 2017",2.3e-05,2.3e-05,2.2e-05,2.3e-05,1.0,3094.0
"Feb 26, 2017",2.3e-05,2.3e-05,2.3e-05,2.3e-05,1.0,3062.0
"Feb 27, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,2.0,1615.0
"Feb 28, 2017",1.2e-05,2.4e-05,1.2e-05,1.2e-05,24.0,1619.0
"Mar 01, 2017",1.2e-05,2.4e-05,1.2e-05,2.4e-05,30.0,1640.0
"Mar 02, 2017",2.4e-05,2.5e-05,1.2e-05,1.3e-05,170.0,3445.0
"Mar 03, 2017",1.3e-05,2.6e-05,1.3e-05,1.3e-05,9.0,1815.0
"Mar 04, 2017",1.3e-05,1.3e-05,1.2e-05,1.3e-05,0.0,1886.0
"Mar 05, 2017",1.3e-05,1.3e-05,1.2e-05,1.3e-05,0.0,1880.0
"Mar 06, 2017",1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.0,1931.0
"Mar 07, 2017",1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.0,1958.0
"Mar 08, 2017",2.4e-05,2.4e-05,2.3e-05,2.3e-05,0.0,3745.0
"Mar 09, 2017",2.3e-05,2.4e-05,2.3e-05,2.4e-05,0.0,3633.0
"Mar 10, 2017",1.2e-05,2.5e-05,1.1e-05,1.1e-05,34.0,1903.0
"Mar 11, 2017",1.1e-05,1.2e-05,1.1e-05,1.2e-05,5.0,1815.0
"Mar 12, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,1947.0
"Mar 13, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,6.0,2033.0
"Mar 14, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,2074.0
"Mar 16, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,3.0,2159.0
"Mar 17, 2017",1.2e-05,1.2e-05,1.1e-05,1.1e-05,3.0,2093.0
"Mar 18, 2017",1.1e-05,1.1e-05,1.1e-05,1.1e-05,3.0,1974.0
"Mar 19, 2017",1e-05,1.1e-05,1e-05,1e-05,1.0,1839.0
"Mar 20, 2017",1e-05,1.1e-05,1e-05,1.1e-05,0.0,1915.0
"Mar 21, 2017",1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,1982.0
"Mar 22, 2017",1.1e-05,1.1e-05,1e-05,1e-05,7.0,2124.0
"Mar 23, 2017",1.1e-05,1.1e-05,1e-05,1e-05,4.0,2046.0
"Mar 24, 2017",1e-05,2e-05,9e-06,9e-06,14.0,2054.0
"Mar 25, 2017",9e-06,1e-05,9e-06,1e-05,0.0,1883.0
"Mar 26, 2017",1.9e-05,2e-05,1.9e-05,1.9e-05,0.0,3947.0
"Mar 27, 2017",1.9e-05,2e-05,1e-05,1e-05,10.0,4051.0
"Mar 28, 2017",1e-05,1.1e-05,1e-05,1e-05,1.0,2215.0
"Mar 29, 2017",1e-05,1.1e-05,1e-05,1e-05,0.0,2260.0
"Mar 30, 2017",1e-05,2e-05,1e-05,1e-05,50.0,2302.0
"Mar 31, 2017",1e-05,1.1e-05,1e-05,1.1e-05,1.0,2302.0
"Apr 01, 2017",1.1e-05,2.2e-05,1.1e-05,1.1e-05,13.0,2447.0
"Apr 02, 2017",1.1e-05,1.1e-05,1.1e-05,1.1e-05,21.0,2518.0
"Apr 03, 2017",1.1e-05,1.2e-05,1.1e-05,1.1e-05,6.0,2620.0
"Apr 04, 2017",1.1e-05,2.3e-05,1.1e-05,1.1e-05,91.0,2786.0
"Apr 05, 2017",1.1e-05,2.3e-05,1.1e-05,1.1e-05,109.0,2822.0
"Apr 06, 2017",2.3e-05,2.3e-05,1.2e-05,1.2e-05,16.0,5725.0
"Apr 07, 2017",1.2e-05,2.4e-05,1.2e-05,1.2e-05,83.0,3061.0
"Apr 08, 2017",1.2e-05,2.4e-05,1.2e-05,1.2e-05,30.0,3110.0
"Apr 09, 2017",1.2e-05,2.4e-05,1.2e-05,1.2e-05,41.0,3177.0
"Apr 10, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,52.0,3263.0
"Apr 11, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,3340.0
"Apr 12, 2017",2.4e-05,2.4e-05,1.2e-05,1.2e-05,7.0,6951.0
"Apr 13, 2017",1.2e-05,2.4e-05,1.2e-05,1.2e-05,16.0,3549.0
"Apr 14, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,3540.0
"Apr 15, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,3607.0
"Apr 16, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,3695.0
"Apr 17, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,9.0,3854.0
"Apr 18, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,3.0,3978.0
"Apr 19, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,4149.0
"Apr 20, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,2.0,4252.0
"Apr 21, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,4409.0
"Apr 22, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,64.0,4595.0
"Apr 23, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,31.0,4694.0
"Apr 24, 2017",1.2e-05,1.3e-05,1.2e-05,1.3e-05,36.0,4713.0
"Apr 25, 2017",1.3e-05,1.3e-05,1.2e-05,1.3e-05,0.0,4998.0
"Apr 26, 2017",1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.0,5251.0
"Apr 27, 2017",1.3e-05,1.3e-05,1.3e-05,1.3e-05,22.0,5422.0
"Apr 28, 2017",1.3e-05,2.6e-05,1.3e-05,1.3e-05,203.0,5776.0
"Apr 29, 2017",1.3e-05,2.7e-05,1.3e-05,1.3e-05,334.0,5959.0
"Apr 30, 2017",1.3e-05,2.6e-05,1.3e-05,1.3e-05,294.0,6176.0
"May 01, 2017",1.3e-05,1.4e-05,1.3e-05,1.4e-05,45.0,6500.0
"May 02, 2017",1.4e-05,2.9e-05,1.4e-05,2.9e-05,25.0,7067.0
"May 03, 2017",2.9e-05,2.9e-05,1.5e-05,1.5e-05,15.0,14893.0
"May 04, 2017",1.5e-05,1.6e-05,1.5e-05,1.5e-05,16.0,7872.0
"May 05, 2017",1.5e-05,1.6e-05,1.5e-05,1.6e-05,1.0,8395.0
"May 06, 2017",1.6e-05,3.1e-05,1.5e-05,1.6e-05,43.0,8758.0
"May 07, 2017",1.6e-05,3.2e-05,1.6e-05,1.6e-05,18.0,9155.0
"May 08, 2017",1.6e-05,1.7e-05,1.6e-05,1.7e-05,9.0,9528.0
"May 09, 2017",1.7e-05,1.8e-05,1.7e-05,1.8e-05,0.0,10440.0
"May 10, 2017",1.8e-05,1.8e-05,1.7e-05,1.8e-05,23.0,11080.0
"May 11, 2017",1.8e-05,1.9e-05,1.7e-05,1.8e-05,0.0,11110.0
"May 12, 2017",1.8e-05,1.8e-05,1.7e-05,1.7e-05,20.0,11526.0
"May 13, 2017",1.7e-05,1.8e-05,1.6e-05,1.8e-05,0.0,10695.0
"May 14, 2017",1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.0,11223.0
"May 15, 2017",1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.0,11297.0
"May 18, 2017",1.8e-05,1.9e-05,1.8e-05,1.9e-05,4.0,11448.0
"May 19, 2017",1.9e-05,2e-05,1.9e-05,2e-05,0.0,11895.0
"May 20, 2017",2e-05,2e-05,2e-05,2e-05,0.0,12379.0
"May 21, 2017",2e-05,2.1e-05,2e-05,2e-05,1.0,12905.0
"May 22, 2017",2e-05,2.2e-05,2e-05,2.1e-05,1.0,12865.0
"May 23, 2017",2.1e-05,2.3e-05,2.1e-05,2.3e-05,1.0,13295.0
"May 24, 2017",2.3e-05,2.5e-05,2.3e-05,2.4e-05,2.0,14267.0
"May 25, 2017",2.4e-05,2.8e-05,2.2e-05,2.3e-05,1.0,15360.0
"May 26, 2017",2.3e-05,2.6e-05,2.1e-05,2.2e-05,270.0,14439.0
"May 27, 2017",2.2e-05,2.3e-05,1.9e-05,2e-05,26.0,14111.0
"May 28, 2017",2e-05,2.3e-05,2e-05,2.2e-05,83.0,12907.0
"May 29, 2017",2.2e-05,2.3e-05,2.1e-05,2.3e-05,3.0,13695.0
"May 30, 2017",2.3e-05,2.3e-05,2.2e-05,2.2e-05,11.0,14369.0
"May 31, 2017",2.2e-05,2.3e-05,2.2e-05,2.3e-05,12.0,13815.0
"Jun 01, 2017",2.3e-05,2.4e-05,2.3e-05,2.4e-05,104.0,14426.0
"Jun 02, 2017",2.4e-05,2.5e-05,2.4e-05,2.5e-05,47.0,15137.0
"Jun 03, 2017",2.5e-05,2.6e-05,2.4e-05,2.5e-05,65.0,15612.0
"Jun 04, 2017",2.5e-05,2.6e-05,2.5e-05,2.5e-05,2.0,15985.0
"Jun 05, 2017",2.5e-05,2.7e-05,2.5e-05,2.7e-05,33.0,15876.0
"Jun 06, 2017",2.7e-05,2.9e-05,2.7e-05,2.9e-05,1.0,16999.0
