datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-4-17,0.002385,0.002387,0.001324,0.00234,327.0,0.0
2017-4-18,0.00234,0.020916,0.00127,0.009088,3507.0,0.0
2017-4-19,0.009091,0.009846,0.004962,0.009041,1685.0,0.0
2017-4-20,0.009047,0.020956,0.004026,0.004376,1875.0,0.0
2017-4-21,0.004377,0.007961,0.004011,0.004033,924.0,0.0
2017-4-22,0.004035,0.00409,0.004,0.004077,179.0,0.0
2017-4-23,0.004078,0.004079,0.002503,0.002535,33.0,0.0
2017-4-24,0.00254,0.003855,0.001477,0.001525,31.0,0.0
2017-4-25,0.001526,0.00166,0.001525,0.001531,16.0,0.0
2017-4-26,0.001532,0.001865,0.00093,0.001845,15.0,0.0
2017-4-27,0.001846,0.002743,0.00099,0.001133,31.0,0.0
2017-4-28,0.001133,0.002367,0.001116,0.001159,48.0,0.0
2017-4-29,0.00116,0.00379,0.001015,0.003252,519.0,0.0
2017-4-30,0.003252,0.003253,0.001236,0.001361,107.0,0.0
2017-5-01,0.001362,0.002436,0.001313,0.001336,42.0,0.0
2017-5-02,0.001336,0.002484,0.001331,0.001366,43.0,0.0
2017-5-03,0.001367,0.001381,0.000791,0.000834,18.0,0.0
2017-5-04,0.000835,0.000909,0.000822,0.000846,26.0,0.0
2017-5-05,0.000847,0.001356,0.000348,0.000482,18.0,0.0
2017-5-06,0.000483,0.001575,0.000478,0.000553,8.0,0.0
2017-5-07,0.000553,0.001394,0.000553,0.000655,15.0,0.0
2017-5-08,0.000655,0.001342,0.000655,0.000724,19.0,0.0
2017-5-09,0.000724,0.001315,0.000358,0.000369,13.0,0.0
2017-5-10,0.000369,0.000851,0.000362,0.000563,17.0,0.0
2017-5-11,0.000564,0.001227,0.00056,0.001205,17.0,0.0
2017-5-12,0.001206,0.001208,0.000604,0.000646,10.0,0.0
2017-5-13,0.000644,0.00112,0.000388,0.000532,52.0,0.0
2017-5-14,0.000534,0.000993,0.000528,0.000555,24.0,0.0
2017-5-15,0.000555,0.000836,0.000541,0.000554,25.0,0.0
2017-5-16,0.000553,0.000655,0.000522,0.000626,26.0,0.0
2017-5-17,0.000626,0.000971,0.000505,0.000653,14.0,0.0
2017-5-18,0.000652,0.000963,0.000617,0.000961,8.0,0.0
2017-5-19,0.000962,0.000994,0.000611,0.000629,27.0,0.0
2017-5-20,0.000628,0.000796,0.000549,0.000594,58.0,0.0
2017-5-21,0.000593,0.000598,0.000439,0.000468,80.0,0.0
2017-5-22,0.000469,0.000509,0.000425,0.000443,1.0,0.0
2017-5-23,0.000443,0.000454,0.000258,0.000271,13.0,0.0
2017-5-24,0.000271,0.000581,0.000264,0.000268,15.0,0.0
2017-5-25,0.000268,0.000317,0.000256,0.000277,7.0,0.0
2017-5-26,0.000275,0.000558,0.000226,0.000245,5.0,0.0
2017-5-27,0.000246,0.000463,0.000233,0.000264,13.0,0.0
2017-5-28,0.000266,0.000294,0.000251,0.000261,4.0,0.0
2017-5-29,0.000261,0.000418,0.000248,0.00025,3.0,0.0
2017-5-30,0.000251,0.000255,0.000237,0.00024,2.0,0.0
2017-5-31,0.000241,0.000254,0.00024,0.000251,5.0,0.0
2017-6-01,0.000252,0.000408,0.000243,0.000408,12.0,0.0
2017-6-02,0.000408,0.000495,0.000286,0.000495,21.0,0.0
2017-6-03,0.000495,0.000496,0.000316,0.00033,6.0,0.0
2017-6-04,0.000329,0.000505,0.000322,0.000503,9.0,0.0
2017-6-05,0.000503,0.000516,0.000332,0.000349,292.0,0.0
2017-6-06,0.00035,0.005556,0.00035,0.002751,11241.0,0.0
2017-6-07,0.002752,0.002834,0.001205,0.001205,616.0,0.0
2017-6-08,0.001211,0.002537,0.001179,0.00174,770.0,0.0
2017-6-09,0.001737,0.002095,0.001256,0.00174,247.0,0.0
2017-6-10,0.001742,0.001758,0.001266,0.001302,67.0,0.0
2017-6-11,0.001301,0.00159,0.001177,0.001191,167.0,0.0
2017-6-12,0.00119,0.001193,0.000565,0.000636,26.0,0.0
2017-6-13,0.000634,0.000663,0.000633,0.00065,10.0,0.0
2017-6-14,0.00065,0.000664,0.000479,0.000491,14.0,0.0
2017-6-15,0.000491,0.000501,0.000401,0.000435,9.0,0.0
2017-6-16,0.000434,0.0006,0.0004,0.00045,99.0,0.0
2017-6-17,0.00045,0.000475,0.00045,0.000475,6.0,0.0
2017-6-18,0.000475,0.000999,0.000475,0.000999,82.0,0.0
2017-6-19,0.000999,0.000999,0.000625,0.000625,3.0,0.0
2017-6-20,0.000625,0.000874,0.000625,0.000874,6.0,0.0
2017-6-21,0.000874,0.000874,0.000425,0.000425,10.0,0.0
2017-6-22,0.000425,0.000974,0.000425,0.0005,19.0,0.0
2017-6-23,0.0005,0.001009,0.0005,0.000996,31.0,0.0
2017-6-24,0.000995,0.001006,0.000685,0.000694,104.0,0.0
2017-6-25,0.000693,0.000767,0.000636,0.000655,8.0,0.0
2017-6-26,0.000655,0.000732,0.000649,0.00069,11.0,0.0
2017-6-27,0.000706,0.000706,0.000573,0.000654,10.0,0.0
2017-6-28,0.000658,0.000932,0.000638,0.000664,12.0,0.0
2017-6-29,0.000664,0.000977,0.00066,0.000733,20.0,0.0
2017-6-30,0.000734,0.000959,0.000734,0.000785,25.0,0.0
2017-7-01,0.000785,0.000798,0.000549,0.000578,32.0,0.0
2017-7-02,0.000578,0.000627,0.000569,0.000625,30.0,0.0
2017-7-03,0.000622,0.002542,0.000586,0.000915,2183.0,0.0
2017-7-04,0.000913,0.002107,0.000913,0.001633,692.0,0.0
2017-7-05,0.001632,0.002082,0.001584,0.001897,394.0,0.0
2017-7-06,0.001898,0.001914,0.001237,0.001428,4209.0,0.0
2017-7-07,0.001429,0.001662,0.001132,0.00115,263.0,0.0
2017-7-08,0.001151,0.002503,0.001138,0.00135,3737.0,0.0
2017-7-09,0.001351,0.001506,0.000875,0.000875,214.0,0.0
2017-7-10,0.000877,0.001123,0.000698,0.000727,52.0,0.0
2017-7-11,0.000726,0.000968,0.000691,0.000921,36.0,0.0
2017-7-12,0.00092,0.00092,0.000684,0.000811,12.0,0.0
2017-7-13,0.000811,0.001277,0.000782,0.000816,36.0,0.0
2017-7-14,0.000815,0.001211,0.000768,0.001089,67.0,0.0
2017-7-15,0.001087,0.004089,0.000806,0.003944,88.0,0.0
2017-7-16,0.003932,0.0043,0.000709,0.000728,63.0,0.0
2017-7-17,0.000727,0.000929,0.000695,0.00078,29.0,0.0
2017-7-18,0.000782,0.000879,0.000705,0.000764,26.0,0.0
2017-7-19,0.000765,0.000854,0.00065,0.000751,43.0,0.0
2017-7-20,0.000749,0.000862,0.000584,0.000703,8.0,0.0
2017-7-21,0.000708,0.000867,0.000617,0.000854,11.0,0.0
2017-7-22,0.000854,0.000985,0.000619,0.000759,15.0,0.0
2017-7-23,0.000759,0.00077,0.000665,0.000688,39.0,0.0
2017-7-24,0.000688,0.000694,0.0006,0.000607,44.0,0.0
2017-7-25,0.000607,0.000692,0.000554,0.000691,17.0,0.0
2017-7-26,0.000691,0.000693,0.000544,0.000579,16.0,0.0
2017-7-27,0.000581,0.000608,0.000553,0.000557,20.0,0.0
2017-7-28,0.000559,0.000689,0.000559,0.000686,16.0,0.0
2017-7-29,0.000684,0.000716,0.000617,0.000626,23.0,0.0
2017-7-30,0.000626,0.000654,0.000599,0.00063,14.0,0.0
2017-7-31,0.00063,0.000648,0.000584,0.000602,26.0,0.0
2017-8-01,0.000602,0.000927,0.000522,0.000539,12.0,0.0
2017-8-02,0.000539,0.000568,0.000531,0.000545,12.0,0.0
2017-8-03,0.000545,0.000659,0.000527,0.000585,19.0,0.0
2017-8-04,0.000585,0.001019,0.00054,0.000612,68.0,0.0
2017-8-05,0.000612,0.000806,0.000612,0.000718,26.0,0.0
2017-8-06,0.000718,0.000868,0.000591,0.000593,25.0,0.0
2017-8-07,0.000592,0.000718,0.000482,0.000691,66.0,0.0
2017-8-08,0.000692,0.000696,0.000487,0.000684,25.0,0.0
2017-8-09,0.000684,0.000854,0.00048,0.000635,79.0,0.0
2017-8-10,0.000635,0.000654,0.000631,0.000649,38.0,0.0
2017-8-11,0.000649,0.000882,0.000646,0.000667,33.0,0.0
2017-8-12,0.000666,0.001015,0.000655,0.000736,25.0,0.0
2017-8-13,0.000735,0.001062,0.000733,0.000771,23.0,0.0
2017-8-14,0.000772,0.001066,0.000756,0.00082,32.0,0.0
2017-8-15,0.000822,0.000879,0.000665,0.000767,68.0,0.0
2017-8-16,0.000768,0.000863,0.000618,0.000659,26.0,0.0
2017-8-17,0.000658,0.000717,0.000629,0.000644,25.0,0.0
2017-8-18,0.000642,0.000653,0.000596,0.000617,21.0,0.0
2017-8-19,0.000616,0.001046,0.000616,0.000708,51.0,0.0
2017-8-20,0.000705,0.000737,0.000608,0.00065,20.0,0.0
2017-8-21,0.000647,0.000966,0.0006,0.000639,24.0,0.0
2017-8-22,0.00064,0.001017,0.00058,0.001013,17.0,0.0
2017-8-23,0.001011,0.001019,0.000653,0.000663,32.0,0.0
2017-8-24,0.000663,0.000803,0.000658,0.000689,29.0,0.0
2017-8-25,0.000688,0.00093,0.000686,0.000726,83.0,0.0
2017-8-26,0.000727,0.00101,0.000714,0.000869,79.0,0.0
