datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Aug 09, 2017",0.153742,0.576205,0.078355,0.198276,11878.0,0.0
"Aug 10, 2017",0.197902,0.244507,0.1537,0.183283,9073.0,0.0
"Aug 11, 2017",0.183112,0.299429,0.159929,0.17523,31527.0,0.0
"Aug 12, 2017",1.55,1.58,0.098085,0.262967,14089.0,0.0
"Aug 13, 2017",0.262779,0.274609,0.214476,0.262283,25042.0,10511200.0
"Aug 14, 2017",0.262943,1.17,0.23593,0.2784,25182.0,10517700.0
"Aug 15, 2017",0.279344,0.475957,0.245411,0.389336,86530.0,11173800.0
"Aug 16, 2017",0.386513,0.399141,0.244509,0.304793,21566.0,15460500.0
"Aug 17, 2017",0.304855,0.497351,0.304855,0.383637,41229.0,12194200.0
"Aug 18, 2017",0.382658,0.49412,0.259652,0.351831,65511.0,15306300.0
"Aug 19, 2017",0.351831,0.848575,0.29032,0.555707,289140.0,14073200.0
"Aug 20, 2017",0.553456,0.750027,0.553456,0.579179,351198.0,22138200.0
"Aug 21, 2017",0.578545,0.720073,0.369536,0.461121,153173.0,23141800.0
"Aug 22, 2017",0.461471,0.99321,0.346283,0.346508,43069.0,18458800.0
