datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 02, 2017",4.1e-05,4.1e-05,4.1e-05,4.1e-05,16.0,0.0
"Jul 03, 2017",8e-05,9.4e-05,8e-05,9.1e-05,1.0,0.0
"Jul 04, 2017",9e-05,9.6e-05,5.8e-05,6.5e-05,1.0,0.0
"Jul 05, 2017",6.5e-05,8.9e-05,6e-05,6.4e-05,8.0,0.0
"Jul 06, 2017",6.4e-05,9.5e-05,6e-05,6.2e-05,4.0,0.0
"Jul 07, 2017",6.2e-05,9.5e-05,5.6e-05,9.2e-05,1.0,0.0
"Jul 08, 2017",9.2e-05,0.000103,5.3e-05,0.000102,0.0,0.0
"Jul 09, 2017",0.000102,0.000104,5.5e-05,5.5e-05,1.0,0.0
"Jul 10, 2017",5.6e-05,5.6e-05,4.8e-05,5.1e-05,2.0,0.0
"Jul 11, 2017",5.1e-05,5.2e-05,4.7e-05,5e-05,1.0,0.0
"Jul 12, 2017",4.9e-05,5.4e-05,4.8e-05,5.3e-05,0.0,0.0
"Jul 13, 2017",5.3e-05,5.4e-05,5e-05,5.1e-05,2.0,0.0
"Jul 14, 2017",5.1e-05,7.5e-05,4.5e-05,4.8e-05,1.0,0.0
"Jul 15, 2017",4.8e-05,4.8e-05,4.3e-05,4.4e-05,0.0,0.0
"Jul 16, 2017",4.3e-05,4.7e-05,4e-05,4.6e-05,1.0,0.0
"Jul 17, 2017",4.6e-05,4.9e-05,4.5e-05,4.8e-05,0.0,0.0
"Jul 18, 2017",4.8e-05,5.1e-05,4.7e-05,5.1e-05,0.0,0.0
"Jul 19, 2017",4.8e-05,4.9e-05,4.6e-05,4.6e-05,0.0,0.0
"Jul 20, 2017",4.6e-05,5e-05,4.6e-05,5e-05,0.0,0.0
"Jul 21, 2017",7.8e-05,8e-05,7.6e-05,7.9e-05,0.0,0.0
"Jul 22, 2017",7.9e-05,8e-05,7.8e-05,7.9e-05,0.0,0.0
"Jul 24, 2017",7.5e-05,7.7e-05,5.3e-05,5.3e-05,1.0,0.0
"Jul 25, 2017",5.3e-05,5.4e-05,4.9e-05,5e-05,0.0,0.0
"Jul 26, 2017",5e-05,7.3e-05,5e-05,7.3e-05,16.0,0.0
"Jul 27, 2017",7.3e-05,8.3e-05,5e-05,5.9e-05,2.0,0.0
"Jul 28, 2017",5.9e-05,5.9e-05,4.9e-05,4.9e-05,4.0,0.0
"Jul 29, 2017",4.9e-05,5e-05,4.7e-05,5e-05,0.0,0.0
"Jul 30, 2017",5e-05,5.1e-05,4.9e-05,4.9e-05,0.0,0.0
"Jul 31, 2017",4.9e-05,5.4e-05,4.8e-05,5.2e-05,4.0,0.0
"Aug 01, 2017",5.2e-05,5.4e-05,5e-05,5.3e-05,1.0,0.0
"Aug 02, 2017",5.3e-05,5.3e-05,5.1e-05,5.1e-05,0.0,0.0
"Aug 03, 2017",5.2e-05,5.2e-05,5.2e-05,5.2e-05,6.0,0.0
"Aug 04, 2017",5.2e-05,5.6e-05,5.2e-05,5.6e-05,3.0,0.0
"Aug 05, 2017",5.6e-05,5.8e-05,3.1e-05,5.3e-05,2420.0,0.0
"Aug 06, 2017",5.3e-05,5.4e-05,5.2e-05,5.2e-05,2.0,0.0
"Aug 09, 2017",3.5e-05,3.5e-05,3.5e-05,3.5e-05,0.0,0.0
"Aug 10, 2017",3.5e-05,3.5e-05,3.4e-05,3.4e-05,5.0,0.0
"Aug 11, 2017",3.4e-05,6.5e-05,3.4e-05,6.5e-05,17.0,0.0
"Aug 12, 2017",6.5e-05,6.6e-05,6.4e-05,6.4e-05,2.0,0.0
"Aug 13, 2017",6.4e-05,6.5e-05,6.1e-05,6.4e-05,2.0,0.0
"Aug 14, 2017",4.4e-05,4.5e-05,4.3e-05,4.4e-05,3.0,0.0
"Aug 15, 2017",4.4e-05,4.4e-05,4e-05,4.1e-05,2.0,0.0
"Aug 16, 2017",3.9e-05,4e-05,3.9e-05,3.9e-05,0.0,0.0
"Aug 17, 2017",3.9e-05,4e-05,3.3e-05,3.4e-05,1.0,0.0
"Aug 18, 2017",3.4e-05,6.5e-05,3.3e-05,6.3e-05,0.0,0.0
"Aug 19, 2017",6.4e-05,6.5e-05,3.3e-05,3.4e-05,13.0,0.0
"Aug 20, 2017",3.4e-05,3.4e-05,3.2e-05,3.3e-05,1.0,0.0
"Aug 21, 2017",3.3e-05,3.4e-05,3.2e-05,3.3e-05,0.0,0.0
"Aug 22, 2017",3.4e-05,6.4e-05,3.3e-05,6.4e-05,1.0,0.0
