datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.012182,0.020252,0.011729,0.018798,805.0,213140.0
"Jan 02, 2017",0.018808,0.022489,0.01602,0.018145,321.0,329136.0
"Jan 03, 2017",0.018144,0.025544,0.0179,0.019827,59.0,317561.0
"Jan 04, 2017",0.019822,0.036355,0.019822,0.033008,1847.0,346990.0
"Jan 05, 2017",0.033043,0.039019,0.025739,0.038404,1916.0,578506.0
"Jan 06, 2017",0.038508,0.039245,0.029192,0.030728,600.0,674300.0
"Jan 07, 2017",0.030767,0.030908,0.019605,0.022848,232.0,538830.0
"Jan 08, 2017",0.022848,0.023786,0.022598,0.022857,43.0,400210.0
"Jan 09, 2017",0.022889,0.022952,0.022101,0.022691,111.0,400989.0
"Jan 10, 2017",0.022679,0.023962,0.021625,0.023852,158.0,397368.0
"Jan 11, 2017",0.023854,0.025294,0.020679,0.022042,29.0,418016.0
"Jan 12, 2017",0.022042,0.025066,0.021496,0.02482,50.0,386322.0
"Jan 13, 2017",0.024805,0.035359,0.024757,0.032025,4096.0,434821.0
"Jan 14, 2017",0.03207,0.04674,0.02602,0.026211,1537.0,562255.0
"Jan 15, 2017",0.026201,0.03326,0.026014,0.032898,241.0,459432.0
"Jan 16, 2017",0.032895,0.036653,0.019934,0.036578,1975.0,576904.0
"Jan 17, 2017",0.020838,0.033634,0.017633,0.0282,5333.0,365516.0
"Jan 18, 2017",0.028219,0.03003,0.026676,0.03003,294.0,495051.0
"Jan 19, 2017",0.030154,0.031413,0.016272,0.025877,2574.0,529081.0
"Jan 20, 2017",0.025866,0.02727,0.02584,0.025858,16.0,453923.0
"Jan 21, 2017",0.025857,0.026208,0.024648,0.024769,94.0,453834.0
"Jan 22, 2017",0.024768,0.032299,0.024064,0.032299,1482.0,434795.0
"Jan 23, 2017",0.032336,0.032365,0.026069,0.026128,318.0,567724.0
"Jan 24, 2017",0.025818,0.02742,0.024476,0.024814,419.0,453351.0
