datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-29,0.018373,0.020317,0.018289,0.019617,0.0,7408.0
2017-7-30,0.01964,0.019821,0.017893,0.018226,0.0,7919.0
2017-7-31,0.018492,0.018578,0.017708,0.018203,0.0,7456.0
2017-8-02,0.009258,0.009285,0.008413,0.008788,1.0,3733.0
2017-8-03,0.008753,0.009192,0.008419,0.008848,1.0,3529.0
2017-8-04,0.008879,0.009108,0.008732,0.009015,1.0,3580.0
2017-8-10,0.008186,0.008234,0.007524,0.0076,0.0,3301.0
2017-8-11,0.0076,0.008283,0.007012,0.007397,2.0,3064.0
2017-8-12,0.007445,0.016678,0.007294,0.016458,0.0,3002.0
2017-8-13,0.016602,0.016863,0.013785,0.013877,0.0,6694.0
2017-8-14,0.013858,0.014789,0.012357,0.012469,0.0,5587.0
2017-8-16,0.007599,0.008071,0.006688,0.006937,1.0,3064.0
2017-8-17,0.006909,0.015372,0.006753,0.014526,0.0,2786.0
2017-8-18,0.014465,0.014866,0.013884,0.014623,0.0,5832.0
2017-8-19,0.000232,0.000233,0.000225,0.00023,0.0,94.0
2017-8-20,0.000229,0.000278,0.000224,0.000275,0.0,92.0
2017-8-21,0.000269,0.000343,0.000245,0.000317,0.0,109.0
2017-8-22,0.000317,0.014362,0.000288,0.014111,1.0,128.0
2017-8-23,0.014097,0.015014,0.006459,0.006767,0.0,5684.0
2017-8-24,0.006724,0.007234,0.006421,0.007108,0.0,2711.0
2017-8-25,0.0071,0.0071,0.006524,0.006733,0.0,2863.0
2017-8-26,0.006745,0.007166,0.006636,0.007037,0.0,2720.0
