datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-4-30,0.158773,0.16117,0.158706,0.161167,3814.0,0.0
2017-5-01,0.161216,0.186203,0.161216,0.183045,43763.0,0.0
2017-5-02,0.182972,0.191327,0.14518,0.168818,11328.0,0.0
2017-5-03,0.168929,0.187627,0.154027,0.154895,90.0,0.0
2017-5-04,0.15496,0.199102,0.154247,0.184474,26052.0,0.0
2017-5-05,0.184858,0.192953,0.153031,0.155545,566.0,0.0
2017-5-06,0.155681,0.178806,0.155681,0.173668,3281.0,0.0
2017-5-07,0.173742,0.174309,0.172495,0.172834,3265.0,0.0
2017-5-08,0.16854,0.172731,0.16854,0.172731,105270.0,0.0
2017-5-09,0.172785,0.402984,0.172037,0.24575,434.0,0.0
2017-5-10,0.245913,0.246466,0.175105,0.176174,233.0,0.0
2017-5-11,0.17649,0.221099,0.174561,0.219041,9517.0,0.0
2017-5-12,0.219258,0.267099,0.177317,0.229372,46948.0,0.0
2017-5-13,0.228898,0.231187,0.171861,0.225776,758.0,0.0
2017-5-14,0.226498,0.229111,0.179969,0.183173,56.0,0.0
2017-5-15,0.183281,0.183562,0.169149,0.17308,998.0,0.0
2017-5-16,0.172824,0.18592,0.168499,0.18592,669.0,0.0
2017-5-17,0.18587,0.265656,0.183966,0.253828,211569.0,0.0
2017-5-18,0.253692,0.376061,0.247074,0.375125,55220.0,0.0
2017-5-19,0.375341,0.487967,0.375341,0.444957,174247.0,0.0
2017-5-20,0.444474,0.450685,0.313763,0.45023,54.0,0.0
2017-5-21,0.450068,0.450997,0.339973,0.446329,44.0,0.0
2017-5-22,0.447831,0.450254,0.242115,0.253279,642.0,0.0
2017-5-23,0.252909,0.316959,0.252909,0.316054,3.0,0.0
2017-5-24,0.316435,0.318448,0.24707,0.251278,38.0,0.0
2017-5-25,0.250805,0.309057,0.231273,0.237506,16.0,0.0
2017-5-26,0.235762,0.26628,0.211475,0.229654,6.0,0.0
2017-5-27,0.230417,0.237321,0.204704,0.209498,5.0,0.0
2017-5-28,0.21075,0.235466,0.167172,0.219085,8917.0,0.0
2017-5-29,0.218641,0.234009,0.212603,0.230334,9148.0,0.0
2017-5-30,0.160948,0.190995,0.14878,0.150529,38.0,0.0
2017-5-31,0.151119,0.229554,0.149258,0.200733,9452.0,0.0
