datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.000246,0.000271,0.00024,0.000269,1.0,5281.0
"Jan 02, 2017",0.00027,0.000419,0.000269,0.000401,3.0,5793.0
"Jan 03, 2017",0.000401,0.000454,0.000268,0.000454,1.0,8610.0
"Jan 04, 2017",0.000454,0.000543,0.000296,0.000312,23.0,9765.0
"Jan 05, 2017",0.000312,0.000321,0.000209,0.000317,0.0,6705.0
"Jan 06, 2017",0.000318,0.000501,0.000206,0.000208,7.0,6827.0
"Jan 07, 2017",0.000208,0.000209,0.000188,0.000197,0.0,4472.0
"Jan 08, 2017",0.000197,0.000451,0.000196,0.000445,5.0,4235.0
"Jan 09, 2017",0.000446,0.000447,0.000223,0.000336,7.0,9586.0
"Jan 10, 2017",0.000336,0.00035,0.000315,0.000315,2.0,7224.0
"Jan 11, 2017",0.000315,0.00032,0.000187,0.000187,1.0,6777.0
"Jan 12, 2017",0.000187,0.000207,0.000182,0.000201,0.0,4016.0
"Jan 13, 2017",0.000201,0.000202,0.000172,0.000181,5.0,4330.0
"Jan 14, 2017",0.000181,0.000184,0.000179,0.00018,0.0,3901.0
"Jan 15, 2017",0.00018,0.000181,0.000179,0.00018,0.0,3875.0
"Jan 16, 2017",0.000199,0.0002,0.000199,0.0002,0.0,4291.0
"Jan 17, 2017",0.0002,0.000228,0.000199,0.000227,1.0,4296.0
"Jan 18, 2017",0.000227,0.000265,9.7e-05,0.000265,0.0,4887.0
"Jan 19, 2017",0.000266,0.000271,0.000265,0.000268,0.0,5728.0
"Jan 21, 2017",0.000229,0.000232,0.000229,0.00023,0.0,4938.0
"Jan 22, 2017",0.00023,0.000253,0.00023,0.000249,1.0,4964.0
"Jan 23, 2017",0.00025,0.00025,0.000248,0.000248,1.0,5379.0
"Jan 27, 2017",0.00023,0.000239,0.00023,0.000239,10.0,4963.0
"Jan 28, 2017",0.000239,0.00024,0.000239,0.00024,0.0,5156.0
"Jan 29, 2017",0.00024,0.00024,0.000239,0.000239,0.0,5172.0
"Jan 30, 2017",0.000239,0.00024,0.00023,0.00023,0.0,5156.0
"Jan 31, 2017",0.00023,0.000233,0.00023,0.000233,0.0,4963.0
"Feb 01, 2017",0.000466,0.000483,0.000438,0.000483,23.0,10048.0
"Feb 02, 2017",0.000362,0.000486,0.00036,0.000486,298.0,7817.0
"Feb 03, 2017",0.000486,0.005137,0.000425,0.005133,501.0,10476.0
"Feb 04, 2017",0.00514,0.005153,0.000269,0.001043,94.0,110932.0
"Feb 05, 2017",0.001044,0.001044,0.000493,0.000494,34.0,22523.0
"Feb 06, 2017",0.000495,0.001502,0.000495,0.00101,140.0,10678.0
"Feb 07, 2017",0.001012,0.001051,0.000983,0.001049,48.0,21854.0
"Feb 08, 2017",0.000319,0.000324,0.000311,0.000319,120.0,6893.0
"Feb 09, 2017",0.000319,0.000323,0.000255,0.000259,6.0,6897.0
"Feb 10, 2017",0.000259,0.000308,0.000252,0.000306,0.0,5590.0
"Feb 11, 2017",0.000307,0.000311,0.000305,0.000311,0.0,6620.0
"Feb 13, 2017",0.000199,0.000199,0.000198,0.000198,0.0,4293.0
"Feb 14, 2017",0.000198,0.000261,0.000197,0.000261,2.0,4286.0
"Feb 15, 2017",0.000262,0.000302,0.000254,0.000254,1.0,5654.0
"Feb 16, 2017",0.000254,0.000309,0.000254,0.000308,8.0,5496.0
"Feb 17, 2017",0.000308,0.000316,0.000209,0.000314,285.0,6654.0
"Feb 18, 2017",0.000315,0.000846,0.000314,0.000316,455.0,6805.0
"Feb 19, 2017",0.000316,0.000317,0.000313,0.000315,0.0,6842.0
"Feb 20, 2017",0.000329,0.000335,0.000329,0.000335,0.0,7105.0
"Feb 21, 2017",0.000335,0.000335,0.000323,0.000335,7.0,7236.0
"Feb 22, 2017",0.000334,0.000349,0.000332,0.000346,1.0,7234.0
"Feb 23, 2017",0.000346,0.000355,0.000346,0.000354,0.0,7493.0
"Feb 24, 2017",0.000372,0.000372,0.000351,0.000364,0.0,8045.0
"Feb 25, 2017",0.000363,0.000364,0.000349,0.000355,0.0,7851.0
"Feb 26, 2017",0.000355,0.00036,0.000266,0.000338,18.0,7677.0
"Feb 27, 2017",0.000338,0.000363,0.000327,0.000358,0.0,7309.0
"Feb 28, 2017",0.000359,0.000414,0.000306,0.000413,38.0,7765.0
"Mar 01, 2017",0.000413,0.000474,0.000347,0.000379,2.0,8939.0
"Mar 02, 2017",0.00038,0.000402,0.00035,0.00035,0.0,8228.0
"Mar 03, 2017",0.00035,0.000395,0.00035,0.000395,0.0,7584.0
"Mar 04, 2017",0.000396,0.000397,0.000362,0.000368,0.0,8577.0
"Mar 05, 2017",0.000368,0.000433,0.000367,0.00039,0.0,7968.0
"Mar 06, 2017",0.00039,0.000433,0.000379,0.000433,34.0,8445.0
"Mar 07, 2017",0.000433,0.000434,0.00036,0.000361,0.0,9378.0
"Mar 08, 2017",0.00036,0.000364,0.000334,0.000335,0.0,7812.0
"Mar 09, 2017",0.000335,0.000352,0.000332,0.000349,0.0,7259.0
"Mar 10, 2017",0.00035,0.000389,0.000331,0.000339,1.0,7581.0
"Mar 11, 2017",0.000339,0.000376,0.000337,0.000364,1.0,7351.0
"Mar 12, 2017",0.000364,0.000368,0.000354,0.000366,0.0,7891.0
"Mar 13, 2017",0.000367,0.000392,0.000332,0.000333,6.0,7949.0
"Mar 14, 2017",0.000333,0.000373,0.00033,0.000372,2.0,7217.0
"Mar 15, 2017",0.000372,0.000374,0.00036,0.000362,0.0,8070.0
"Mar 16, 2017",0.000363,0.000369,0.000329,0.000333,0.0,7873.0
"Mar 17, 2017",0.00033,0.00033,0.000314,0.000317,0.0,7170.0
"Mar 18, 2017",0.000336,0.000343,0.00027,0.000301,0.0,7295.0
"Mar 19, 2017",0.000302,0.000345,0.00028,0.000292,0.0,6559.0
"Mar 20, 2017",0.000292,0.000319,0.000292,0.000298,0.0,6338.0
"Mar 21, 2017",0.000298,0.000317,0.000298,0.000314,0.0,6481.0
"Mar 22, 2017",0.000314,0.000314,0.000284,0.000294,0.0,6813.0
"Mar 23, 2017",0.000294,0.000305,0.00029,0.000292,0.0,6385.0
"Mar 24, 2017",0.000292,0.000349,0.000283,0.000328,1.0,6339.0
"Mar 25, 2017",0.000328,0.000342,0.000262,0.000292,2.0,7121.0
"Mar 26, 2017",0.000292,0.000302,0.000271,0.000271,0.0,6349.0
"Mar 27, 2017",0.000272,0.000332,0.000272,0.000295,0.0,5915.0
"Mar 28, 2017",0.000295,0.000372,0.000287,0.000366,2.0,6410.0
"Mar 29, 2017",0.000365,0.000365,0.000286,0.000301,1.0,7941.0
"Mar 30, 2017",0.000301,0.000364,0.000301,0.000359,3.0,6552.0
"Mar 31, 2017",0.000359,0.000374,0.000318,0.000322,1.0,7813.0
"Apr 01, 2017",0.000322,0.000328,0.000318,0.000324,64.0,6992.0
"Apr 02, 2017",0.000324,0.000429,0.000323,0.000408,25.0,7051.0
"Apr 03, 2017",0.000408,0.000426,0.000408,0.000426,0.0,8877.0
"Apr 04, 2017",0.000437,0.000451,0.000429,0.000431,1.0,9498.0
"Apr 05, 2017",0.000431,0.000439,0.000423,0.000439,2.0,9377.0
"Apr 06, 2017",0.000439,0.000447,0.00042,0.000432,2.0,9555.0
"Apr 07, 2017",0.000431,0.00046,0.000428,0.000433,3.0,9373.0
"Apr 08, 2017",0.000432,0.000435,0.000409,0.000435,3.0,9394.0
"Apr 09, 2017",0.000435,0.000439,0.000434,0.000439,3.0,9477.0
"Apr 10, 2017",0.000439,0.000439,0.000439,0.000439,0.0,9555.0
"Apr 11, 2017",0.000439,0.00047,0.000369,0.000458,13.0,9567.0
"Apr 12, 2017",0.000458,0.000459,0.000443,0.000444,5.0,9971.0
"Apr 13, 2017",0.000444,0.00047,0.000444,0.000444,12.0,9680.0
"Apr 14, 2017",0.000445,0.000458,0.00042,0.00042,6.0,9689.0
"Apr 15, 2017",0.00042,0.000463,0.000419,0.000434,11.0,9158.0
"Apr 16, 2017",0.000434,0.000474,0.000434,0.000473,50.0,9458.0
"Apr 17, 2017",0.000473,0.000621,0.000473,0.000621,13.0,10319.0
"Apr 18, 2017",0.000621,0.00063,0.000436,0.000522,2.0,13536.0
"Apr 19, 2017",0.000522,0.000581,0.00047,0.000581,11.0,11382.0
"Apr 20, 2017",0.000581,0.000596,0.000556,0.00059,12.0,12679.0
"Apr 21, 2017",0.00059,0.000593,0.000511,0.00055,2.0,12873.0
"Apr 22, 2017",0.00055,0.000581,0.00055,0.000579,9.0,12004.0
"Apr 23, 2017",0.000579,0.000579,0.000507,0.000567,8.0,12633.0
