datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 25, 2017",0.065327,0.06584,0.064097,0.064521,0.0,13838.0
"Jul 26, 2017",0.064159,0.066288,0.058355,0.062872,0.0,13591.0
"Jul 27, 2017",0.062705,0.063915,0.043248,0.045679,5.0,13283.0
"Jul 28, 2017",0.045377,0.066392,0.039973,0.040377,36.0,9612.0
"Jul 29, 2017",0.039792,0.06201,0.038238,0.040869,4.0,8429.0
"Jul 30, 2017",0.040916,0.061827,0.029896,0.034174,39.0,8667.0
"Jul 31, 2017",0.034673,0.055695,0.026404,0.050222,5.0,7345.0
"Aug 01, 2017",0.050085,0.056572,0.040473,0.041852,1.0,10609.0
"Aug 02, 2017",0.042324,0.051574,0.028605,0.029881,23.0,8965.0
"Aug 03, 2017",0.02976,0.053292,0.028625,0.053086,6.0,6304.0
"Aug 04, 2017",0.053271,0.060355,0.026634,0.026822,45.0,11284.0
"Aug 05, 2017",0.026764,0.053463,0.017233,0.052927,96.0,5669.0
"Aug 06, 2017",0.05285,0.054104,0.035918,0.043204,4.0,11195.0
"Aug 07, 2017",0.04322,0.054836,0.025538,0.02633,123.0,9155.0
"Aug 08, 2017",0.02658,0.050545,0.002119,0.010528,0.0,5630.0
"Aug 09, 2017",0.010471,0.045066,0.010207,0.041972,16.0,2218.0
"Aug 10, 2017",0.041839,0.042745,0.038001,0.038385,1.0,8863.0
"Aug 11, 2017",0.038384,0.040288,0.029272,0.029887,11.0,8131.0
"Aug 12, 2017",0.022568,0.030324,0.022102,0.029924,1.0,4781.0
"Aug 13, 2017",0.030186,0.032116,0.02193,0.022077,2.0,6394.0
"Aug 14, 2017",0.022047,0.027564,0.010981,0.011336,11.0,4670.0
"Aug 15, 2017",0.011413,0.028854,0.010427,0.028473,8.0,2418.0
"Aug 16, 2017",0.028344,0.033753,0.016252,0.026223,2.0,6004.0
"Aug 17, 2017",0.026115,0.027894,0.024266,0.024959,2.0,5532.0
"Aug 18, 2017",0.024854,0.025543,0.021687,0.022132,1.0,5265.0
"Aug 19, 2017",0.022254,0.023128,0.018413,0.019563,25.0,4714.0
"Aug 20, 2017",0.019482,0.023233,0.015425,0.018919,41.0,4127.0
"Aug 21, 2017",0.018516,0.023731,0.016849,0.022205,9.0,3922.0
"Aug 22, 2017",0.022221,0.022711,0.01606,0.022314,2.0,4707.0
