datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,14.06,22.86,13.54,20.96,30436.0,1405980.0
2017-1-02,20.97,22.55,16.51,20.95,7829.0,2097100.0
2017-1-03,20.94,26.1,16.43,26.1,36959.0,2094280.0
2017-1-04,26.11,31.75,23.48,25.4,29046.0,2611000.0
2017-1-05,25.45,27.56,17.75,19.25,4357.0,2544810.0
2017-1-06,19.27,24.02,15.96,16.87,8871.0,1927060.0
2017-1-07,16.9,22.71,15.57,22.71,11774.0,1689520.0
2017-1-08,22.7,24.6,19.47,24.6,10580.0,2270440.0
2017-1-09,24.66,28.01,17.82,24.38,25850.0,2465760.0
2017-1-10,24.36,24.62,20.01,23.41,3815.0,2436500.0
2017-1-11,23.41,23.71,16.4,20.05,3223.0,2340720.0
2017-1-12,19.98,20.14,16.11,18.51,1367.0,1998410.0
2017-1-13,18.49,21.39,17.95,21.26,7048.0,1848600.0
2017-1-14,21.29,21.55,19.32,21.03,3583.0,2128870.0
2017-1-15,21.03,23.04,18.74,20.55,9090.0,2102620.0
2017-1-16,20.54,21.56,19.99,20.87,2439.0,2054460.0
2017-1-17,20.86,24.23,19.7,22.28,13883.0,2085670.0
2017-1-18,22.32,32.9,21.9,24.83,13927.0,2231600.0
2017-1-19,24.87,36.1,24.76,35.96,12986.0,2487340.0
2017-1-20,35.93,43.93,34.12,34.91,25218.0,3592690.0
2017-1-21,34.91,44.25,34.04,41.48,16141.0,3490600.0
2017-1-22,41.5,44.51,34.54,38.21,7681.0,4149920.0
2017-1-23,38.24,41.57,34.11,39.51,17601.0,3824160.0
2017-1-24,39.07,39.07,30.76,37.3,21924.0,3906800.0
2017-1-25,37.26,37.85,34.77,37.68,1691.0,3726460.0
2017-1-26,37.72,54.09,37.41,53.68,35261.0,3772010.0
2017-1-27,53.68,54.74,45.05,45.07,19396.0,5367880.0
2017-1-28,45.07,53.95,45.07,52.99,13500.0,4507070.0
2017-1-29,53.02,57.11,49.09,54.8,54191.0,5301790.0
2017-1-30,54.84,55.02,47.04,49.7,24933.0,5484190.0
2017-1-31,49.73,52.28,43.21,48.42,26874.0,4973180.0
2017-2-01,48.45,62.78,48.45,55.39,35485.0,4845000.0
2017-2-02,55.44,199.49,55.44,98.81,94691.0,5544010.0
2017-2-03,98.78,98.78,65.64,74.26,54642.0,9877920.0
2017-2-04,74.36,109.83,54.08,89.69,175646.0,7435890.0
2017-2-05,89.74,104.26,78.1,78.1,88468.0,8974270.0
2017-2-06,78.18,98.11,78.16,83.07,47269.0,7818310.0
2017-2-07,83.23,95.51,83.23,90.21,44943.0,8323300.0
2017-2-08,90.3,91.1,81.82,90.24,34071.0,9029720.0
2017-2-09,90.38,91.28,68.19,70.8,40774.0,9038240.0
2017-2-10,70.89,80.35,68.77,70.39,50965.0,7088900.0
2017-2-11,70.41,75.48,50.78,51.24,92377.0,7040950.0
2017-2-12,65.23,78.96,51.11,68.34,109947.0,6522880.0
2017-2-13,68.32,83.66,68.32,74.3,52457.0,6832370.0
2017-2-14,74.38,79.22,66.97,66.97,37114.0,8747840.0
2017-2-15,67.08,73.65,66.9,73.55,10215.0,7889750.0
2017-2-16,73.56,76.47,70.31,75.92,22097.0,8651200.0
2017-2-17,75.82,76.2,70.25,70.25,30202.0,8917190.0
2017-2-18,70.45,76.19,68.52,68.54,28040.0,8286150.0
2017-2-19,68.56,70.52,53.71,66.02,41926.0,8063270.0
2017-2-20,66.07,66.09,54.41,57.78,19077.0,7770200.0
2017-2-21,57.74,66.36,56.09,56.4,25582.0,6790980.0
2017-2-22,56.38,61.43,46.93,61.29,48144.0,6630310.0
2017-2-23,61.28,74.86,56.6,66.5,13132.0,7207410.0
2017-2-24,66.84,72.98,59.2,59.86,33501.0,7861580.0
2017-2-25,59.69,80.67,59.59,79.37,37216.0,7020250.0
2017-2-26,79.4,80.62,67.81,79.22,14513.0,9338340.0
2017-2-27,79.12,79.72,70.86,73.98,19243.0,9305530.0
2017-2-28,74.03,76.37,59.18,66.08,59099.0,8706800.0
2017-3-01,65.41,68.18,59.25,63.57,12870.0,7693250.0
2017-3-02,63.68,65.38,58.38,64.74,23083.0,7489800.0
2017-3-03,64.72,65.63,57.14,57.63,10785.0,7611920.0
2017-3-04,57.74,65.01,56.32,61.5,3051.0,6790780.0
2017-3-05,61.46,72.55,55.96,58.54,12198.0,7228330.0
2017-3-06,58.56,76.42,58.42,73.55,13082.0,6886900.0
2017-3-07,73.57,73.7,58.77,65.95,2562.0,8652850.0
2017-3-08,65.93,66.41,57.02,61.96,2000.0,7754270.0
2017-3-09,61.98,68.97,57.45,61.14,6892.0,7289570.0
2017-3-10,61.19,74.7,57.63,65.89,22718.0,7196010.0
2017-3-11,65.58,70.43,58.83,59.97,33670.0,7713310.0
2017-3-12,60.01,67.27,41.56,43.73,47129.0,7057490.0
2017-3-13,41.0,58.93,41.0,58.89,80788.0,4822070.0
2017-3-14,58.9,58.9,46.32,55.04,22914.0,6926900.0
2017-3-15,55.05,60.41,48.59,52.48,25707.0,7566280.0
2017-3-16,52.56,60.9,50.13,54.06,37098.0,7223390.0
2017-3-17,53.71,59.08,45.08,45.11,48325.0,7381890.0
2017-3-18,45.09,56.95,45.09,48.69,50182.0,6196890.0
2017-3-19,48.84,75.75,48.84,67.39,79718.0,6712190.0
2017-3-20,67.42,75.54,57.88,66.73,44417.0,9266130.0
2017-3-21,66.8,77.16,66.8,71.49,15206.0,9181720.0
2017-3-22,71.5,77.31,62.24,63.58,25528.0,9826760.0
2017-3-23,63.63,68.77,63.45,67.39,12208.0,8745850.0
2017-3-24,67.39,67.41,54.19,54.38,17322.0,9261530.0
2017-3-25,54.32,63.03,52.42,62.84,27985.0,7465750.0
