datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 09, 2017",0.000205,0.000209,0.000202,0.000208,0.0,2155.0
"Jan 10, 2017",0.000208,0.00021,0.000171,0.000172,4.0,2180.0
"Jan 11, 2017",0.000172,0.000173,0.000172,0.000173,4.0,1811.0
"Jan 12, 2017",0.000217,0.000223,0.000217,0.000217,0.0,2276.0
"Jan 13, 2017",0.000217,0.000223,0.000211,0.000222,0.0,2282.0
"Jan 14, 2017",0.000209,0.000209,0.000203,0.000205,1.0,2190.0
"Jan 15, 2017",0.000205,0.000222,0.000203,0.000222,0.0,2148.0
"Jan 16, 2017",0.000222,0.000225,0.000221,0.000223,0.0,2330.0
"Jan 17, 2017",0.000215,0.000228,0.000214,0.000227,14.0,2253.0
"Jan 18, 2017",0.000227,0.000229,0.000223,0.000226,13.0,2383.0
"Jan 19, 2017",0.000242,0.000244,0.000223,0.000225,0.0,2539.0
"Jan 20, 2017",0.000225,0.000225,0.000222,0.000224,0.0,2360.0
"Jan 22, 2017",0.000233,0.000234,0.000224,0.000231,0.0,2449.0
"Jan 23, 2017",0.000231,0.00026,0.000229,0.000258,1.0,2427.0
"Jan 24, 2017",0.000255,0.000259,0.000253,0.000255,1.0,2677.0
"Jan 25, 2017",0.000252,0.000253,0.000252,0.000252,1.0,2650.0
"Jan 26, 2017",0.000253,0.000266,0.000236,0.000266,2.0,2653.0
"Jan 27, 2017",0.000266,0.000292,0.000266,0.000292,1.0,2794.0
"Jan 28, 2017",0.000292,0.000293,0.00023,0.000267,8.0,3069.0
"Jan 29, 2017",0.000267,0.000406,0.000267,0.000267,88.0,2806.0
"Jan 30, 2017",0.000267,0.000857,0.000267,0.000847,220.0,2800.0
"Jan 31, 2017",0.000847,0.000894,0.000499,0.000894,688.0,8891.0
"Feb 01, 2017",0.000894,0.000926,0.000588,0.00092,207.0,9388.0
"Feb 02, 2017",0.00092,0.002728,0.000625,0.002674,4873.0,9660.0
"Feb 03, 2017",0.002673,0.003492,0.001476,0.003492,1772.0,28064.0
"Feb 04, 2017",0.003589,0.003607,0.001511,0.001727,1287.0,37687.0
"Feb 05, 2017",0.001614,0.00252,0.001608,0.001799,407.0,16950.0
"Feb 06, 2017",0.0018,0.00375,0.001038,0.001183,3051.0,18904.0
"Feb 07, 2017",0.001206,0.002645,0.001064,0.001125,1485.0,12667.0
"Feb 08, 2017",0.001126,0.001776,0.001065,0.001074,62.0,11824.0
"Feb 09, 2017",0.001075,0.001104,0.000955,0.000992,112.0,11291.0
"Feb 10, 2017",0.000994,0.001172,0.000612,0.001109,183.0,10434.0
"Feb 11, 2017",0.00111,0.001297,0.000846,0.000998,127.0,11651.0
"Feb 12, 2017",0.000998,0.001025,0.000905,0.000909,2.0,10475.0
"Feb 13, 2017",0.000909,0.002293,0.000813,0.002288,154.0,9544.0
"Feb 14, 2017",0.002291,0.002293,0.001226,0.001265,19.0,24055.0
"Feb 15, 2017",0.001267,0.002292,0.000977,0.002289,103.0,13304.0
"Feb 16, 2017",0.002289,0.002541,0.00139,0.002055,101.0,24037.0
"Feb 17, 2017",0.002052,0.002061,0.001816,0.001832,183.0,21549.0
"Feb 18, 2017",0.001837,0.002542,0.001493,0.001645,51.0,19293.0
"Feb 19, 2017",0.001645,0.001649,0.001412,0.001412,1.0,17277.0
"Feb 20, 2017",0.001413,0.0016,0.00059,0.000614,145.0,14837.0
"Feb 21, 2017",0.000614,0.001077,0.000597,0.000602,2.0,6443.0
"Feb 22, 2017",0.000602,0.001729,0.000594,0.00171,2.0,6321.0
"Feb 23, 2017",0.001709,0.001812,0.001709,0.001797,1.0,17949.0
"Feb 24, 2017",0.001806,0.001969,0.001732,0.001772,2.0,18963.0
"Feb 25, 2017",0.001767,0.001774,0.001689,0.001727,3.0,18557.0
"Feb 26, 2017",0.001728,0.00176,0.001707,0.001748,0.0,18142.0
"Feb 27, 2017",0.001746,0.001759,0.000991,0.001475,6.0,18330.0
"Feb 28, 2017",0.001476,0.001492,0.000967,0.000968,0.0,15497.0
"Mar 01, 2017",0.000968,0.001002,0.000967,0.001002,3.0,10160.0
"Mar 02, 2017",0.001004,0.00106,0.000997,0.001051,2.0,10545.0
"Mar 03, 2017",0.001051,0.001074,0.001051,0.001074,0.0,11031.0
"Mar 04, 2017",0.001044,0.001257,0.001009,0.001255,2.0,10967.0
"Mar 05, 2017",0.001254,0.001265,0.000859,0.000862,21.0,13170.0
"Mar 06, 2017",0.000862,0.000868,0.000648,0.000751,4.0,9050.0
"Mar 07, 2017",0.000751,0.00076,0.000711,0.000746,2.0,7888.0
"Mar 08, 2017",0.000746,0.000752,0.000711,0.000723,2.0,7835.0
"Mar 09, 2017",0.000786,0.000788,0.000783,0.000784,1.0,8254.0
"Mar 10, 2017",0.000785,0.000839,0.000777,0.000827,1.0,8242.0
"Mar 11, 2017",0.000446,0.000447,0.000446,0.000447,7.0,4686.0
"Mar 12, 2017",0.000447,0.000466,0.000447,0.000465,8.0,4695.0
"Mar 13, 2017",0.000725,0.000729,0.000481,0.000481,14.0,7611.0
"Mar 14, 2017",0.000481,0.000486,0.00047,0.000471,14.0,5054.0
"Mar 15, 2017",0.000799,0.0008,0.000795,0.0008,0.0,8394.0
"Mar 16, 2017",0.000801,0.001553,0.000576,0.000594,364.0,8409.0
"Mar 17, 2017",0.00059,0.000611,0.000572,0.000572,0.0,6196.0
"Mar 18, 2017",0.000572,0.000573,0.000498,0.000506,4.0,6004.0
"Mar 19, 2017",0.000508,0.000658,0.000508,0.000643,1.0,5333.0
"Mar 20, 2017",0.000643,0.000658,0.000545,0.000548,1.0,6752.0
"Mar 21, 2017",0.000549,0.000576,0.000549,0.000576,1.0,5762.0
"Mar 22, 2017",0.000664,0.000673,0.000629,0.00065,0.0,6974.0
"Mar 23, 2017",0.000651,0.000653,0.000638,0.000648,0.0,6836.0
"Mar 24, 2017",0.000995,0.001083,0.000538,0.000928,35.0,10444.0
"Mar 25, 2017",0.000927,0.00094,0.000583,0.000613,2.0,9735.0
"Mar 26, 2017",0.000614,0.000665,0.000607,0.000638,1.0,6443.0
"Mar 27, 2017",0.000642,0.000681,0.000642,0.000678,0.0,6736.0
"Mar 29, 2017",0.000678,0.000678,0.000638,0.000645,14.0,7118.0
"Mar 30, 2017",0.000646,0.001669,0.000613,0.000647,1931.0,6785.0
"Mar 31, 2017",0.000647,0.00102,0.000647,0.000707,96.0,6791.0
"Apr 01, 2017",0.000707,0.00071,0.000318,0.000324,88.0,7427.0
"Apr 02, 2017",0.000324,0.000561,0.000323,0.000463,1.0,3404.0
"Apr 03, 2017",0.000463,0.000557,0.000453,0.000458,36.0,4864.0
"Apr 04, 2017",0.000458,0.000569,0.000456,0.000567,0.0,4811.0
"Apr 05, 2017",0.000567,0.000568,0.000469,0.000472,2.0,5954.0
