datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.000385,0.000386,0.000249,0.000249,104.0,12698.0
"Jan 02, 2017",0.00025,0.001398,0.000249,0.001022,105.0,8231.0
"Jan 03, 2017",0.001022,0.001031,0.000206,0.000209,68.0,33755.0
"Jan 04, 2017",0.000209,0.000771,0.000159,0.000346,9.0,6903.0
"Jan 05, 2017",0.000346,0.000349,0.000209,0.000232,4.0,11464.0
"Jan 06, 2017",0.000233,0.000241,0.000125,0.000126,6.0,7718.0
"Jan 07, 2017",0.000126,0.000127,0.000115,0.000127,5.0,4194.0
"Jan 08, 2017",0.000127,0.000132,0.000124,0.000127,4.0,4222.0
"Jan 09, 2017",0.000128,0.000128,8.9e-05,9e-05,30.0,4240.0
"Jan 10, 2017",9e-05,9.1e-05,5.4e-05,5.4e-05,3.0,3006.0
"Jan 11, 2017",5.4e-05,6.1e-05,5.2e-05,5.5e-05,1.0,1815.0
"Jan 12, 2017",5.4e-05,5.8e-05,5.3e-05,5.6e-05,2.0,1817.0
"Jan 13, 2017",5.6e-05,5.8e-05,5.5e-05,5.8e-05,2.0,1882.0
"Jan 14, 2017",5.8e-05,5.8e-05,5.7e-05,5.7e-05,2.0,1929.0
"Jan 15, 2017",5.7e-05,5.8e-05,5.7e-05,5.8e-05,3.0,1918.0
"Jan 16, 2017",5.8e-05,5.8e-05,5.7e-05,5.8e-05,3.0,1929.0
"Jan 17, 2017",5.8e-05,6.4e-05,5.8e-05,6.4e-05,1.0,1954.0
"Jan 18, 2017",6.4e-05,6.4e-05,6e-05,6.2e-05,3.0,2137.0
"Jan 19, 2017",6.2e-05,6.3e-05,6.2e-05,6.3e-05,2.0,2089.0
"Jan 20, 2017",6.3e-05,6.3e-05,3.6e-05,3.6e-05,1.0,2121.0
"Jan 21, 2017",3.6e-05,3.7e-05,3.6e-05,3.7e-05,1.0,1208.0
"Jan 22, 2017",3.7e-05,0.000186,3.7e-05,4.6e-05,2.0,1246.0
"Jan 23, 2017",4.6e-05,6.5e-05,4.6e-05,6.5e-05,12.0,1563.0
"Jan 24, 2017",6.4e-05,6.5e-05,6.2e-05,6.2e-05,2.0,2184.0
"Jan 25, 2017",6.2e-05,6.3e-05,6.2e-05,6.3e-05,1.0,2120.0
"Jan 26, 2017",6.3e-05,6.4e-05,6.3e-05,6.4e-05,4.0,2143.0
"Jan 27, 2017",6.4e-05,6.5e-05,6.4e-05,6.4e-05,1.0,2185.0
"Jan 28, 2017",6.4e-05,6.5e-05,6.4e-05,6.5e-05,4.0,2193.0
"Jan 29, 2017",6.5e-05,6.5e-05,6.4e-05,6.4e-05,2.0,2201.0
"Jan 30, 2017",6.4e-05,6.5e-05,6.4e-05,6.4e-05,3.0,2199.0
"Jan 31, 2017",6.4e-05,0.000144,6.4e-05,6.8e-05,39.0,2204.0
"Feb 01, 2017",6.8e-05,0.000148,6.8e-05,6.9e-05,4.0,2327.0
"Feb 02, 2017",6.9e-05,7.1e-05,6.9e-05,7.1e-05,2.0,2372.0
"Feb 03, 2017",7.1e-05,7.2e-05,7.1e-05,7.2e-05,4.0,2427.0
"Feb 04, 2017",7.2e-05,7.3e-05,7.1e-05,7.3e-05,1.0,2480.0
