datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.785364,0.792082,0.449695,0.454242,40.0,785364.0
2017-7-29,0.447655,0.719551,0.431874,0.694766,7.0,447655.0
2017-7-30,0.695576,0.701977,0.447319,0.455659,10.0,695576.0
2017-7-31,0.462309,0.693199,0.447522,0.625077,5.0,462309.0
2017-8-01,0.62338,0.73549,0.586494,0.697531,1.0,623380.0
2017-8-02,0.705402,0.859574,0.668858,0.747018,24.0,705402.0
2017-8-03,0.743987,0.797152,0.612514,0.619337,1.0,743987.0
2017-8-04,0.621497,0.759055,0.605388,0.735442,10.0,621497.0
2017-8-05,0.733853,0.847281,0.71601,0.71765,4.0,733853.0
2017-8-06,0.716612,0.760168,0.516163,0.518446,1.0,716612.0
2017-8-07,0.518643,0.548364,0.498085,0.509049,3.0,518643.0
2017-8-08,0.513874,0.674674,0.479154,0.65698,5.0,513874.0
2017-8-09,0.653373,0.700174,0.48169,0.663165,28.0,653373.0
2017-8-10,0.661059,0.675368,0.380011,0.383851,43.0,661059.0
2017-8-11,0.38384,0.736225,0.380069,0.672452,52.0,383840.0
2017-8-12,0.676819,0.710683,0.635601,0.67329,15.0,676819.0
2017-8-13,0.679181,0.689846,0.501259,0.50461,16.0,679181.0
2017-8-14,0.503926,0.631886,0.390884,0.402433,2.0,503926.0
2017-8-15,0.405162,0.67979,0.370144,0.670815,1.0,405162.0
2017-8-16,0.667776,0.797182,0.448098,0.464807,17.0,667776.0
2017-8-17,0.462892,0.681073,0.453603,0.614074,4.0,462892.0
2017-8-18,0.611482,0.63677,0.468905,0.478528,4.0,611482.0
2017-8-19,0.48117,0.54664,0.433255,0.535114,9.0,481170.0
2017-8-20,0.532888,0.647163,0.519757,0.639809,27.0,532888.0
2017-8-21,0.626172,0.668108,0.440398,0.444108,7.0,626172.0
2017-8-22,0.444422,0.594175,0.40749,0.455389,0.0,444422.0
2017-8-23,0.454946,0.501805,0.449667,0.487259,12.0,454946.0
2017-8-24,0.484163,0.721299,0.462308,0.710791,21.0,484163.0
2017-8-25,0.710031,0.710031,0.476275,0.491498,3.0,710031.0
2017-8-26,0.492397,0.709435,0.484423,0.696654,13.0,492397.0
