datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jun 26, 2017",0.005932,0.005954,0.004292,0.004921,170.0,0.0
"Jun 27, 2017",0.004921,0.005478,0.004699,0.00514,3.0,28192.0
"Jun 28, 2017",0.005173,0.008985,0.004522,0.008942,744.0,29658.0
"Jun 29, 2017",0.008934,0.020494,0.006392,0.015567,2212.0,51249.0
"Jun 30, 2017",0.015598,0.015653,0.008293,0.012239,419.0,89540.0
"Jul 01, 2017",0.012234,0.012302,0.007856,0.008353,642.0,70257.0
"Jul 02, 2017",0.008352,0.008554,0.006212,0.007771,732.0,47990.0
"Jul 03, 2017",0.007742,0.008586,0.006444,0.007017,38.0,44512.0
"Jul 04, 2017",0.007001,0.013021,0.004694,0.007749,755.0,40268.0
"Jul 05, 2017",0.007744,0.009769,0.006343,0.008887,345.0,44582.0
"Jul 06, 2017",0.008891,0.009117,0.008322,0.008569,34.0,51209.0
"Jul 07, 2017",0.008575,0.008888,0.007483,0.008823,26.0,49412.0
"Jul 08, 2017",0.008831,0.011169,0.008071,0.010239,171.0,50909.0
"Jul 09, 2017",0.010249,0.025246,0.010221,0.015477,2392.0,59111.0
"Jul 10, 2017",0.015507,0.024582,0.015442,0.023359,1410.0,89496.0
"Jul 11, 2017",0.02331,0.023571,0.014323,0.016734,472.0,134576.0
"Jul 12, 2017",0.016651,0.019147,0.009837,0.012852,501.0,96170.0
"Jul 13, 2017",0.012862,0.015368,0.009847,0.012252,681.0,74315.0
"Jul 14, 2017",0.012243,0.0198,0.010751,0.016579,775.0,70766.0
"Jul 15, 2017",0.016551,0.016597,0.012335,0.014077,217.0,95717.0
"Jul 16, 2017",0.014035,0.0211,0.012463,0.016844,662.0,81203.0
"Jul 17, 2017",0.016826,0.024456,0.016826,0.021839,153.0,97388.0
"Jul 18, 2017",0.021895,0.028222,0.015766,0.027244,267.0,126772.0
"Jul 19, 2017",0.027172,0.027892,0.015761,0.026149,475.0,157384.0
"Jul 20, 2017",0.02607,0.027355,0.016877,0.025243,519.0,151090.0
"Jul 21, 2017",0.025431,0.033011,0.019136,0.030626,1721.0,147454.0
"Jul 22, 2017",0.03062,0.040778,0.026481,0.03156,861.0,177604.0
"Jul 23, 2017",0.028871,0.03194,0.026003,0.026987,341.0,167493.0
"Jul 24, 2017",0.026955,0.039996,0.021737,0.024798,358.0,156428.0
"Jul 25, 2017",0.024795,0.040004,0.02193,0.022315,354.0,143996.0
"Jul 26, 2017",0.022326,0.026441,0.018119,0.022155,169.0,129748.0
"Jul 27, 2017",0.022218,0.028998,0.019417,0.026477,1105.0,129203.0
"Jul 28, 2017",0.026557,0.030284,0.025266,0.027026,375.0,154485.0
"Jul 29, 2017",0.026924,0.030705,0.016439,0.025822,2013.0,156679.0
"Jul 30, 2017",0.025818,0.027343,0.01001,0.022559,701.0,150324.0
"Jul 31, 2017",0.022582,0.030907,0.015683,0.023946,691.0,131535.0
"Aug 01, 2017",0.023957,0.029731,0.01822,0.027298,191.0,139599.0
"Aug 02, 2017",0.027293,0.027446,0.01916,0.020918,144.0,159080.0
"Aug 03, 2017",0.020956,0.021061,0.011139,0.017172,129.0,122184.0
"Aug 04, 2017",0.017168,0.028697,0.016361,0.024018,285.0,100134.0
"Aug 05, 2017",0.024007,0.033186,0.023989,0.032413,1158.0,140043.0
"Aug 06, 2017",0.032421,0.032895,0.02021,0.029434,381.0,189204.0
"Aug 07, 2017",0.029368,0.031993,0.022124,0.024972,72.0,171387.0
"Aug 08, 2017",0.024997,0.02565,0.02132,0.022887,14.0,145880.0
"Aug 09, 2017",0.022871,0.026594,0.016846,0.017048,186.0,133475.0
"Aug 10, 2017",0.017049,0.028223,0.017049,0.022479,229.0,99498.0
"Aug 11, 2017",0.022478,0.035619,0.020454,0.034157,1356.0,131432.0
"Aug 12, 2017",0.034131,0.03666,0.024664,0.031551,470.0,199614.0
"Aug 13, 2017",0.031522,0.033695,0.01771,0.022611,375.0,184433.0
"Aug 14, 2017",0.022625,0.029309,0.012755,0.013033,95.0,132426.0
"Aug 15, 2017",0.013154,0.032608,0.010129,0.012448,953.0,77016.0
"Aug 16, 2017",0.012461,0.024752,0.012461,0.017572,189.0,72983.0
"Aug 17, 2017",0.017555,0.034631,0.017444,0.020907,444.0,102870.0
"Aug 18, 2017",0.020843,0.029668,0.018879,0.023644,56.0,122152.0
"Aug 19, 2017",0.023624,0.032723,0.021486,0.02578,1793.0,138483.0
"Aug 20, 2017",0.025659,0.025659,0.021091,0.022683,435.0,150460.0
"Aug 21, 2017",0.022597,0.030674,0.020876,0.030337,1234.0,132552.0
"Aug 22, 2017",0.030407,0.031189,0.02539,0.031077,113.0,178520.0
