datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.004362,0.004432,0.003843,0.003882,2.0,10800.0
2017-7-29,0.003825,0.003985,0.003044,0.003351,4.0,9471.0
2017-7-30,0.003355,0.00405,0.00322,0.003493,0.0,8306.0
2017-7-31,0.003544,0.003657,0.00324,0.003298,3.0,8775.0
2017-8-01,0.003289,0.004326,0.003167,0.004102,30.0,8142.0
2017-8-02,0.004149,0.005046,0.003367,0.0037,11.0,10271.0
2017-8-03,0.003685,0.004075,0.003402,0.003981,258.0,9123.0
2017-8-04,0.003995,0.004536,0.001162,0.002172,1.0,9891.0
2017-8-05,0.002167,0.00414,0.002127,0.003768,66.0,5365.0
2017-8-06,0.003762,0.004066,0.002694,0.003802,13.0,9314.0
2017-8-07,0.003803,0.004189,0.003687,0.004125,16.0,9416.0
2017-8-08,0.004164,0.004164,0.002628,0.003789,3.0,10309.0
2017-8-09,0.003769,0.003819,0.003266,0.003358,26.0,9330.0
2017-8-10,0.003347,0.00342,0.002811,0.00284,45.0,8287.0
2017-8-11,0.00284,0.003737,0.002812,0.002884,18.0,7030.0
2017-8-12,0.002903,0.003048,0.002514,0.002843,24.0,7187.0
2017-8-13,0.002868,0.002913,0.002222,0.002271,4.0,7100.0
2017-8-14,0.002268,0.00242,0.001922,0.002041,10.0,5614.0
2017-8-15,0.002054,0.002778,0.001564,0.002568,43.0,5086.0
2017-8-16,0.002557,0.003218,0.002407,0.003052,16.0,6330.0
2017-8-17,0.00304,0.003247,0.00276,0.002839,1.0,7526.0
2017-8-18,0.002827,0.002913,0.002462,0.002512,14.0,7000.0
2017-8-19,0.002526,0.002625,0.001625,0.00225,1.0,6254.0
2017-8-20,0.00224,0.002582,0.002085,0.002552,1.0,6578.0
2017-8-21,0.002498,0.002665,0.001473,0.002347,36.0,7459.0
2017-8-22,0.002348,0.002611,0.001837,0.001925,2.0,7013.0
2017-8-23,0.001923,0.002702,0.001901,0.002543,26.0,5742.0
2017-8-24,0.002527,0.003038,0.002341,0.002823,3.0,7633.0
2017-8-25,0.00282,0.002866,0.002675,0.00276,12.0,8520.0
2017-8-26,0.002766,0.003502,0.002588,0.003483,447.0,8357.0
