datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.000636,0.000662,0.000633,0.000659,0.0,0.0
2017-1-02,0.000659,0.000681,0.000544,0.000552,1.0,0.0
2017-1-03,0.000552,0.000835,0.000552,0.000835,1.0,0.0
2017-1-04,0.000835,0.000886,0.000835,0.000877,1.0,0.0
2017-1-05,0.001028,0.00106,0.000555,0.000616,1.0,0.0
2017-1-06,0.000618,0.000639,0.000593,0.000595,1.0,0.0
2017-1-07,0.000551,0.000554,0.000542,0.000554,0.0,0.0
2017-1-08,0.000554,0.000575,0.000541,0.000555,1.0,0.0
2017-1-09,0.000556,0.000669,0.000537,0.000668,0.0,0.0
2017-1-10,0.000668,0.000677,0.000417,0.000417,20.0,0.0
2017-1-11,0.000418,0.000524,0.000404,0.000413,6.0,0.0
2017-1-12,0.000412,0.000471,0.000401,0.000459,0.0,0.0
2017-1-13,0.000459,0.000498,0.000445,0.000494,1.0,0.0
2017-1-14,0.000494,0.000499,0.000401,0.000458,1.0,0.0
2017-1-15,0.000458,0.000494,0.000458,0.000485,2.0,0.0
2017-1-16,0.000485,0.000567,0.000484,0.000565,0.0,0.0
2017-1-17,0.000565,0.000618,0.000467,0.000472,1.0,0.0
2017-1-18,0.000472,0.000614,0.000463,0.0006,0.0,0.0
2017-1-19,0.000603,0.000695,0.000497,0.000522,7.0,0.0
2017-1-20,0.000521,0.00072,0.000514,0.000716,2.0,0.0
2017-1-21,0.000716,0.000739,0.000716,0.000737,2.0,0.0
2017-1-22,0.000737,0.004429,0.00058,0.003223,877.0,0.0
2017-1-23,0.003227,0.00323,0.001584,0.003115,26.0,0.0
2017-1-24,0.003078,0.003124,0.001356,0.001356,18.0,0.0
2017-1-25,0.001357,0.001806,0.001355,0.001406,3.0,0.0
2017-1-26,0.001408,0.001551,0.001407,0.001551,2.0,0.0
2017-1-27,0.001551,0.001837,0.001462,0.00183,3.0,0.0
2017-1-28,0.00183,0.001839,0.00183,0.001834,0.0,0.0
2017-1-29,0.001834,0.001838,0.001834,0.001836,0.0,0.0
2017-1-30,0.001833,0.001881,0.001833,0.001878,19.0,0.0
2017-1-31,0.001878,0.002362,0.001878,0.002358,3.0,0.0
2017-2-01,0.002358,0.002394,0.00166,0.001691,0.0,0.0
2017-2-02,0.001691,0.001834,0.001681,0.001831,0.0,0.0
2017-2-03,0.001831,0.002503,0.001826,0.002503,2.0,0.0
2017-2-04,0.002506,0.002513,0.002467,0.002494,2.0,0.0
2017-2-05,0.001881,0.002502,0.00186,0.002394,3.0,0.0
2017-2-06,0.002396,0.002502,0.002396,0.002502,0.0,0.0
2017-2-07,0.002507,0.002554,0.001922,0.001932,0.0,0.0
2017-2-08,0.001933,0.002045,0.001888,0.00203,0.0,0.0
2017-2-09,0.002034,0.00208,0.001615,0.001651,18.0,0.0
2017-2-10,0.001653,0.001658,0.001572,0.001638,18.0,0.0
2017-2-11,0.001951,0.002072,0.001948,0.002069,1.0,0.0
2017-2-12,0.002067,0.002067,0.001685,0.001689,5.0,0.0
2017-2-13,0.001688,0.002046,0.001649,0.001654,5.0,0.0
2017-2-14,0.001656,0.001689,0.001647,0.001678,0.0,0.0
2017-2-15,0.00168,0.001685,0.001675,0.001682,1.0,0.0
2017-2-16,0.001683,0.001716,0.001683,0.001716,0.0,0.0
2017-2-17,0.001714,0.002475,0.001713,0.002459,3.0,0.0
2017-2-18,0.002466,0.00247,0.001674,0.001677,14.0,0.0
2017-2-19,0.001677,0.002393,0.00167,0.002389,0.0,0.0
2017-2-20,0.002391,0.002412,0.001634,0.001674,0.0,0.0
2017-2-21,0.001673,0.00171,0.001669,0.00171,0.0,0.0
2017-2-22,0.001794,0.001801,0.001788,0.001788,0.0,0.0
2017-2-23,0.001788,0.001849,0.001787,0.001849,0.0,0.0
2017-2-24,0.001908,0.001957,0.001845,0.001913,83.0,0.0
2017-2-25,0.001908,0.002319,0.001905,0.002265,1.0,0.0
2017-2-26,0.002266,0.002306,0.002238,0.002303,1.0,0.0
2017-2-27,0.001947,0.001949,0.001943,0.001947,3.0,0.0
2017-2-28,0.001948,0.001969,0.001934,0.001953,3.0,0.0
2017-3-01,0.002341,0.002408,0.002341,0.002408,0.0,0.0
2017-3-02,0.002413,0.002486,0.002395,0.002464,0.0,0.0
2017-3-03,0.002464,0.002516,0.002464,0.002499,1.0,0.0
2017-3-04,0.002504,0.002508,0.002412,0.002439,1.0,0.0
2017-3-06,0.0025,0.002501,0.002488,0.002495,0.0,0.0
2017-3-07,0.002495,0.002902,0.002427,0.002851,2.0,0.0
2017-3-08,0.00285,0.002871,0.002714,0.002821,2.0,0.0
2017-3-09,0.001735,0.001772,0.001713,0.001759,1.0,0.0
2017-3-10,0.00176,0.002274,0.001659,0.00172,2.0,0.0
2017-3-11,0.001719,0.001839,0.001642,0.001658,173.0,0.0
2017-3-12,0.001659,0.00189,0.001657,0.001734,1.0,0.0
2017-3-13,0.001735,0.002033,0.000874,0.002033,18.0,0.0
2017-3-14,0.002033,0.002054,0.002014,0.002046,2.0,0.0
2017-3-15,0.002046,0.002057,0.002046,0.002056,1.0,0.0
2017-3-17,0.001133,0.001185,0.001111,0.001111,1.0,0.0
2017-3-18,0.001111,0.001125,0.001091,0.001092,1.0,0.0
2017-3-21,0.001109,0.001145,0.001101,0.001143,0.0,0.0
2017-3-22,0.001143,0.001485,0.001087,0.001479,0.0,0.0
2017-3-23,0.001481,0.001492,0.001451,0.001483,0.0,0.0
2017-3-25,0.000992,0.001064,0.000985,0.00106,1.0,0.0
2017-3-26,0.001062,0.001062,0.001049,0.001055,1.0,0.0
2017-3-27,0.001058,0.001078,0.001058,0.001077,4.0,0.0
2017-3-28,0.001076,0.001097,0.001059,0.001064,4.0,0.0
2017-3-29,0.001069,0.001108,0.001069,0.001092,2.0,0.0
2017-3-30,0.001094,0.001102,0.001094,0.001095,2.0,0.0
2017-3-31,0.001634,0.001655,0.001634,0.001651,0.0,0.0
2017-4-01,0.00165,0.001681,0.001634,0.001664,0.0,0.0
2017-4-02,0.001664,0.001665,0.001656,0.001662,0.0,0.0
2017-4-06,0.001797,0.001818,0.001333,0.001336,0.0,0.0
2017-4-07,0.001332,0.002017,0.001315,0.002001,5.0,0.0
2017-4-08,0.001994,0.002014,0.001976,0.002005,5.0,0.0
2017-4-13,0.001958,0.001959,0.001908,0.001929,1.0,0.0
2017-4-14,0.001931,0.001965,0.001914,0.001929,0.0,0.0
2017-4-15,0.002198,0.002198,0.002169,0.002169,5.0,0.0
2017-4-16,0.002169,0.002187,0.002169,0.002186,3.0,0.0
2017-4-18,0.001086,0.001096,0.001086,0.001091,73.0,0.0
