datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.184082,0.19878,0.177197,0.18482,704.0,892674.0
"Jan 02, 2017",0.184921,0.231518,0.175289,0.221289,4794.0,896851.0
"Jan 03, 2017",0.221281,0.255405,0.1954,0.255405,6758.0,1073130.0
"Jan 04, 2017",0.255343,0.281636,0.22546,0.240842,5490.0,1238390.0
"Jan 05, 2017",0.241093,0.257407,0.18623,0.218287,3236.0,1169320.0
"Jan 06, 2017",0.218883,0.22558,0.176084,0.189259,1165.0,1061660.0
"Jan 07, 2017",0.189515,0.19926,0.171292,0.18427,1596.0,919211.0
"Jan 08, 2017",0.184278,0.199238,0.172943,0.176112,940.0,893946.0
"Jan 09, 2017",0.176359,0.187413,0.165969,0.173886,3970.0,855550.0
"Jan 10, 2017",0.186145,0.190349,0.175826,0.182025,1981.0,903136.0
"Jan 11, 2017",0.182043,0.187013,0.149967,0.167492,2131.0,883545.0
"Jan 12, 2017",0.167291,0.187616,0.150507,0.182752,2641.0,811996.0
"Jan 13, 2017",0.18252,0.187376,0.157536,0.169152,4914.0,885980.0
"Jan 14, 2017",0.169389,0.179076,0.162744,0.167427,1189.0,822297.0
"Jan 15, 2017",0.167368,0.184287,0.16509,0.171621,621.0,812486.0
"Jan 16, 2017",0.171615,0.17484,0.161692,0.167969,2905.0,833269.0
"Jan 17, 2017",0.168011,0.190544,0.161811,0.184652,1870.0,815813.0
"Jan 18, 2017",0.184771,0.220601,0.172137,0.220601,508.0,897244.0
"Jan 19, 2017",0.22164,0.262027,0.177836,0.178595,414.0,1076280.0
"Jan 20, 2017",0.178586,0.189833,0.167881,0.179226,539.0,867213.0
"Jan 21, 2017",0.179223,0.203359,0.160503,0.192513,496.0,870462.0
"Jan 22, 2017",0.192508,0.208615,0.163444,0.164172,1089.0,935099.0
"Jan 23, 2017",0.164361,0.184135,0.163804,0.178148,574.0,798447.0
"Jan 24, 2017",0.177463,0.209264,0.168921,0.168921,1081.0,862136.0
"Jan 25, 2017",0.168946,0.177992,0.168229,0.177254,739.0,820776.0
"Jan 26, 2017",0.177303,0.212552,0.174848,0.176959,1421.0,861484.0
"Jan 27, 2017",0.176196,0.187778,0.17322,0.178633,2044.0,856105.0
"Jan 28, 2017",0.178629,0.182692,0.173122,0.179875,1436.0,867929.0
"Jan 29, 2017",0.179876,0.185703,0.173065,0.174515,1498.0,874919.0
"Jan 30, 2017",0.174511,0.182938,0.174511,0.17957,2013.0,848844.0
"Jan 31, 2017",0.179448,0.19083,0.175503,0.184715,1418.0,872883.0
"Feb 01, 2017",0.184704,0.190619,0.177908,0.187461,4346.0,898522.0
"Feb 02, 2017",0.186945,0.199257,0.179751,0.197346,1619.0,909449.0
"Feb 03, 2017",0.197331,0.201821,0.185302,0.194134,1727.0,960040.0
"Feb 04, 2017",0.19445,0.253641,0.184474,0.194155,1381.0,946044.0
"Feb 05, 2017",0.19427,0.216226,0.188669,0.200383,1554.0,945309.0
"Feb 06, 2017",0.201455,0.227795,0.1845,0.216046,1601.0,980475.0
"Feb 07, 2017",0.219,0.219,0.186925,0.205521,2958.0,1065890.0
"Feb 08, 2017",0.20578,0.208258,0.166171,0.175359,4333.0,1001550.0
"Feb 09, 2017",0.175619,0.179715,0.151413,0.156694,869.0,854755.0
"Feb 10, 2017",0.15689,0.167257,0.154848,0.160227,1350.0,763673.0
"Feb 11, 2017",0.159095,0.172677,0.155693,0.167648,2054.0,774411.0
"Feb 12, 2017",0.167693,0.192579,0.164882,0.192542,2891.0,816367.0
"Feb 13, 2017",0.192487,0.192953,0.174357,0.175391,1293.0,937076.0
"Feb 14, 2017",0.175533,0.180876,0.139718,0.168358,1789.0,854539.0
"Feb 15, 2017",0.168646,0.172582,0.155862,0.172292,1592.0,821012.0
"Feb 16, 2017",0.172321,0.18753,0.161637,0.187203,1173.0,839041.0
"Feb 17, 2017",0.186963,0.19052,0.155193,0.171625,1395.0,910337.0
"Feb 18, 2017",0.172117,0.194253,0.16353,0.185493,1273.0,838160.0
"Feb 19, 2017",0.185553,0.202219,0.183851,0.192773,3193.0,903751.0
"Feb 20, 2017",0.192735,0.199894,0.183425,0.199894,1389.0,938828.0
"Feb 21, 2017",0.199696,0.209377,0.186447,0.208692,1511.0,972837.0
"Feb 22, 2017",0.205503,0.207606,0.186422,0.186422,1486.0,1001130.0
"Feb 23, 2017",0.18636,0.197975,0.1714,0.178771,1746.0,908100.0
"Feb 24, 2017",0.178469,0.178469,0.150996,0.159174,4604.0,869732.0
"Feb 25, 2017",0.158375,0.16443,0.139445,0.151407,759.0,771881.0
"Feb 26, 2017",0.154085,0.168048,0.146324,0.153715,1708.0,751060.0
"Feb 27, 2017",0.15351,0.158213,0.134204,0.138836,1763.0,748314.0
"Feb 28, 2017",0.139033,0.619953,0.136334,0.463721,8882.0,677831.0
"Mar 01, 2017",0.463726,0.4787,0.21997,0.268589,13620.0,2263230.0
"Mar 02, 2017",0.268598,0.395584,0.264949,0.364063,3379.0,1311040.0
"Mar 03, 2017",0.364051,1.79,0.204635,1.36,4892.0,1777330.0
"Mar 04, 2017",1.37,1.4,0.343075,0.48584,4945.0,6712520.0
"Mar 05, 2017",0.485125,0.537207,0.236123,0.256183,3216.0,2369320.0
"Mar 06, 2017",0.252604,0.280402,0.212787,0.27489,3506.0,1233790.0
"Mar 07, 2017",0.275029,0.447997,0.265213,0.3841,4210.0,1343580.0
"Mar 08, 2017",0.384025,0.390273,0.239412,0.310346,10204.0,1876310.0
"Mar 09, 2017",0.310394,0.341227,0.252882,0.31743,17772.0,1517040.0
"Mar 10, 2017",0.317467,0.353831,0.289973,0.333456,10290.0,1552210.0
"Mar 11, 2017",0.333495,0.44338,0.322389,0.44338,22556.0,1630840.0
"Mar 12, 2017",0.443386,0.872472,0.404118,0.744268,88866.0,2168370.0
"Mar 13, 2017",0.773909,1.51,0.722469,0.842556,51672.0,3785150.0
"Mar 14, 2017",0.842441,1.41,0.707029,0.736564,60163.0,4124260.0
"Mar 15, 2017",0.740105,0.752754,0.475751,0.490547,45167.0,3675880.0
"Mar 16, 2017",0.490424,0.69408,0.470257,0.546976,29047.0,2435920.0
"Mar 17, 2017",0.547116,0.635571,0.444877,0.444877,19673.0,2717730.0
"Mar 18, 2017",0.444861,0.502523,0.368472,0.377477,7923.0,2210460.0
"Mar 19, 2017",0.377587,0.73205,0.377587,0.459751,29536.0,1876350.0
"Mar 20, 2017",0.464005,0.594441,0.456759,0.530242,18835.0,2305890.0
"Mar 21, 2017",0.545735,0.586382,0.473132,0.498538,13538.0,2712440.0
"Mar 22, 2017",0.482737,0.569425,0.480136,0.491042,8240.0,2399490.0
"Mar 23, 2017",0.491538,0.537296,0.483171,0.526864,22799.0,2443340.0
"Mar 24, 2017",0.524935,0.551033,0.434266,0.435356,17523.0,2609430.0
"Mar 25, 2017",0.43554,0.484594,0.420798,0.484594,8671.0,2165440.0
"Mar 26, 2017",0.484188,0.522084,0.409881,0.411609,10667.0,2407560.0
"Mar 27, 2017",0.414607,0.472714,0.413222,0.463458,11117.0,2061640.0
"Mar 28, 2017",0.462905,0.477953,0.41885,0.427156,8236.0,2301930.0
"Mar 29, 2017",0.4263,0.442686,0.386174,0.397743,6499.0,2119980.0
"Mar 30, 2017",0.397461,0.443687,0.388395,0.408876,10135.0,1976610.0
"Mar 31, 2017",0.408979,0.444105,0.401887,0.419636,3997.0,2034160.0
"Apr 01, 2017",0.41977,0.475973,0.404465,0.462485,5068.0,2088170.0
"Apr 02, 2017",0.444677,0.457969,0.335606,0.358879,20493.0,2212250.0
"Apr 03, 2017",0.358896,0.407779,0.293611,0.305903,13428.0,1785760.0
"Apr 04, 2017",0.291401,0.365585,0.26634,0.299215,12947.0,1450020.0
"Apr 05, 2017",0.255554,0.298544,0.252044,0.256848,11577.0,1271700.0
"Apr 06, 2017",0.257605,0.287134,0.250109,0.260375,7531.0,1282030.0
"Apr 07, 2017",0.260136,0.346652,0.245358,0.315951,11233.0,1294650.0
"Apr 08, 2017",0.314998,0.387055,0.303656,0.32866,7300.0,1567760.0
