datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",887.08,1038.05,527.76,693.3,370283.0,37940400.0
"Jul 25, 2017",693.52,808.57,409.39,456.07,322584.0,29661900.0
"Jul 26, 2017",464.85,659.33,301.85,337.84,629071.0,19881400.0
"Jul 27, 2017",338.09,485.32,283.65,352.13,272824.0,14460000.0
"Jul 28, 2017",356.97,1620.55,356.97,657.57,362834.0,15267600.0
"Jul 29, 2017",659.98,754.92,498.24,562.04,400161.0,28227100.0
"Jul 30, 2017",561.57,590.7,285.17,323.45,294571.0,24018500.0
"Jul 31, 2017",365.36,501.57,165.76,379.57,805250.0,15626600.0
"Aug 01, 2017",379.73,410.89,175.71,249.07,887287.0,16241000.0
"Aug 02, 2017",249.13,263.51,161.95,250.3,254269.0,10655100.0
"Aug 03, 2017",250.63,397.98,231.42,299.53,359084.0,10719600.0
"Aug 04, 2017",302.77,1672.83,159.81,221.44,1646800.0,12949700.0
"Aug 05, 2017",220.0,288.4,126.16,187.32,607724.0,9409310.0
"Aug 06, 2017",190.24,226.09,120.26,122.68,261648.0,8136380.0
"Aug 07, 2017",122.03,270.8,62.82,147.23,537266.0,5219390.0
"Aug 08, 2017",161.67,162.83,54.65,96.9,255403.0,6914710.0
"Aug 09, 2017",96.11,104.57,47.8,65.57,181810.0,4110710.0
"Aug 10, 2017",67.29,156.73,41.61,47.97,159990.0,2877970.0
"Aug 11, 2017",48.56,59.48,33.65,47.96,52162.0,2077120.0
"Aug 12, 2017",47.85,51.49,38.3,50.97,37678.0,2046640.0
"Aug 13, 2017",50.92,98.06,42.23,74.8,89870.0,2177900.0
"Aug 14, 2017",74.78,96.98,63.46,81.5,25683.0,3198550.0
"Aug 15, 2017",81.71,123.94,44.46,61.42,158512.0,3494910.0
"Aug 16, 2017",61.49,68.16,57.64,66.6,20500.0,2629840.0
"Aug 17, 2017",66.54,107.94,54.71,80.69,31799.0,2845800.0
"Aug 18, 2017",80.44,80.73,57.03,69.92,20840.0,3440440.0
"Aug 19, 2017",69.86,78.6,56.82,72.9,28599.0,2987820.0
"Aug 20, 2017",72.56,72.67,70.87,70.87,213.0,3103500.0
"Aug 21, 2017",70.45,70.45,53.39,57.8,8664.0,3013190.0
"Aug 22, 2017",57.95,61.02,47.76,58.88,3372.0,2478670.0
