datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,4e-06,6e-06,3e-06,6e-06,1.0,3380.0
2017-1-02,6e-06,6e-06,3e-06,3e-06,3.0,5506.0
2017-1-03,3e-06,7e-06,2e-06,7e-06,0.0,2338.0
2017-1-04,7e-06,8e-06,2e-06,3e-06,0.0,6595.0
2017-1-05,3e-06,3e-06,2e-06,2e-06,0.0,2422.0
2017-1-06,2e-06,1e-05,2e-06,9e-06,0.0,2132.0
2017-1-07,9e-06,9e-06,2e-06,9e-06,1.0,8364.0
2017-1-08,9e-06,1.6e-05,8e-06,1.1e-05,0.0,8471.0
2017-1-09,1.1e-05,1.8e-05,6e-06,6e-06,0.0,9864.0
2017-1-10,6e-06,9e-06,6e-06,9e-06,0.0,5680.0
2017-1-11,4e-06,4e-06,3e-06,3e-06,0.0,3475.0
2017-1-12,3e-06,1e-05,3e-06,9e-06,8.0,3219.0
2017-1-13,9e-06,9.3e-05,6e-06,8.8e-05,2.0,8701.0
2017-1-14,8.9e-05,9.1e-05,1.6e-05,1.6e-05,4.0,82940.0
2017-1-15,1.6e-05,1.6e-05,4e-06,4e-06,0.0,15261.0
2017-1-16,4e-06,8e-06,2e-06,8e-06,4.0,3575.0
2017-1-17,8e-06,9e-06,6e-06,8e-06,2.0,7534.0
2017-1-18,8e-06,9e-06,5e-06,5e-06,0.0,7491.0
2017-1-19,5e-06,1.8e-05,2e-06,1.8e-05,1.0,4693.0
2017-1-20,1.8e-05,1.8e-05,4e-06,4e-06,4.0,16338.0
2017-1-21,4e-06,1.1e-05,4e-06,1.1e-05,0.0,3627.0
2017-1-22,1.1e-05,1.4e-05,9e-06,9e-06,1.0,10238.0
2017-1-23,9e-06,1.8e-05,9e-06,1.8e-05,1.0,8621.0
2017-1-24,1.8e-05,1.8e-05,2e-06,9e-06,0.0,17170.0
2017-1-25,9e-06,1.8e-05,8e-06,1.7e-05,5.0,8323.0
2017-1-26,1.7e-05,1.7e-05,4e-06,7e-06,1.0,15595.0
2017-1-27,7e-06,1.8e-05,7e-06,1.8e-05,3.0,6627.0
2017-1-28,1.8e-05,1.8e-05,1.6e-05,1.6e-05,3.0,16830.0
2017-1-29,1.6e-05,1.7e-05,8e-06,8e-06,12.0,14736.0
2017-1-30,8e-06,9e-06,5e-06,5e-06,0.0,7695.0
2017-1-31,5e-06,6e-06,5e-06,6e-06,17.0,4574.0
2017-2-01,6e-06,2e-05,5e-06,1.6e-05,1.0,5475.0
2017-2-02,1.6e-05,2e-05,6e-06,6e-06,8.0,15022.0
2017-2-03,6e-06,4.1e-05,6e-06,3.1e-05,393.0,5617.0
2017-2-04,2e-05,3e-05,1e-05,1.9e-05,42.0,19044.0
2017-2-05,1.9e-05,3.1e-05,1.8e-05,3.1e-05,8.0,17484.0
2017-2-06,3.1e-05,3.1e-05,2.1e-05,2.1e-05,1.0,28725.0
2017-2-07,2.1e-05,9.2e-05,1.9e-05,2.1e-05,695.0,19359.0
2017-2-08,2.1e-05,8.3e-05,2.1e-05,4.3e-05,205.0,19627.0
2017-2-09,4.3e-05,5.3e-05,2.9e-05,2.9e-05,30.0,39647.0
2017-2-10,5.9e-05,7e-05,2.9e-05,3e-05,308.0,55075.0
2017-2-11,3e-05,3e-05,2.9e-05,3e-05,13.0,27648.0
2017-2-12,5e-05,6.8e-05,1.8e-05,5e-05,55.0,46701.0
2017-2-13,5e-05,6e-05,3.9e-05,3.9e-05,2.0,46176.0
2017-2-14,3.9e-05,4e-05,3.8e-05,4e-05,1.0,36288.0
2017-2-15,4e-05,5e-05,4e-05,5e-05,1.0,37464.0
2017-2-16,5e-05,5.1e-05,3.1e-05,4.1e-05,3.0,46975.0
2017-2-17,4.1e-05,4.2e-05,5e-06,5e-06,0.0,38269.0
2017-2-18,5e-06,4.2e-05,5e-06,3.2e-05,49.0,5104.0
2017-2-19,3.2e-05,4.2e-05,3.2e-05,4.1e-05,10.0,29493.0
2017-2-20,4.1e-05,4.2e-05,1.4e-05,3.2e-05,2.0,38683.0
2017-2-21,3.2e-05,4.5e-05,3.2e-05,4.5e-05,10.0,30208.0
2017-2-22,4.5e-05,0.0001,3.3e-05,3.4e-05,386.0,41595.0
2017-2-23,3.4e-05,5.2e-05,1.8e-05,1.8e-05,36.0,31255.0
2017-2-24,1.8e-05,3.4e-05,8e-06,3.4e-05,9.0,16498.0
2017-2-25,3.4e-05,4.5e-05,2.4e-05,2.5e-05,6.0,31484.0
2017-2-26,2.5e-05,3.3e-05,1.6e-05,3.3e-05,2.0,23008.0
2017-2-27,3.3e-05,3.5e-05,3.3e-05,3.5e-05,1.0,30890.0
2017-2-28,3.5e-05,3.6e-05,3.5e-05,3.5e-05,1.0,33005.0
2017-3-01,3.5e-05,3.6e-05,3.5e-05,3.6e-05,1.0,33005.0
2017-3-02,3.7e-05,3.8e-05,3.7e-05,3.8e-05,7.0,34093.0
2017-3-03,3.8e-05,0.000115,3.8e-05,0.000115,366.0,34992.0
2017-3-04,8.9e-05,0.000102,3.7e-05,7.5e-05,143.0,83213.0
2017-3-05,7.5e-05,7.8e-05,4e-05,4.5e-05,14.0,70215.0
2017-3-06,4.5e-05,7.7e-05,3.8e-05,6.4e-05,5.0,42242.0
2017-3-07,6.4e-05,6.4e-05,6e-05,6.2e-05,0.0,59337.0
2017-3-08,4.8e-05,7.3e-05,4.6e-05,4.6e-05,3.0,44590.0
2017-3-09,4.6e-05,8.4e-05,3.5e-05,4.8e-05,103.0,42889.0
2017-3-10,4.8e-05,7.5e-05,3.6e-05,4.5e-05,35.0,44324.0
2017-3-11,4.5e-05,4.6e-05,3.5e-05,3.5e-05,5.0,41648.0
2017-3-12,3.5e-05,3.5e-05,3.5e-05,3.5e-05,4.0,32889.0
2017-3-13,6.1e-05,6.2e-05,3.7e-05,3.7e-05,3.0,57103.0
2017-3-14,3.7e-05,9.9e-05,3.4e-05,5e-05,167.0,34458.0
2017-3-15,5e-05,0.000112,4.9e-05,5e-05,196.0,46183.0
2017-3-16,5e-05,0.000111,4.9e-05,5.9e-05,149.0,46357.0
2017-3-17,5.9e-05,5.9e-05,5.6e-05,5.6e-05,0.0,55373.0
2017-3-18,6e-06,7e-06,6e-06,7e-06,0.0,5975.0
2017-3-19,7e-06,7e-06,6e-06,7e-06,0.0,6131.0
2017-3-20,7e-06,5.3e-05,7e-06,5.3e-05,14.0,6586.0
2017-3-21,5.3e-05,5.5e-05,4.3e-05,4.5e-05,1.0,49158.0
2017-3-22,4.5e-05,5.3e-05,4.1e-05,5.2e-05,0.0,41790.0
2017-3-23,5.2e-05,5.3e-05,4e-05,4.1e-05,3.0,48909.0
2017-3-24,4.1e-05,4.1e-05,1.2e-05,1.4e-05,14.0,37811.0
2017-3-25,1.4e-05,4.8e-05,1.4e-05,4.8e-05,0.0,13044.0
2017-3-26,8e-06,5.9e-05,8e-06,5.7e-05,18.0,7582.0
2017-3-27,5.7e-05,0.000103,5.1e-05,5.2e-05,141.0,53556.0
2017-3-28,5.2e-05,8.5e-05,4.1e-05,4.2e-05,34.0,48744.0
2017-3-29,4.2e-05,4.2e-05,4.1e-05,4.1e-05,10.0,39053.0
2017-3-30,3.1e-05,5.1e-05,3.1e-05,5.1e-05,44.0,28717.0
2017-3-31,5.1e-05,5.2e-05,3.1e-05,3.2e-05,0.0,47850.0
2017-4-01,3.2e-05,5.5e-05,3.2e-05,5.4e-05,8.0,29979.0
2017-4-02,5.4e-05,5.4e-05,4.9e-05,4.9e-05,0.0,50353.0
2017-4-03,4.9e-05,5.7e-05,3.4e-05,5.7e-05,2.0,45593.0
2017-4-04,5.7e-05,5.8e-05,4.1e-05,4.1e-05,0.0,53066.0
2017-4-05,4.1e-05,4.1e-05,9e-06,1.7e-05,0.0,38213.0
2017-4-06,1.7e-05,1.8e-05,1.1e-05,1.8e-05,14.0,15768.0
2017-4-07,1.8e-05,2.2e-05,1.5e-05,1.7e-05,12.0,16342.0
2017-4-08,1.7e-05,3.6e-05,1.7e-05,3.5e-05,0.0,15756.0
2017-4-09,3.5e-05,3.5e-05,8e-06,8e-06,0.0,32892.0
2017-4-10,8e-06,1.6e-05,8e-06,1.6e-05,0.0,7451.0
2017-4-11,1.6e-05,1.6e-05,1e-05,1.6e-05,0.0,14776.0
2017-4-12,1.6e-05,3.7e-05,1.5e-05,3.4e-05,3.0,14468.0
2017-4-13,3.4e-05,3.4e-05,2.4e-05,3.4e-05,1.0,31599.0
2017-4-14,3.4e-05,4.7e-05,3.4e-05,4.7e-05,2.0,31400.0
2017-4-15,4.7e-05,4.8e-05,4.7e-05,4.7e-05,0.0,43543.0
2017-4-16,4.7e-05,4.7e-05,3.5e-05,3.5e-05,2.0,43729.0
2017-4-17,3.5e-05,4.8e-05,3.5e-05,4.8e-05,4.0,33081.0
2017-4-18,4.8e-05,4.9e-05,4.8e-05,4.9e-05,1.0,44526.0
2017-4-19,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,10812.0
2017-4-20,1.2e-05,5e-05,1.2e-05,4.9e-05,97.0,10904.0
2017-4-21,4.9e-05,4.9e-05,1.6e-05,1.6e-05,13.0,45422.0
2017-4-22,1.6e-05,2e-05,8e-06,1.8e-05,3.0,14823.0
2017-4-23,1.8e-05,4.1e-05,1.8e-05,3.6e-05,8.0,16574.0
2017-4-24,3.6e-05,5e-05,3.6e-05,5e-05,1.0,33767.0
2017-4-25,5e-05,5.1e-05,5e-05,5.1e-05,5.0,46624.0
2017-4-26,5.1e-05,5.1e-05,1.5e-05,3.8e-05,17.0,47196.0
2017-4-27,3.8e-05,5.3e-05,3.8e-05,5.3e-05,1.0,35581.0
2017-4-28,5.3e-05,5.3e-05,5.2e-05,5.2e-05,1.0,49144.0
2017-4-29,4e-05,4e-05,3.9e-05,4e-05,6.0,36945.0
2017-4-30,4e-05,4e-05,1.9e-05,1.9e-05,1.0,36972.0
2017-5-01,1.9e-05,4.3e-05,1.9e-05,4.3e-05,2.0,23794.0
2017-5-02,4.3e-05,5.9e-05,4.2e-05,5.8e-05,1.0,53389.0
2017-5-03,5.8e-05,5.9e-05,1.5e-05,1.6e-05,0.0,72749.0
2017-5-04,1.6e-05,4.8e-05,1.6e-05,4.6e-05,7.0,19752.0
2017-5-05,4.6e-05,4.9e-05,1.8e-05,1.8e-05,2.0,57748.0
2017-5-06,1.8e-05,2.2e-05,1.7e-05,2.2e-05,4.0,23041.0
2017-5-07,2.2e-05,4.8e-05,2.2e-05,4.8e-05,1.0,27737.0
2017-5-08,4.8e-05,4.9e-05,2.3e-05,3.7e-05,38.0,59966.0
2017-5-09,3.7e-05,3.9e-05,2.2e-05,2.7e-05,1.0,46227.0
2017-5-10,2.7e-05,7.1e-05,2.5e-05,7e-05,7.0,33348.0
2017-5-11,7e-05,7.4e-05,5.4e-05,5.4e-05,0.0,88170.0
2017-5-12,5.4e-05,5.4e-05,3.5e-05,3.5e-05,7.0,68033.0
2017-5-13,3.5e-05,3.6e-05,3.3e-05,3.6e-05,0.0,43993.0
2017-5-14,3.6e-05,7.1e-05,2.4e-05,5.4e-05,10.0,44646.0
2017-5-15,5.4e-05,6.9e-05,5.1e-05,5.5e-05,2.0,67113.0
2017-5-16,5.5e-05,5.5e-05,2.1e-05,2.1e-05,1.0,68473.0
2017-5-17,2.6e-05,3.5e-05,2.6e-05,3.2e-05,14.0,32394.0
2017-5-18,3.2e-05,3.9e-05,3.2e-05,3.9e-05,4.0,40492.0
2017-5-19,3.8e-05,5.9e-05,3.5e-05,5.9e-05,42.0,48115.0
2017-5-20,5.9e-05,6.9e-05,3.5e-05,5.1e-05,9.0,73450.0
2017-5-21,5.1e-05,6e-05,5e-05,5.1e-05,9.0,63436.0
2017-5-22,5.1e-05,6.4e-05,4.7e-05,6.1e-05,18.0,63760.0
2017-5-23,6e-05,6.6e-05,5.9e-05,5.9e-05,13.0,75673.0
2017-5-24,5.9e-05,9.8e-05,5.9e-05,9.6e-05,67.0,73366.0
2017-5-25,9.6e-05,0.000221,7.4e-05,0.000159,157.0,119583.0
2017-5-26,0.000158,0.000204,0.000128,0.000195,181.0,197563.0
2017-5-27,0.000196,0.000214,6e-05,0.000102,614.0,244905.0
2017-5-28,0.000102,0.000111,6.6e-05,8.7e-05,44.0,128070.0
2017-5-29,8.7e-05,0.000113,6.9e-05,7e-05,26.0,108784.0
2017-5-30,7e-05,7e-05,5.4e-05,5.8e-05,55.0,87403.0
2017-5-31,5.8e-05,8.4e-05,3.6e-05,8.4e-05,1.0,72472.0
2017-6-01,8.4e-05,8.6e-05,5.8e-05,6.3e-05,10.0,104966.0
2017-6-02,6.3e-05,7.3e-05,5.3e-05,7.3e-05,1.0,78791.0
2017-6-03,7.3e-05,0.000102,7.3e-05,0.000102,26.0,91423.0
2017-6-04,0.000101,0.000101,9.9e-05,0.000101,22.0,126892.0
2017-6-05,0.000103,0.000103,5e-05,6.1e-05,4.0,129498.0
2017-6-06,6.1e-05,8e-05,4.8e-05,8e-05,54.0,75934.0
2017-6-07,8e-05,0.000142,7.9e-05,8.8e-05,131.0,99710.0
2017-6-08,8.8e-05,0.000135,8.3e-05,0.000135,176.0,110388.0
2017-6-09,0.000135,0.000161,5.1e-05,0.000131,107.0,169151.0
2017-6-10,0.000131,0.000132,7.4e-05,9.5e-05,311.0,164379.0
2017-6-11,9.5e-05,0.000172,9.5e-05,9.8e-05,10.0,119452.0
2017-6-12,9.8e-05,0.000101,5.9e-05,0.0001,51.0,123182.0
2017-6-13,0.0001,0.000165,9.9e-05,0.00016,21.0,125442.0
2017-6-14,0.00016,0.000185,0.000102,0.000146,22.0,200733.0
2017-6-15,0.000146,0.000149,0.000106,0.000121,17.0,183059.0
2017-6-16,0.000121,0.000121,0.000109,0.000119,81.0,151064.0
2017-6-17,0.000119,0.000131,0.000119,0.000127,0.0,148901.0
2017-6-18,0.000127,0.000128,9.1e-05,9.6e-05,1.0,158812.0
2017-6-19,9.6e-05,0.000125,9.4e-05,0.000125,10.0,120801.0
2017-6-20,0.000125,0.000125,7.5e-05,7.5e-05,9.0,156335.0
2017-6-21,7.5e-05,0.000125,7.5e-05,9.9e-05,8.0,93814.0
2017-6-22,9.9e-05,0.00015,9.8e-05,0.000146,3.0,123416.0
2017-6-23,0.000146,0.00018,0.000141,0.000152,695.0,182445.0
2017-6-24,0.000152,0.000157,0.00014,0.000143,10.0,189910.0
2017-6-25,0.000142,0.000153,0.00014,0.000151,2.0,178383.0
2017-6-26,0.000151,0.000153,0.000118,0.000123,2.0,188438.0
2017-6-27,0.000123,0.000124,9.4e-05,9.8e-05,1.0,154031.0
2017-6-28,9.8e-05,0.000159,9.6e-05,0.000141,26.0,123058.0
2017-6-29,0.000141,0.000158,0.000134,0.000154,67.0,176819.0
2017-6-30,0.000154,0.000156,3.2e-05,3.4e-05,128.0,192455.0
2017-7-01,3.4e-05,0.000129,3.2e-05,5.5e-05,3.0,42780.0
2017-7-02,5.5e-05,0.000131,5.5e-05,0.000129,46.0,69135.0
2017-7-03,0.000128,0.000136,0.000119,0.000123,26.0,160676.0
2017-7-04,0.000123,0.000156,0.000122,0.000155,32.0,153715.0
2017-7-05,0.000156,0.00016,0.000135,0.000149,1.0,195058.0
2017-7-06,0.000149,0.000182,0.000132,0.000181,20.0,186175.0
2017-7-07,0.000181,0.000204,0.000139,0.000148,86.0,227192.0
2017-7-08,0.000148,0.000175,0.000134,0.000155,20.0,185319.0
2017-7-09,0.000154,0.000193,0.000109,0.000165,1.0,193336.0
2017-7-10,0.000165,0.000201,0.000148,0.000152,10.0,206994.0
2017-7-11,0.000152,0.000152,0.000102,0.000145,18.0,189796.0
2017-7-12,0.000144,0.000176,3.6e-05,9.7e-05,123.0,180494.0
2017-7-13,9.7e-05,0.000107,4.2e-05,9.2e-05,82.0,121813.0
2017-7-14,9.2e-05,0.000112,3.8e-05,9.6e-05,127.0,115065.0
2017-7-15,9.6e-05,0.000131,3.9e-05,7.3e-05,88.0,120614.0
2017-7-16,7.3e-05,0.000136,6.7e-05,0.000135,7.0,91042.0
2017-7-17,0.000135,0.000139,6.1e-05,8.1e-05,57.0,168465.0
2017-7-18,8.1e-05,0.00016,5.2e-05,0.000155,3.0,101986.0
2017-7-19,0.000155,0.000617,0.000111,0.000324,6770.0,193861.0
2017-7-20,0.000325,0.000342,0.000244,0.000286,688.0,407253.0
2017-7-21,0.000287,0.000383,0.000195,0.000331,237.0,358775.0
2017-7-22,0.000331,0.000349,0.000124,0.000144,77.0,414640.0
2017-7-23,0.000144,0.00024,0.000135,0.000232,46.0,180026.0
2017-7-24,0.000232,0.000251,0.000167,0.000167,54.0,290300.0
2017-7-25,0.000167,0.000256,0.000167,0.00023,43.0,208973.0
