datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",1.71,1.93,1.7,1.92,33097.0,4470070.0
"Jan 02, 2017",1.84,1.85,1.7,1.82,34825.0,4820250.0
"Jan 03, 2017",1.82,2.1,1.81,1.93,25342.0,4770500.0
"Jan 04, 2017",1.93,2.41,1.91,2.14,49974.0,5068490.0
"Jan 05, 2017",2.14,2.19,1.8,1.98,33216.0,5606770.0
"Jan 06, 2017",1.99,2.04,1.74,1.84,53848.0,5212610.0
"Jan 07, 2017",1.85,2.1,1.74,2.0,28951.0,4839200.0
"Jan 08, 2017",1.91,2.26,1.87,2.09,21993.0,5012830.0
"Jan 09, 2017",2.11,2.44,2.03,2.28,36068.0,5519910.0
"Jan 10, 2017",2.28,2.28,2.05,2.06,19081.0,5982460.0
"Jan 11, 2017",2.07,2.18,1.73,1.9,13775.0,5437810.0
"Jan 12, 2017",1.89,1.98,1.77,1.93,18125.0,4963760.0
"Jan 13, 2017",1.93,2.06,1.89,2.0,16578.0,5063910.0
"Jan 14, 2017",2.0,2.03,1.89,2.0,24381.0,5243840.0
"Jan 15, 2017",2.0,2.01,1.91,2.0,8342.0,5235870.0
"Jan 16, 2017",2.0,2.09,1.96,2.0,19268.0,5248440.0
"Jan 17, 2017",2.0,2.04,1.86,1.97,39972.0,5231190.0
"Jan 18, 2017",1.97,2.07,1.92,1.99,18861.0,5155630.0
"Jan 19, 2017",2.0,2.03,1.92,1.95,30178.0,5237340.0
"Jan 20, 2017",1.95,1.98,1.87,1.93,20616.0,5107680.0
"Jan 21, 2017",1.94,2.09,1.93,2.01,9054.0,5072350.0
"Jan 22, 2017",2.01,2.07,1.92,1.96,12563.0,5266340.0
"Jan 23, 2017",1.96,1.97,1.93,1.95,19505.0,5146710.0
"Jan 24, 2017",1.95,1.97,1.86,1.87,16169.0,5100260.0
"Jan 25, 2017",1.86,1.9,1.83,1.9,9897.0,4882590.0
"Jan 26, 2017",1.9,2.05,1.87,2.02,109315.0,4981860.0
"Jan 27, 2017",2.03,2.32,2.03,2.23,62361.0,5309050.0
"Jan 28, 2017",2.23,3.19,2.15,2.84,145472.0,5845420.0
"Jan 29, 2017",2.84,4.42,2.75,3.15,616282.0,7429920.0
"Jan 30, 2017",3.13,3.27,2.95,2.99,74035.0,8194010.0
"Jan 31, 2017",2.95,3.28,2.73,2.92,85276.0,7741470.0
"Feb 01, 2017",2.92,2.96,2.64,2.85,44982.0,7639790.0
"Feb 02, 2017",2.85,2.9,2.62,2.64,41491.0,7466180.0
"Feb 03, 2017",2.67,2.72,2.47,2.56,114033.0,6999050.0
"Feb 04, 2017",2.56,3.52,2.56,3.36,274047.0,6703940.0
"Feb 05, 2017",3.37,3.41,2.94,2.94,262245.0,8825980.0
"Feb 06, 2017",2.94,3.55,2.93,3.23,203886.0,7698300.0
"Feb 07, 2017",3.21,4.02,3.19,3.59,528846.0,8407430.0
"Feb 08, 2017",3.59,3.7,3.24,3.26,186191.0,9413910.0
"Feb 09, 2017",3.26,3.32,2.91,3.14,41097.0,8542590.0
"Feb 10, 2017",3.15,3.18,2.99,3.08,12248.0,8261040.0
"Feb 11, 2017",3.08,3.21,3.07,3.16,125860.0,8068470.0
"Feb 12, 2017",3.16,3.33,3.09,3.28,651906.0,8272090.0
"Feb 13, 2017",3.28,3.49,3.22,3.48,251103.0,8594150.0
"Feb 14, 2017",3.48,3.95,3.46,3.92,282846.0,9124900.0
"Feb 15, 2017",3.91,3.99,3.67,3.75,71401.0,10245600.0
"Feb 16, 2017",3.75,4.03,3.62,3.98,163383.0,9829490.0
"Feb 17, 2017",4.01,4.01,3.67,3.69,212189.0,10498400.0
"Feb 18, 2017",3.69,3.8,3.33,3.46,153116.0,9676900.0
"Feb 19, 2017",3.46,3.59,3.37,3.59,158929.0,9059430.0
"Feb 20, 2017",3.59,3.84,3.59,3.8,308428.0,9418720.0
"Feb 21, 2017",3.79,3.82,3.52,3.56,279657.0,9940570.0
"Feb 22, 2017",3.56,3.57,3.14,3.19,47424.0,9327080.0
"Feb 23, 2017",3.18,4.01,3.18,3.96,222926.0,8339680.0
"Feb 24, 2017",3.95,3.95,3.13,3.22,101566.0,10336400.0
"Feb 25, 2017",3.22,3.39,3.2,3.36,13088.0,8430150.0
"Feb 26, 2017",3.36,3.42,3.22,3.23,11237.0,8811480.0
"Feb 27, 2017",3.23,3.43,3.14,3.26,25167.0,8452920.0
"Feb 28, 2017",3.26,3.51,3.15,3.31,88941.0,8541780.0
"Mar 01, 2017",3.31,3.32,3.18,3.19,16784.0,8666120.0
"Mar 02, 2017",3.19,3.62,3.07,3.36,85450.0,8351370.0
"Mar 03, 2017",3.36,3.39,2.95,3.02,51881.0,8807780.0
"Mar 04, 2017",3.06,3.12,2.85,2.94,33695.0,8024010.0
"Mar 05, 2017",2.94,3.15,2.88,2.9,19684.0,7697550.0
"Mar 06, 2017",2.91,3.15,2.8,2.91,10713.0,7611190.0
"Mar 07, 2017",2.91,3.04,2.83,2.84,12302.0,7628020.0
"Mar 08, 2017",2.84,3.05,2.83,2.86,40205.0,7429860.0
"Mar 09, 2017",2.85,3.07,2.82,2.92,29959.0,7471920.0
"Mar 10, 2017",2.92,3.08,2.69,2.87,42318.0,7660350.0
"Mar 11, 2017",2.84,3.06,2.82,2.88,27328.0,7446390.0
"Mar 12, 2017",2.88,3.19,2.84,3.15,26667.0,7553460.0
"Mar 13, 2017",3.15,3.84,3.07,3.6,83997.0,8246560.0
"Mar 14, 2017",3.69,3.78,3.48,3.52,32416.0,9656040.0
"Mar 15, 2017",3.52,3.59,3.27,3.51,33539.0,9231790.0
"Mar 16, 2017",3.51,3.6,3.19,3.5,36169.0,9186870.0
"Mar 17, 2017",3.5,3.52,3.02,3.08,49509.0,9171120.0
"Mar 18, 2017",3.08,3.11,2.31,2.57,98953.0,8068040.0
"Mar 19, 2017",2.58,3.0,2.44,2.89,36014.0,6745990.0
"Mar 20, 2017",2.89,2.93,2.73,2.8,44878.0,7572700.0
"Mar 21, 2017",2.8,3.09,2.79,3.02,43858.0,7346630.0
"Mar 22, 2017",3.03,3.33,2.95,3.17,163780.0,7936210.0
"Mar 23, 2017",3.16,3.27,2.81,2.94,220288.0,8269680.0
"Mar 24, 2017",2.94,3.29,2.74,2.77,149729.0,7695130.0
"Mar 25, 2017",2.74,3.01,2.65,2.95,62180.0,7172080.0
"Mar 26, 2017",2.95,3.57,2.9,3.43,116115.0,7721390.0
"Mar 27, 2017",3.44,3.74,2.8,3.64,256554.0,9001700.0
"Mar 28, 2017",3.66,3.66,3.13,3.4,123764.0,9586900.0
"Mar 29, 2017",3.4,3.65,3.29,3.62,68698.0,8909040.0
"Mar 30, 2017",3.62,3.73,3.26,3.37,94219.0,9489130.0
"Mar 31, 2017",3.37,3.81,3.2,3.54,172531.0,8828470.0
"Apr 01, 2017",3.52,3.63,3.29,3.54,51799.0,9217240.0
"Apr 02, 2017",3.46,4.26,3.41,4.18,199004.0,9050840.0
"Apr 03, 2017",4.15,5.56,3.95,4.0,777517.0,10858200.0
