datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-6-24,2.5e-05,5.2e-05,2.5e-05,5.1e-05,14695.0,0.0
2017-6-25,2.6e-05,5.3e-05,2.5e-05,5e-05,30746.0,0.0
2017-6-26,5e-05,5e-05,2.3e-05,2.4e-05,31079.0,0.0
2017-6-27,2.4e-05,2.5e-05,2.3e-05,2.5e-05,19354.0,0.0
2017-6-28,2.5e-05,2.6e-05,2.5e-05,2.6e-05,2419.0,0.0
2017-6-29,2.6e-05,2.6e-05,2.5e-05,2.5e-05,563.0,0.0
2017-6-30,2.5e-05,2.5e-05,2.4e-05,2.5e-05,278.0,0.0
2017-7-01,2.5e-05,2.5e-05,2.4e-05,2.4e-05,1795.0,0.0
2017-7-02,2.4e-05,2.5e-05,2.4e-05,2.5e-05,3344.0,0.0
2017-7-03,2.5e-05,2.6e-05,2.5e-05,2.5e-05,714.0,0.0
2017-7-04,2.5e-05,2.6e-05,2.5e-05,2.6e-05,137.0,0.0
2017-7-05,2.6e-05,2.6e-05,2.5e-05,2.6e-05,283.0,0.0
2017-7-06,2.6e-05,2.6e-05,2.6e-05,2.6e-05,648.0,0.0
2017-7-07,2.6e-05,2.6e-05,2.5e-05,2.5e-05,261.0,0.0
2017-7-08,2.5e-05,2.5e-05,2.5e-05,2.5e-05,491.0,0.0
2017-7-09,2.5e-05,2.6e-05,2.5e-05,2.5e-05,9.0,0.0
2017-7-10,2.5e-05,2.5e-05,2.3e-05,2.3e-05,30.0,0.0
2017-7-11,2.3e-05,2.4e-05,2.1e-05,2.2e-05,2750.0,0.0
2017-7-12,2.2e-05,2.2e-05,9e-06,1.2e-05,185.0,0.0
2017-7-13,1.2e-05,1.8e-05,9e-06,1.7e-05,587.0,0.0
2017-7-14,1.7e-05,1.8e-05,1.2e-05,1.3e-05,249.0,0.0
2017-7-15,1.3e-05,1.6e-05,8e-06,1.2e-05,512.0,0.0
2017-7-16,1.2e-05,1.3e-05,5e-06,9e-06,3377.0,0.0
2017-7-17,9e-06,1e-05,7e-06,8e-06,255.0,0.0
2017-7-18,8e-06,1e-05,7e-06,8e-06,351.0,0.0
2017-7-19,8e-06,9e-06,7e-06,8e-06,87.0,0.0
2017-7-20,8e-06,8e-06,5e-06,5e-06,494.0,0.0
2017-7-21,5e-06,7e-06,3e-06,4e-06,436.0,0.0
2017-7-22,4e-06,2.7e-05,4e-06,1.4e-05,496.0,0.0
2017-7-23,1.4e-05,1.4e-05,4e-06,5e-06,109.0,0.0
2017-7-24,4e-06,5e-06,4e-06,5e-06,218.0,0.0
2017-7-25,5e-06,5e-06,3e-06,4e-06,269.0,0.0
2017-7-26,4e-06,2.4e-05,3e-06,2e-05,563.0,0.0
2017-7-27,2e-05,2e-05,3e-06,5e-06,269.0,0.0
2017-7-28,5e-06,2.6e-05,5e-06,2.3e-05,540.0,0.0
2017-7-29,2.3e-05,2.3e-05,4e-06,5e-06,363.0,0.0
2017-7-30,5e-06,1e-05,3e-06,8e-06,114.0,0.0
2017-7-31,7e-06,1e-05,2e-06,2e-06,187.0,0.0
2017-8-01,2e-06,5e-06,2e-06,5e-06,53.0,0.0
2017-8-02,5e-06,1.9e-05,3e-06,3e-06,31.0,0.0
2017-8-03,3e-06,4e-06,2e-06,2e-06,628.0,0.0
2017-8-04,2e-06,2e-06,9.1e-07,2e-06,10.0,0.0
2017-8-05,2e-06,2e-06,1e-06,1e-06,37.0,0.0
2017-8-06,1e-06,2e-06,1e-06,1e-06,9.0,0.0
2017-8-07,1e-06,2e-06,1e-06,2e-06,53.0,0.0
2017-8-08,2e-06,9e-06,2e-06,8e-06,740.0,0.0
2017-8-09,8e-06,2.7e-05,8e-06,2.5e-05,183.0,0.0
2017-8-10,2.5e-05,2.5e-05,7e-06,7e-06,23.0,0.0
2017-8-11,7e-06,3.4e-05,2e-06,3.3e-05,41.0,0.0
2017-8-12,3.3e-05,3.4e-05,3e-06,3e-06,215.0,0.0
2017-8-13,3e-06,1.7e-05,3e-06,6e-06,797.0,0.0
2017-8-14,6e-06,2.2e-05,1e-06,1.5e-05,207.0,0.0
2017-8-15,1.5e-05,1.7e-05,5e-06,1.4e-05,41.0,0.0
2017-8-16,1.4e-05,4.2e-05,1.1e-05,2e-05,33.0,0.0
2017-8-17,9e-06,1.2e-05,6e-06,7e-06,112.0,0.0
2017-8-18,1.1e-05,1.1e-05,3e-06,3e-06,19.0,0.0
2017-8-19,3e-06,4e-05,1e-06,1.3e-05,12.0,0.0
2017-8-20,1.3e-05,1.3e-05,1e-06,1e-06,5.0,0.0
2017-8-21,1e-06,5e-06,1e-06,5e-06,4.0,0.0
2017-8-22,5e-06,6e-06,1e-06,1e-06,31.0,0.0
2017-8-23,1e-06,4e-05,1e-06,4e-05,18.0,0.0
2017-8-24,4e-05,4.2e-05,3.6e-05,3.8e-05,321.0,0.0
2017-8-25,3.7e-05,3.8e-05,2e-06,3.3e-05,40.0,0.0
2017-8-26,3.3e-05,4e-05,3e-06,3e-06,2150.0,0.0
