datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"May 11, 2017",0.358152,0.364146,0.310125,0.310125,276.0,447581.0
"May 12, 2017",0.310433,0.311077,0.096482,0.169939,471.0,387947.0
"May 13, 2017",0.169588,0.205292,0.087608,0.19316,1244.0,211933.0
"May 14, 2017",0.193778,0.197615,0.132897,0.160364,977.0,242163.0
"May 15, 2017",0.160458,0.160704,0.084852,0.155779,417.0,200524.0
"May 16, 2017",0.155548,0.155658,0.068729,0.127956,356.0,194388.0
"May 17, 2017",0.109905,0.226273,0.074038,0.215761,651.0,137348.0
"May 18, 2017",0.215645,0.233189,0.17465,0.177219,222.0,269490.0
"May 19, 2017",0.177321,0.180229,0.086597,0.098697,1471.0,221597.0
"May 20, 2017",0.1177,0.121313,0.095883,0.10244,230.0,147089.0
"May 21, 2017",0.102404,0.103606,0.070984,0.071252,268.0,127974.0
"May 22, 2017",0.071492,0.127902,0.068673,0.068673,928.0,89343.0
"May 23, 2017",0.068573,0.130675,0.046766,0.065516,800.0,85696.0
"May 24, 2017",0.065595,0.100712,0.050374,0.051231,316.0,81974.0
"May 25, 2017",0.051135,0.105264,0.034964,0.055779,1063.0,63903.0
"May 26, 2017",0.05537,0.098674,0.045822,0.046979,62.0,69196.0
"May 27, 2017",0.047135,0.080259,0.039718,0.052741,67.0,58904.0
"May 28, 2017",0.053056,0.209561,0.053056,0.147384,494.0,66303.0
"May 29, 2017",0.147085,0.149279,0.067772,0.068348,185.0,183811.0
"May 30, 2017",0.068427,0.144043,0.066789,0.138552,877.0,85513.0
"May 31, 2017",0.139095,0.153067,0.088735,0.152363,10877.0,173826.0
"Jun 01, 2017",0.152498,0.162979,0.152498,0.157347,622.0,190576.0
"Jun 02, 2017",0.125219,0.125219,0.111116,0.115629,269.0,156486.0
"Jun 03, 2017",0.115578,0.187437,0.113524,0.127072,276.0,144437.0
"Jun 04, 2017",0.126729,0.175114,0.123802,0.17466,1854.0,158373.0
"Jun 05, 2017",0.174691,0.177196,0.098698,0.123452,877.0,218310.0
"Jun 06, 2017",0.123826,0.438293,0.123826,0.163988,2487.0,154745.0
"Jun 07, 2017",0.164029,0.5489,0.162996,0.401717,1635.0,204986.0
"Jun 08, 2017",0.403736,0.498358,0.250686,0.44889,390.0,504547.0
"Jun 09, 2017",0.448181,0.453015,0.258927,0.264367,109.0,560090.0
"Jun 10, 2017",0.264765,0.553061,0.229822,0.290017,2491.0,330876.0
"Jun 11, 2017",0.28985,0.547352,0.288433,0.387251,1036.0,362224.0
"Jun 12, 2017",0.386737,0.522569,0.354755,0.46811,633.0,483303.0
"Jun 13, 2017",0.466544,0.473826,0.298115,0.397003,2620.0,583038.0
"Jun 14, 2017",0.39677,0.39759,0.276358,0.282979,341.0,495842.0
"Jun 15, 2017",0.282966,0.331923,0.2317,0.330594,1025.0,353621.0
"Jun 16, 2017",0.33035,0.33035,0.252361,0.258743,3598.0,412837.0
"Jun 17, 2017",0.266287,0.33748,0.266287,0.268386,4934.0,332778.0
"Jun 18, 2017",0.268386,0.373801,0.268386,0.278652,544.0,335401.0
"Jun 19, 2017",0.278652,0.449391,0.278652,0.388814,2793.0,348230.0
"Jun 20, 2017",0.388814,0.674461,0.388814,0.449766,4074.0,485899.0
"Jun 21, 2017",0.449766,0.667692,0.405926,0.652179,593.0,562070.0
"Jun 22, 2017",0.652179,0.674461,0.442921,0.674286,502.0,815025.0
"Jun 23, 2017",0.674286,0.731729,0.52603,0.669086,329.0,842652.0
"Jun 24, 2017",0.669009,0.674578,0.472925,0.486392,2375.0,836058.0
"Jun 25, 2017",0.485277,0.664556,0.462484,0.476063,497.0,606448.0
"Jun 26, 2017",0.475815,0.58698,0.451381,0.565749,731.0,594624.0
"Jun 27, 2017",0.565749,0.573332,0.433257,0.481051,6757.0,707014.0
"Jun 28, 2017",0.484186,0.608349,0.468659,0.538856,4028.0,605085.0
"Jun 29, 2017",0.538356,0.773567,0.534983,0.541048,3170.0,672781.0
"Jun 30, 2017",0.542125,1.01,0.542125,0.905003,4891.0,677491.0
"Jul 01, 2017",0.904656,0.98401,0.526047,0.888873,2079.0,1130540.0
"Jul 02, 2017",0.888765,0.896084,0.603168,0.782088,3479.0,1110690.0
"Jul 03, 2017",0.779208,0.950208,0.674082,0.902088,4479.0,973772.0
"Jul 04, 2017",0.900038,1.03,0.87208,1.03,1521.0,1124770.0
"Jul 05, 2017",1.03,1.15,0.934663,0.950991,5487.0,1290980.0
"Jul 06, 2017",0.951463,1.16,0.796367,0.986187,2345.0,1189040.0
"Jul 07, 2017",0.986912,1.13,0.843963,1.05,4806.0,1233340.0
"Jul 08, 2017",1.05,1.06,0.945083,1.06,1980.0,1312950.0
"Jul 09, 2017",1.07,1.07,0.90288,0.929304,2977.0,1331720.0
"Jul 10, 2017",0.931113,1.09,0.862382,0.965176,5919.0,1163610.0
"Jul 11, 2017",0.963121,1.05,0.702213,1.04,9489.0,1203610.0
"Jul 12, 2017",1.03,1.95,0.736901,1.72,35235.0,1290540.0
"Jul 13, 2017",1.72,2.32,1.68,2.31,54879.0,2147150.0
"Jul 14, 2017",2.3,4.63,1.44,1.98,106471.0,2878750.0
"Jul 15, 2017",1.97,2.43,1.33,1.86,23690.0,2465060.0
"Jul 16, 2017",1.83,2.07,1.06,1.06,10389.0,2284800.0
"Jul 17, 2017",1.06,2.13,1.06,1.73,10493.0,1318630.0
"Jul 18, 2017",1.73,2.49,1.31,1.94,19195.0,2162660.0
"Jul 19, 2017",1.94,2.24,1.49,1.58,13520.0,2427930.0
"Jul 20, 2017",1.58,2.07,1.29,1.79,18580.0,1974720.0
"Jul 21, 2017",1.8,2.06,1.2,1.38,8662.0,2250230.0
"Jul 22, 2017",1.38,2.05,1.37,1.84,15823.0,1719630.0
"Jul 23, 2017",1.84,1.97,1.62,1.97,13150.0,2298410.0
"Jul 24, 2017",1.97,2.0,1.32,1.86,11663.0,2457470.0
"Jul 25, 2017",1.86,2.32,1.53,1.54,12151.0,2460100.0
"Jul 26, 2017",1.54,2.07,1.4,1.97,18817.0,2032930.0
"Jul 27, 2017",1.97,4.33,1.92,2.45,247678.0,2610590.0
"Jul 28, 2017",2.48,3.51,2.22,2.97,113720.0,3276920.0
"Jul 29, 2017",2.95,3.09,2.46,2.75,38628.0,3910450.0
"Jul 30, 2017",2.76,2.84,2.18,2.63,23536.0,3650240.0
"Jul 31, 2017",2.63,2.86,2.2,2.27,28654.0,3484120.0
"Aug 01, 2017",2.27,2.88,2.18,2.53,17447.0,3011090.0
"Aug 02, 2017",2.53,2.53,1.94,1.95,15020.0,3354120.0
"Aug 03, 2017",1.95,2.27,1.54,2.07,11869.0,2594070.0
"Aug 04, 2017",2.04,2.13,1.95,1.99,30688.0,2713310.0
"Aug 05, 2017",1.99,2.3,1.94,2.03,26638.0,2639820.0
"Aug 06, 2017",2.03,2.07,1.4,1.75,14553.0,2691560.0
