datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-31,0.013255,0.022943,0.013243,0.019043,6968.0,0.0
2017-8-01,0.019054,0.027102,0.01349,0.023684,17267.0,0.0
2017-8-02,0.02364,0.023661,0.012888,0.014824,5048.0,0.0
2017-8-03,0.014845,0.018903,0.014845,0.017142,13557.0,0.0
2017-8-04,0.017144,0.031913,0.016691,0.028701,13325.0,0.0
2017-8-05,0.028574,0.032708,0.022581,0.027987,10228.0,0.0
2017-8-06,0.027994,0.031607,0.01607,0.021494,14830.0,0.0
2017-8-07,0.021446,0.026398,0.019258,0.0226,1142.0,0.0
2017-8-08,0.022657,0.034221,0.02242,0.024289,6131.0,982651.0
2017-8-09,0.024273,0.030171,0.02127,0.030084,3393.0,1053560.0
2017-8-10,0.030087,0.032619,0.021881,0.025896,8435.0,1306830.0
2017-8-11,0.025894,0.030815,0.024307,0.02433,4822.0,1125550.0
2017-8-12,0.024311,0.026482,0.018487,0.021292,8966.0,1057500.0
2017-8-13,0.021273,0.029396,0.019674,0.021312,5659.0,925991.0
2017-8-14,0.021325,0.023836,0.018935,0.019161,7992.0,928942.0
2017-8-15,0.019212,0.021266,0.011871,0.018754,2012.0,837530.0
2017-8-16,0.018775,0.023336,0.01622,0.01766,3115.0,818962.0
2017-8-17,0.017643,0.025977,0.01746,0.018717,2936.0,770093.0
2017-8-18,0.01866,0.022767,0.01598,0.016489,600.0,815075.0
2017-8-19,0.016475,0.018946,0.012308,0.018741,1678.0,720160.0
2017-8-20,0.018654,0.032602,0.013111,0.01905,12622.0,815977.0
2017-8-21,0.018936,0.024308,0.017601,0.020038,1485.0,828913.0
2017-8-22,0.020085,0.023243,0.015547,0.019367,962.0,879815.0
2017-8-23,0.019204,0.019498,0.01337,0.017351,3479.0,841919.0
2017-8-24,0.017359,0.030353,0.014179,0.030262,10232.0,761623.0
2017-8-25,0.029825,0.044277,0.024088,0.034907,30148.0,1309370.0
2017-8-26,0.034974,0.04245,0.026598,0.028886,19921.0,1535890.0
