datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.430909,0.448887,0.378247,0.405358,228626.0,5117110.0
2017-7-29,0.409955,0.422134,0.373327,0.41045,390119.0,4868280.0
2017-7-30,0.406152,0.412141,0.389042,0.401981,195210.0,4823110.0
2017-7-31,0.405098,0.43691,0.395606,0.407373,261602.0,4810590.0
2017-8-01,0.417455,0.418319,0.360813,0.368875,278856.0,4957340.0
2017-8-02,0.371089,0.385097,0.355762,0.364792,245904.0,4406730.0
2017-8-03,0.374279,0.384295,0.350745,0.375198,258863.0,4444620.0
2017-8-04,0.375615,0.377595,0.344131,0.368914,331528.0,4460480.0
2017-8-05,0.354536,0.39014,0.354093,0.382539,243908.0,4210170.0
2017-8-06,0.386721,0.390356,0.350777,0.374723,281084.0,4592370.0
2017-8-07,0.380486,0.447752,0.355309,0.41627,283227.0,4518320.0
2017-8-08,0.416824,0.472523,0.41006,0.441787,287890.0,4949850.0
2017-8-09,0.443212,0.453274,0.417824,0.417958,239666.0,5263280.0
2017-8-10,0.422892,0.457014,0.409701,0.426471,316093.0,5021980.0
2017-8-11,0.425692,0.495017,0.414092,0.473904,301104.0,5055230.0
2017-8-12,0.472376,0.889018,0.448008,0.642875,1678780.0,5609630.0
2017-8-13,0.639992,0.732225,0.501292,0.542255,784386.0,7600120.0
2017-8-14,0.513627,0.728107,0.510872,0.664388,849944.0,6099500.0
2017-8-15,0.661239,0.685372,0.573004,0.605802,464223.0,7852440.0
2017-8-16,0.605201,0.641798,0.577697,0.58129,431571.0,7186980.0
2017-8-17,0.599241,1.29,0.575557,0.821974,2859150.0,7116220.0
2017-8-18,0.879334,1.02,0.682049,0.693887,1536100.0,10442400.0
2017-8-19,0.68686,0.77809,0.670702,0.743763,554076.0,8156730.0
2017-8-20,0.744148,0.952385,0.727554,0.881453,865077.0,8837040.0
2017-8-21,0.893658,0.909843,0.783032,0.783032,487875.0,10612500.0
2017-8-22,0.790745,0.803959,0.671924,0.733677,326627.0,9390400.0
2017-8-23,0.724112,0.74353,0.701903,0.713895,415851.0,8599150.0
2017-8-24,0.711548,0.737109,0.68621,0.725543,410915.0,8449940.0
2017-8-25,0.733092,0.774913,0.701552,0.719561,512096.0,8705780.0
2017-8-26,0.719921,0.815555,0.698713,0.739283,1677690.0,8549380.0
